year,devait_VERB appeler_VERB,devait_VERB rappeler_VERB
1844,1.289811848437239e-07,6.860701518007772e-08
1845,1.0435026354116417e-07,8.984167010339661e-08
1846,1.1650457309997364e-07,7.025401771443285e-08
1847,1.2188685616365547e-07,6.040410482910374e-08
1848,7.240699773092274e-08,6.91889070481011e-08
1849,1.4328799124996294e-07,8.630797054820505e-08
1850,1.3781661323264416e-07,5.5669765686161554e-08
1851,1.3285843181165546e-07,6.642921590582773e-08
1852,8.789236005668499e-08,5.7943854159248076e-08
1853,1.2541056548798224e-07,7.584353767242646e-08
1854,1.1378504893855279e-07,6.130883889454708e-08
1855,1.2524371584277105e-07,6.102978034050466e-08
1856,1.4289042837845045e-07,7.144521418922523e-08
1857,9.958278468502613e-08,7.322263684272912e-08
1858,1.1010771316932733e-07,5.676664116549546e-08
1859,1.0337112144043203e-07,7.230886467368691e-08
1860,1.1031013258389066e-07,7.735440732403731e-08
1861,1.2733102039419464e-07,9.90352404528494e-08
1862,1.3328059367267997e-07,7.499857446191527e-08
1863,1.198709043137569e-07,8.041339327746755e-08
1864,1.0452507126501587e-07,6.233146621070773e-08
1865,1.1155221102399082e-07,6.165966226490127e-08
1866,1.1239566077847485e-07,4.6223323835192787e-08
1867,1.1452635106934395e-07,7.958610837022206e-08
1868,1.1806299227146155e-07,7.261614598519373e-08
1869,8.936839890338888e-08,5.762552746091387e-08
1870,1.353235461465374e-07,1.0607990219568819e-07
1871,1.3064048687283503e-07,4.0360472297606975e-08
1872,1.5118348528631032e-07,4.5959779981785687e-08
1873,1.1133968058629762e-07,1.0176207609902121e-07
1874,1.2427186391050782e-07,9.260644162623066e-08
1875,1.0813685946686746e-07,8.010137975134057e-08
1876,1.0217765122888522e-07,5.9250943706956605e-08
1877,1.001940219680364e-07,9.339072448710795e-08
1878,8.635896620035055e-08,6.099479321619583e-08
1879,1.1974277924764465e-07,5.1318330918093125e-08
1880,1.1423766466123197e-07,6.802917340564818e-08
1881,1.2132163362821302e-07,9.133984946174678e-08
1882,1.5107724493645946e-07,4.059785041476971e-08
1883,8.278333751832179e-08,6.129759100304e-08
1884,1.2081105182915053e-07,5.545425452169184e-08
1885,1.2311164709899458e-07,8.959433728250588e-08
1886,8.324968092665586e-08,6.840672028829431e-08
1887,1.0119833149246915e-07,6.528924956228366e-08
1888,1.1539918887137901e-07,9.891358843105991e-08
1889,9.58565919972898e-08,5.5759716843795104e-08
1890,9.438316794785351e-08,7.144281255477836e-08
1891,9.178877036220001e-08,7.64906431527379e-08
1892,9.026658176480851e-08,5.140180192597654e-08
1893,8.929703909643649e-08,7.266931589811065e-08
1894,1.0460555444069541e-07,5.8604314290278126e-08
1895,7.884384700673763e-08,5.055636265183239e-08
1896,7.66613794667137e-08,7.902018950289857e-08
1897,7.458193351794762e-08,6.176316702521945e-08
1898,7.921696720813998e-08,5.828105642535775e-08
1899,8.45719512199139e-08,4.4220627160029835e-08
1900,7.527027179321522e-08,6.48881623988018e-08
1901,1.1401027677493403e-07,5.1416396473769055e-08
1902,9.47684810626015e-08,6.972602761834423e-08
1903,8.964365605379498e-08,3.9961630449170116e-08
1904,9.405594170175391e-08,5.912087885917572e-08
1905,1.0785986148675875e-07,4.541468001661997e-08
1906,8.282137287096702e-08,6.430230570231288e-08
1907,6.017126708002252e-08,3.857132568896304e-08
1908,7.6126532633225e-08,7.465311568921607e-08
1909,1.0781927528569213e-07,6.821219500352527e-08
1910,8.978172871820789e-08,5.2907090264397993e-08
1911,6.490856208074547e-08,4.8947441655400326e-08
1912,1.0470936473438996e-07,7.29318969661108e-08
1913,9.598411310207666e-08,5.302989691813309e-08
1914,7.567320636781005e-08,4.8216556081115414e-08
1915,8.599955947374838e-08,3.7698438148936475e-08
1916,6.702352095544484e-08,4.504859418830165e-08
1917,9.540789136508465e-08,4.7155623406069935e-08
1918,1.1945832056881045e-07,7.121553124989077e-08
1919,8.194984957299312e-08,4.235610262526279e-08
1920,8.480899538199083e-08,7.572231908170579e-08
1921,8.02711213054863e-08,5.755288157160976e-08
1922,6.56636274243283e-08,7.230377008227151e-08
1923,7.537322943562685e-08,5.4141334970836397e-08
1924,6.316896161706609e-08,6.316896161706609e-08
1925,1.1218141793278846e-07,5.49908882874206e-08
1926,8.136681373116517e-08,5.461607699430715e-08
1927,1.1260716803462856e-07,5.0171511389862644e-08
1928,7.312666383541e-08,7.084145892122251e-08
1929,1.1586022452547695e-07,6.350031611646045e-08
1930,8.297846676441623e-08,4.3064773080914165e-08
1931,9.124285327288817e-08,3.763767608688795e-08
1932,8.76762911161677e-08,7.123698964051073e-08
1933,1.273243555033332e-07,4.588265056781893e-08
1934,1.1262685006840911e-07,8.02765853791243e-08
1935,9.694310421082264e-08,6.103825000991492e-08
1936,1.2245961045209697e-07,8.972288867425959e-08
1937,8.561960385122802e-08,6.799204044227736e-08
1938,1.3483823124715855e-07,4.408173026604345e-08
1939,8.258787431714154e-08,4.8940961505650193e-08
1940,4.81798743123818e-08,4.057252667166722e-08
1941,8.264207451702532e-08,4.132103725851266e-08
1942,1.3047110769548453e-07,1.0316320242509391e-07
1943,1.3064558856967778e-07,9.870999662098257e-08
1944,1.381670102773569e-07,7.390327994016843e-08
1945,1.568522947081874e-07,4.574858536443571e-08
1946,1.6705325833754614e-07,7.79581839083221e-08
1947,1.609317621387163e-07,4.52993091926146e-08
1948,1.0980606646171509e-07,7.827759418432834e-08
1949,1.1093219143276656e-07,6.47922533403289e-08
1950,1.4357738109538332e-07,4.892266147749069e-08
1951,1.0128331950909342e-07,6.823297127311889e-08
1952,1.1282940448609224e-07,6.010538555756284e-08
1953,1.37904990538118e-07,7.002987700843732e-08
1954,1.6711037176264654e-07,5.570345606997762e-08
1955,1.2952138206401287e-07,7.133061785680184e-08
1956,1.0901427316412082e-07,4.883839466174322e-08
1957,1.2369052626581833e-07,5.6544241289202546e-08
1958,1.0009414808109796e-07,6.286904863372911e-08
1959,1.240119615886215e-07,5.968075811324525e-08
1960,1.245749956524378e-07,7.543708591128961e-08
1961,1.389631876236308e-07,5.905935296368625e-08
1962,1.28107515706688e-07,6.532214769094935e-08
1963,1.2156179707289994e-07,5.560805860227447e-08
1964,1.0707784525720854e-07,6.570685684437194e-08
1965,1.1929054721804278e-07,7.606140428606523e-08
1966,1.22413553071965e-07,6.5361085432869e-08
1967,1.0452311727249253e-07,6.951773201535616e-08
1968,1.3833560785769805e-07,7.725235207090009e-08
1969,1.1172723901609061e-07,7.493900255894914e-08
1970,9.427386515881153e-08,8.599615597404409e-08
1971,1.0071259026744883e-07,6.166077071156906e-08
1972,8.669947959560886e-08,5.7457643976022155e-08
1973,8.380069971281046e-08,7.553089176326466e-08
1974,1.0013517481866074e-07,6.806941854620163e-08
1975,8.85279405338224e-08,7.710498550750344e-08
1976,8.684560981464529e-08,6.342014557958464e-08
1977,8.462566114531e-08,6.229388560541338e-08
1978,1.0633658575898153e-07,7.425739312338919e-08
1979,8.017203612098456e-08,7.607565066791722e-08
1980,8.86883526618476e-08,6.879032099504911e-08
1981,7.527403766971474e-08,6.70508271127801e-08
1982,9.807853729171256e-08,6.331652002700139e-08
1983,8.273064366903782e-08,7.073153796000042e-08
1984,7.654691103198275e-08,5.9149886766363124e-08
1985,7.699914306158462e-08,7.880380792357755e-08
1986,9.231507647200488e-08,6.65387887011093e-08
1987,6.721898415662508e-08,8.249602956311719e-08
1988,7.975416593808404e-08,8.155313224733618e-08
1989,8.616351721002502e-08,7.95777737039316e-08
1990,9.262706868184978e-08,7.192219442231362e-08
1991,7.15098735781794e-08,5.6270067716468475e-08
1992,8.650612670635383e-08,6.611932690248068e-08
1993,7.754890418709692e-08,5.705383543386233e-08
1994,7.226649501035354e-08,5.591422080897246e-08
1995,7.591431483433553e-08,6.778063266210665e-08
1996,7.580091221370822e-08,6.245567618634595e-08
1997,6.664903651198983e-08,6.521056405972558e-08
1998,7.00915023799098e-08,6.627699633554585e-08
1999,6.809599994994642e-08,4.8901153348879234e-08
2000,6.273604924444953e-08,5.434178618202168e-08
2001,8.368114379209146e-08,6.177508282689814e-08
2002,5.8708369721216513e-08,6.04608558774089e-08
2003,7.333784424190526e-08,5.416999826479696e-08
2004,5.594084839799507e-08,3.788120395142869e-08
2005,5.899912025597587e-08,5.314424456059896e-08
2006,4.9002888857785365e-08,5.60033015517547e-08
2007,7.509621724466342e-08,3.994479413904628e-08
2008,8.727751321657706e-08,5.108927680907982e-08
2009,8.964202180550274e-08,5.054284102357087e-08
2010,1.1006437716787332e-07,3.117703428756613e-08
2011,1.0668881600395252e-07,4.5887663446819715e-08
2012,1.286807531641898e-07,4.255315744217114e-08
2013,1.2913649527490634e-07,5.3830113699859794e-08
2014,1.541797018944635e-07,7.600712592648051e-08
2015,1.3277286825541523e-07,4.787802865280355e-08
2016,1.4810080983806984e-07,4.743368720028229e-08
2017,1.4162891659452725e-07,4.653880836258395e-08
2018,1.3991549963066063e-07,4.775713335902765e-08
2019,1.2142702132678096e-07,6.071351066339048e-08
