year,fallait_VERB aller_VERB
1888,3.557084937710897e-07
1889,4.329209559728042e-07
1890,3.8933055179768417e-07
1891,3.9137711382863927e-07
1892,3.7736444369329547e-07
1893,3.442554827870481e-07
1894,4.6064252501309966e-07
1895,3.81580150587979e-07
1896,3.6089818422624376e-07
1897,3.676656206152984e-07
1898,3.5930554531660164e-07
1899,3.703477489125362e-07
1900,3.6804567571380176e-07
1901,3.3252996445298777e-07
1902,2.4796932507342717e-07
1903,2.921519239862391e-07
1904,3.321518420307257e-07
1905,3.741550358427048e-07
1906,3.7449663636834885e-07
1907,3.5485618354869075e-07
1908,3.138377735467657e-07
1909,3.377603832177556e-07
1910,3.4149121574955643e-07
1911,2.904924372160167e-07
1912,3.302773166069528e-07
1913,2.8742203994625015e-07
1914,3.2881010270102706e-07
1915,3.46354397606774e-07
1916,3.0435271014539467e-07
1917,3.1144645618041977e-07
1918,3.916854325325403e-07
1919,3.977790470344189e-07
1920,4.013282932646689e-07
1921,3.2638541824780987e-07
1922,4.2644467157515464e-07
1923,3.2272481576001155e-07
1924,3.815920877059398e-07
1925,3.343446053349908e-07
1926,3.366133682902728e-07
1927,3.980273390880029e-07
1928,3.3935342003132973e-07
1929,4.4338815996525227e-07
1930,3.560721495432517e-07
1931,3.421606891151896e-07
1932,3.386496700841235e-07
1933,3.521493283642485e-07
1934,3.4746582855404995e-07
1935,3.171595324147347e-07
1936,2.9220561259535316e-07
1937,2.996686134792981e-07
1938,3.3320600323349936e-07
1939,2.7682230552272813e-07
1940,2.0539842182643042e-07
1941,3.8074384178798937e-07
1942,3.4590013342494785e-07
1943,4.2967880631294975e-07
1944,3.566636621599173e-07
1945,3.8341670460795285e-07
1946,4.2737789840430196e-07
1947,4.291513562293403e-07
1948,3.185463128829724e-07
1949,3.7697310517614824e-07
1950,3.881906991409778e-07
1951,3.646199502327363e-07
1952,3.595778252929449e-07
1953,3.7816133158230514e-07
1954,3.9481045632783207e-07
1955,3.20987794566463e-07
1956,2.84309209064304e-07
1957,3.419159497752844e-07
1958,3.209630392575491e-07
1959,2.96078553674306e-07
1960,3.2527916005165025e-07
1961,3.397649948055914e-07
1962,3.5261277275822067e-07
1963,3.614523791384272e-07
1964,3.3705185842336505e-07
1965,3.108120552042237e-07
1966,3.218202380139701e-07
1967,3.337837313210912e-07
1968,3.745840899682662e-07
1969,3.501695289287454e-07
1970,3.1455277849090635e-07
1971,3.314266336928995e-07
1972,3.5705821233023016e-07
1973,2.988156495575822e-07
1974,3.1221921403812303e-07
1975,3.147025608996046e-07
1976,2.611081697523332e-07
1977,3.2204764011112275e-07
1978,3.6237608469491533e-07
1979,3.388292668660142e-07
1980,3.2007397976485663e-07
1981,3.3715178915372235e-07
1982,3.50103135815516e-07
1983,3.915496051831724e-07
1984,3.5315960644766164e-07
1985,3.543163700214791e-07
1986,3.980338476594625e-07
1987,3.5320522329129744e-07
1988,3.3340839422635327e-07
1989,3.753875432721543e-07
1990,3.6288014371166355e-07
1991,3.57549367890897e-07
1992,3.80186151005546e-07
1993,3.7168081234995043e-07
1994,3.866521183226723e-07
1995,3.947544087168353e-07
1996,3.6299027783570637e-07
1997,3.2557332474425493e-07
1998,3.762054063827236e-07
1999,3.8252582612585684e-07
2000,3.5697695466296864e-07
2001,3.8467038621092797e-07
2002,3.846712388622109e-07
2003,3.766898259982554e-07
2004,4.118479921544349e-07
2005,3.940780857192294e-07
2006,4.369081239019579e-07
2007,3.946545632516063e-07
2008,4.2446674797247397e-07
2009,4.5393193204290583e-07
2010,4.7663070290582255e-07
2011,4.730253237994475e-07
2012,5.382123617891921e-07
2013,5.589406555372989e-07
2014,6.110886374699476e-07
2015,5.794128128400189e-07
2016,5.830822260577406e-07
2017,5.536860498978058e-07
2018,6.252312232390977e-07
2019,5.431052727544738e-07
