year,voulait_VERB appliquer_VERB
1909,9.131633049719312e-08
1910,5.237267686197811e-08
1911,5.107559175598908e-08
1912,5.938740343935933e-08
1913,5.992378504515727e-08
1914,8.10305991194582e-08
1915,3.534228554258334e-08
1916,4.394984642885902e-08
1917,3.728584374584898e-08
1918,5.398596769623509e-08
1919,3.1306683467846597e-08
1920,5.906340660999376e-08
1921,6.891200143854803e-08
1922,6.123686802084194e-08
1923,5.095655097875351e-08
1924,3.867487308184536e-08
1925,4.8391981977147225e-08
1926,6.687682940764716e-08
1927,5.797597069090443e-08
1928,6.055801549109674e-08
1929,4.67897081080082e-08
1930,5.04172987803031e-08
1931,3.877821086462063e-08
1932,6.02774505864545e-08
1933,5.276504566609219e-08
1934,4.912448048344231e-08
1935,4.787313656606784e-08
1936,5.698615979099486e-08
1937,5.791914503561202e-08
1938,4.537825049055755e-08
1939,3.8235125288110794e-08
1940,3.550096039361961e-08
1941,5.017554371988808e-08
1942,3.034211815133858e-08
1943,6.387117679196308e-08
1944,1.927911696952833e-08
1945,4.1391576388605245e-08
1946,5.707652661612883e-08
1947,4.649139739854036e-08
1948,5.3272248834446145e-08
1949,4.515823803785679e-08
1950,2.2334258886758107e-08
1951,4.477788806411809e-08
1952,6.326882129314981e-08
1953,3.44762476345295e-08
1954,4.10446503451567e-08
1955,2.3464020060259827e-08
1956,3.0523995775411095e-08
1957,3.003912851795576e-08
1958,3.4743422361316334e-08
1959,5.813060965920158e-08
1960,2.5607082676515347e-08
1961,2.91822690456911e-08
1962,3.805173776072479e-08
1963,2.7804029301137234e-08
1964,4.867174752121173e-08
1965,2.7907420374617686e-08
1966,3.0464910594218964e-08
1967,3.451235031093347e-08
1968,3.638046663922978e-08
1969,3.4971535001204757e-08
1970,2.5292987260172595e-08
1971,2.1581270104320538e-08
1972,3.745007148836521e-08
1973,3.197658315912122e-08
1974,3.206575982517279e-08
1975,2.5701661243715535e-08
1976,2.285410793945175e-08
1977,1.645498848290572e-08
1978,3.5643548557118265e-08
1979,2.925986741786346e-08
1980,2.5583178242527538e-08
1981,2.340453342242199e-08
1982,3.1037512115972277e-08
1983,3.0945049189767815e-08
1984,1.797692661398287e-08
1985,1.7445119127046382e-08
1986,2.1580147446798037e-08
1987,1.588812459374367e-08
1988,1.5591039570495013e-08
1989,2.469655058234821e-08
1990,2.8332985735346483e-08
1991,2.6376593353916178e-08
1992,2.7549720726938176e-08
1993,2.7696037463442735e-08
1994,2.162719958676007e-08
1995,2.4943274112843028e-08
1996,2.1886178203089912e-08
1997,1.965906726297817e-08
1998,2.7178336026167926e-08
1999,2.6050146928469076e-08
2000,1.8555732950176207e-08
2001,3.504969470213837e-08
2002,3.023042793870445e-08
2003,2.2918076325595393e-08
2004,3.1274016265570026e-08
2005,2.7923247714056743e-08
2006,2.3471972809829822e-08
2007,3.395307501818934e-08
2008,2.086145478585877e-08
2009,1.0013204487790972e-08
2010,1.1809482280966677e-08
2011,1.7972668686638826e-08
2012,1.838296448397614e-08
2013,1.5340187786705428e-08
2014,1.2992670939127038e-08
2015,1.7289288223309995e-08
2016,2.0299133041135065e-08
2017,8.553078245654433e-09
2018,1.4198066722315161e-08
2019,1.224474122096808e-08
