year,voulut_VERB appliquer_VERB
1955,2.7218263198847126e-08
1956,1.3953826538681824e-08
1957,2.03205861026845e-08
1958,2.3989505493204888e-08
1959,1.3951345856355601e-08
1960,8.305000243069571e-09
1961,1.459113452284555e-08
1962,1.0147130247162295e-08
1963,1.4871922360271128e-08
1964,1.2776333768727e-08
1965,9.849678406226303e-09
1966,1.8278946356531378e-08
1967,1.1339771788243524e-08
1968,1.4821671889819754e-08
1969,6.358460868938209e-09
1970,1.1956685419534097e-08
1971,4.624557625731995e-09
1972,1.3338381954497436e-08
1973,1.4885650045926013e-08
1974,9.00091468025721e-09
1975,1.028066431985053e-08
1976,1.0284348483935446e-08
1977,5.876781727920388e-09
1978,1.1881182260253809e-08
1979,8.192762912528906e-09
1980,7.95921106799824e-09
1981,8.855769451088236e-09
1982,6.828252629986764e-09
1983,1.0104505676622466e-08
1984,5.799008384599347e-09
1985,1.3835783185811579e-08
1986,1.0790073723399018e-08
1987,9.166225112267057e-09
1988,7.795519785247507e-09
1989,6.036934507847036e-09
1990,5.993515905799995e-09
1991,6.4476117778156095e-09
1992,8.815910668147353e-09
1993,7.200969598386564e-09
1994,1.2132331583813993e-08
1995,9.760411145975922e-09
1996,5.871901187504136e-09
1997,5.753873377756236e-09
1998,1.0013071261028017e-08
1999,5.484241505371301e-09
2000,7.068850393920911e-09
2001,3.5049694258049158e-09
2002,7.448076377869484e-09
2003,6.250384210204629e-09
2004,7.047666006343434e-09
2005,5.854874363109275e-09
2006,1.070651389767363e-08
2007,5.592271090648637e-09
2008,8.51487946817997e-09
2009,5.721831008997924e-09
2010,7.558068837454357e-09
2011,4.5887662558641296e-09
2012,4.085103366691101e-09
2013,5.578249862026041e-09
2014,6.063246349441442e-09
2015,4.654808538617772e-09
2016,8.285359953674742e-09
2017,4.2765391228272165e-09
2018,4.130346731301415e-09
2019,1.7856913725466939e-09
