year,put_VERB appliquer_VERB
1875,1.4303817685856757e-08
1876,3.023007266733657e-08
1877,1.7317484335421796e-08
1878,9.058632954861423e-09
1879,2.6270098985037293e-08
1880,1.2835692508872398e-08
1881,1.8128519130300447e-08
1882,6.655385131892899e-09
1883,1.3270612164717477e-08
1884,1.3203393933736152e-08
1885,2.127059772760731e-08
1886,1.355227396970804e-08
1887,2.415702127223085e-08
1888,2.7264643875923866e-08
1889,1.566284169030041e-08
1890,4.5880703680722945e-09
1891,1.529812720946211e-08
1892,1.817868522380195e-08
1893,2.9560400349737392e-08
1894,1.827446460822557e-08
1895,5.416753268150387e-09
1896,8.845543852942228e-09
1897,1.2236098356765979e-08
1898,2.1501747937691107e-08
1899,2.2110313580014918e-08
1900,1.86877908703309e-08
1901,1.676621685930968e-08
1902,1.1293653123800595e-08
1903,2.376096830403185e-08
1904,1.6123875568041512e-08
1905,2.0126959654476195e-08
1906,1.2860461140462576e-08
1907,5.65712765521198e-09
1908,1.964555629285769e-08
1909,9.901770070541716e-09
1910,1.5498036631811374e-08
1911,2.0217422402879492e-08
1912,1.5628263128064646e-08
1913,2.0151361468379037e-08
1914,1.875088173619588e-08
1915,8.246533234057551e-09
1916,1.3184954461564757e-08
1917,1.2063066989753679e-08
1918,0.0
1919,3.498982437122322e-08
1920,1.3630017114962811e-08
1921,1.060184651180407e-08
1922,8.115729421831475e-09
1923,1.0615948120573648e-08
1924,3.867487219366694e-09
1925,1.6497267552040284e-08
1926,2.229227646921572e-08
1927,1.6723836537835268e-08
1928,1.0283437212876834e-08
1929,1.7824650200282122e-08
1930,9.453243521306831e-09
1931,1.1405356659111021e-08
1932,1.2055489939655217e-08
1933,6.882397318719313e-09
1934,8.38710612072191e-09
1935,1.555876849579363e-08
1936,1.33371855781661e-08
1937,1.6368453259474336e-08
1938,1.0372171566075394e-08
1939,1.5294050470515685e-08
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,2.7842208538686464e-09
1947,1.549713246618012e-08
1948,8.697510267552389e-09
1949,1.1780409536754632e-08
1950,9.571825110299415e-09
1951,1.8124383771578323e-08
1952,1.1599284199803606e-08
1953,2.1547654327491728e-08
1954,1.5636057781875934e-08
1955,1.407841132561316e-08
1956,7.849027205963921e-09
1957,6.184526224473075e-09
1958,7.445019267748876e-09
1959,1.007597205671118e-08
1960,6.920833239831836e-09
1961,1.320150300188061e-08
1962,8.244543714397423e-09
1963,5.819448034571906e-09
1964,1.3384730657151067e-08
1965,1.3680108601477059e-08
1966,7.754704434148607e-09
1967,6.409436092980059e-09
1968,1.4372530721118437e-08
1969,1.0446043141598693e-08
1970,4.598724956395017e-09
1971,5.138397263237948e-09
1972,1.2825367434743384e-08
1973,3.3079223804577396e-09
1974,5.06301445213353e-09
1975,6.282628195464213e-09
1976,7.998937512354587e-09
1977,1.7630346071939584e-09
1978,4.752473081737207e-09
1979,2.3407893401383717e-09
1980,5.6851505725319385e-09
1981,5.69299452024552e-09
1982,4.966001831974154e-09
1983,1.89459470334441e-09
1984,2.3196033982486597e-09
1985,1.2632671797518924e-08
1986,3.5966913891627428e-09
1987,2.4443267410134695e-09
1988,6.596209356501959e-09
1989,3.841685636274406e-09
1990,1.6345953479657283e-09
1991,8.20605094986604e-09
1992,3.856960972825618e-09
1993,9.416652346772025e-09
1994,7.384897138251745e-09
1995,5.4224509327127635e-09
1996,2.6690460952494277e-09
1997,7.192341833217597e-09
1998,3.814503379828693e-09
1999,3.1991407301035224e-09
2000,8.83606254831193e-09
2001,5.695575122643959e-09
2002,3.9430991805033955e-09
2003,4.583615265119079e-09
2004,6.166707589017051e-09
2005,4.954124666056714e-09
2006,3.706100981659688e-09
2007,2.3966877371606188e-09
2008,3.405951742863067e-09
2009,2.384096253749135e-09
2010,1.4171379625338432e-09
2011,1.529588788962144e-09
2012,4.085103366691101e-09
2013,4.183687618564136e-09
2014,5.846701789380404e-09
2015,6.64972610309178e-09
2016,6.421154274960372e-09
2017,3.018733707449428e-09
2018,4.904786798931582e-09
2019,4.846876677788714e-09
