year,voudrait_VERB appliquer_VERB
1873,3.591602748542755e-08
1874,3.883495836021211e-08
1875,3.032409523484603e-08
1876,2.7811667635546655e-08
1877,3.277952487223956e-08
1878,1.9928991790152395e-08
1879,1.9549840857280287e-08
1880,2.888030792291829e-08
1881,4.113779539238749e-08
1882,1.9966154951589488e-08
1883,3.728409936343269e-08
1884,2.706695667598069e-08
1885,3.4161868001092444e-08
1886,2.8395241713496944e-08
1887,2.6768590899450828e-08
1888,2.028996703984376e-08
1889,2.4434033463194282e-08
1890,4.522526708683472e-08
1891,1.8485238229004608e-08
1892,3.19694137829174e-08
1893,1.9091091374434654e-08
1894,1.6384001710889606e-08
1895,3.1296796265678495e-08
1896,2.358811634906033e-08
1897,2.330685333618021e-08
1898,2.2633418694795182e-08
1899,3.040167939616367e-08
1900,2.28406342728249e-08
1901,1.5089595351014395e-08
1902,1.718599307309887e-08
1903,1.0260418292773466e-08
1904,9.13686282189019e-09
1905,2.0643035725242953e-08
1906,1.0802787109298606e-08
1907,2.1599941391059474e-08
1908,2.9468335327464956e-08
1909,1.925344328412848e-08
1910,1.8170112525695004e-08
1911,1.4897047151407605e-08
1912,2.0837685354990754e-08
1913,7.954484182448596e-09
1914,2.6117300322425763e-08
1915,1.1780762143587253e-08
1916,1.2086208478478966e-08
1917,4.7155623406069935e-08
1918,2.067547733020092e-08
1919,1.8415697411455767e-08
1920,1.590168707821249e-08
1921,8.330022005509363e-09
1922,2.2133805899215986e-08
1923,9.554353752605493e-09
1924,2.3204924204378585e-08
1925,2.1996356736053713e-08
1926,2.3406890647947876e-08
1927,1.7838759802657478e-08
1928,1.4853853258500749e-08
1929,1.2254447234738564e-08
1930,1.3654684494213143e-08
1931,1.596749932275543e-08
1932,1.3151444377967891e-08
1933,1.4911860191091364e-08
1934,3.2350264689284813e-08
1935,2.2739740757060645e-08
1936,1.2124714565686645e-08
1937,1.2591118370153254e-08
1938,1.8151300906765755e-08
1939,1.988226472349197e-08
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,1.8205270180260413e-08
1943,2.322588166236983e-08
1944,0.0
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,1.907339353124371e-08
1948,8.697510267552389e-09
1949,2.3560819073509265e-08
1950,1.808011518278363e-08
1951,1.5992101864981123e-08
1952,1.370824520563474e-08
1953,4.3095309543161875e-09
1954,1.6613311615287785e-08
1955,9.385607846468247e-09
1956,1.2209598665435806e-08
1957,9.718541527092839e-09
1958,8.272243334772611e-09
1959,1.2401196514133517e-08
1960,1.2457499920515147e-08
1961,7.64297514166401e-09
1962,2.1562652108286784e-08
1963,8.405868889838075e-09
1964,1.3993127545575135e-08
1965,6.5664522708175355e-09
1966,1.495550172592175e-08
1967,1.035370456037299e-08
1968,1.3474247495537384e-08
1969,1.0446043141598693e-08
1970,1.6555409487750694e-08
1971,1.7470551227916076e-08
1972,1.0260293947794707e-08
1973,1.1026407342740185e-08
1974,1.2938814464291681e-08
1975,1.0851811893530794e-08
1976,1.7140580510499603e-08
1977,7.052138428775834e-09
1978,1.128712323605896e-08
1979,9.948355028654987e-09
1980,1.5349906234973787e-08
1981,1.5181319312773667e-08
1982,6.828252629986764e-09
1983,1.326216381158929e-08
1984,1.333771937339634e-08
1985,8.421781494405423e-09
1986,1.1389522214244607e-08
1987,1.2832715334809564e-08
1988,8.994830658082265e-09
1989,1.1525056464734007e-08
1990,7.628111475810329e-09
1991,1.2309077312977479e-08
1992,1.0468894195980738e-08
1993,8.862731881720265e-09
1994,1.5297286992677073e-08
1995,8.675921314704738e-09
1996,8.540947504798169e-09
1997,5.753873377756236e-09
1998,1.144351013948608e-08
1999,9.140402212892695e-09
2000,6.185244316725402e-09
2001,7.0099388516098315e-09
2002,5.6955880012310445e-09
2003,8.750538071922165e-09
2004,8.369103632333008e-09
2005,9.007498746882447e-09
2006,7.823991232669414e-09
2007,3.595031605740928e-09
2008,6.3861596011349775e-09
2009,6.198650481792356e-09
2010,4.2514138876015295e-09
2011,6.500752380844688e-09
2012,9.19148224198807e-09
2013,3.904775169871755e-09
2014,7.145969149746634e-09
2015,5.54143841924315e-09
2016,6.421154274960372e-09
2017,3.773417134311785e-09
2018,2.8396134332808742e-09
2019,4.08158040698936e-09
