year,doivent_VERB appliquer_VERB
1964,7.604960217122425e-08
1965,7.38725844939836e-08
1966,6.923843187678358e-08
1967,9.367637687773822e-08
1968,6.737123925404376e-08
1969,7.493900255894914e-08
1970,1.0209169687414033e-07
1971,6.525764462139705e-08
1972,7.438713112151163e-08
1973,8.876258306145246e-08
1974,1.0913608861073953e-07
1975,8.85279405338224e-08
1976,7.199044205208338e-08
1977,7.228441489814941e-08
1978,5.346532105932056e-08
1979,6.963848164787123e-08
1980,7.902359300260287e-08
1981,6.894848780802931e-08
1982,6.642027727821187e-08
1983,8.209910618006688e-08
1984,6.552879483479046e-08
1985,7.098358167922925e-08
1986,6.593933932208529e-08
1987,8.249602956311719e-08
1988,7.25583007010755e-08
1989,7.244321409416443e-08
1990,7.628111120538961e-08
1991,8.616353852630709e-08
1992,7.273126101381422e-08
1993,9.028907754782267e-08
1994,8.334384204999878e-08
1995,8.187900846223783e-08
1996,8.540947504798169e-08
1997,8.247218374890508e-08
1998,8.201182311040611e-08
1999,1.0191548938109918e-07
2000,1.0868357236404336e-07
2001,1.0996841837140892e-07
2002,9.375813903034214e-08
2003,1.2292422013615578e-07
2004,9.910780107702521e-08
2005,1.0088399449159624e-07
2006,1.0130009542308471e-07
2007,8.787854710590182e-08
2008,9.664388045393935e-08
2009,7.581426331171315e-08
2010,7.983210537076957e-08
2011,9.254011956727481e-08
2012,6.87659067466484e-08
2013,8.311592836207637e-08
2014,6.128210117140043e-08
2015,7.403361479418891e-08
2016,5.551191151198509e-08
2017,7.119179912251639e-08
2018,5.885744158717898e-08
2019,6.326449408788903e-08
