year,eût_VERB ajouté_VERB
1933,6.079451253526713e-08
1934,3.714289675826876e-08
1935,4.906996409204112e-08
1936,4.9711328387047615e-08
1937,3.777335422228134e-08
1938,6.093650739558143e-08
1939,5.047036566452334e-08
1940,5.0715659227762444e-08
1941,6.198155233505531e-08
1942,1.517105907566929e-08
1943,2.9032351633873077e-08
1944,5.7837350908584995e-08
1945,3.921307367704685e-08
1946,6.12528623378239e-08
1947,4.7683485604466114e-08
1948,4.67491183542279e-08
1949,3.7304630495782476e-08
1950,2.4461330738745346e-08
1951,6.076999170545605e-08
1952,4.112473561690422e-08
1953,4.632745742583211e-08
1954,5.570345606997762e-08
1955,1.9709776921672528e-08
1956,3.575668117150599e-08
1957,4.59421976017893e-08
1958,4.384289198355873e-08
1959,4.030388822684472e-08
1960,2.9759583242139342e-08
1961,3.265634873628187e-08
1962,2.72704117065814e-08
1963,3.297687101166957e-08
1964,2.3727476872181796e-08
1965,3.8851506900527966e-08
1966,3.5450078428311826e-08
1967,4.240088458118407e-08
1968,4.9405574742422687e-08
1969,3.76965907378235e-08
1970,3.0351586133292585e-08
1971,4.3162540208641076e-08
1972,3.642404422521395e-08
1973,2.536073751002732e-08
1974,1.4626486688484874e-08
1975,1.3707552426467373e-08
1976,2.285410793945175e-08
1977,1.1165885105413054e-08
1978,2.0792070287711795e-08
1979,2.0481905949054635e-08
1980,2.7288724169238776e-08
1981,1.5181319312773667e-08
1982,2.2347007799794483e-08
1983,1.705135410645653e-08
1984,2.2616132966390978e-08
1985,1.8648229627160617e-08
1986,2.45773907892044e-08
1987,2.13878585952898e-08
1988,1.679035044332977e-08
1989,2.4147738031388144e-08
1990,1.5801088437683575e-08
1991,1.1722930182145319e-08
1992,1.4876849085965205e-08
1993,1.4401939196773128e-08
1994,1.1077346151466827e-08
1995,1.138714633697191e-08
1996,6.939520069693117e-09
1997,1.054876808126437e-08
1998,1.6688451509594415e-08
1999,1.6452723627935484e-08
2000,1.4137700787841823e-08
2001,9.638665865452367e-09
2002,8.324320788233308e-09
2003,1.2917460878725251e-08
2004,1.4095332012686868e-08
2005,1.261049931144953e-08
2006,1.5647982465338828e-08
2007,1.4380126422963713e-08
2008,1.4475294740634581e-08
2009,1.7165493915172192e-08
2010,1.1809482280966677e-08
2011,1.6825476123472072e-08
2012,1.9063815415165664e-08
2013,2.147626254611623e-08
2014,2.7501153354592134e-08
2015,2.8593822420930337e-08
2016,3.645558521725434e-08
2017,8.553078245654433e-09
2018,3.046130814254866e-08
2019,2.9591458172717466e-08
