year,devront_VERB accompagner_VERB
1885,1.0313017106966527e-08
1886,1.7424351739236954e-08
1887,2.0239665943222462e-08
1888,1.1413106904001324e-08
1889,1.3156786771162388e-08
1890,2.1629475099871343e-08
1891,1.5935549768641977e-08
1892,3.0715710863660206e-08
1893,7.390100087434348e-09
1894,8.822155450616265e-09
1895,1.9259566386153892e-08
1896,1.1794058174530164e-08
1897,1.4566784223291052e-08
1898,7.921697076085366e-09
1899,6.633094074004475e-09
1900,9.863001082521805e-09
1901,1.1736351446245408e-08
1902,1.1293653123800595e-08
1903,9.720396931811592e-09
1904,1.0749250378694342e-08
1905,9.805441791854719e-09
1906,1.594697174311932e-08
1907,7.71426478252124e-09
1908,1.0313916831705683e-08
1909,9.901770070541716e-09
1910,1.6566866989364826e-08
1911,8.51259862599818e-09
1912,1.3544495303108306e-08
1913,1.3257474229533273e-08
1914,1.1384464038144415e-08
1915,7.068456930880984e-09
1916,1.0987461607214755e-08
1917,1.0966424213165737e-08
1918,1.033773866510046e-08
1919,1.012863304339362e-08
1920,5.300562211374427e-09
1921,8.330022005509363e-09
1922,1.549366501762961e-08
1923,2.0170300985000722e-08
1924,1.2891624656674594e-08
1925,9.898360353588487e-09
1926,1.2260752413340015e-08
1927,2.0068604555945058e-08
1928,1.2568645679778001e-08
1929,8.912325100141061e-09
1930,9.453243521306831e-09
1931,2.8513390759599133e-08
1932,2.6302888755935783e-08
1933,1.7205993074753678e-08
1934,2.2765002327673756e-08
1935,1.196828414151696e-08
1936,2.66743711563322e-08
1937,2.6441348666139675e-08
1938,2.9819993585533666e-08
1939,1.988226472349197e-08
1940,2.5357829613881222e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,1.1136883415474585e-08
1947,1.1920871401116528e-08
1948,1.6307831529616124e-08
1949,9.817008539414473e-09
1950,1.0635361036293034e-08
1951,3.1984206394497505e-09
1952,8.435843135146115e-09
1953,4.3095309543161875e-09
1954,2.247683283940205e-08
1955,1.220129064449793e-08
1956,1.0465369904011368e-08
1957,2.9155623693100097e-08
1958,9.099467845885556e-09
1959,7.750747599288843e-09
1960,1.7302083321624195e-08
1961,1.181187059273725e-08
1962,2.917300001570311e-08
1963,7.1126584622049904e-09
1964,1.1559539991878864e-08
1965,7.660860390501512e-09
1966,6.6468897053084675e-09
1967,8.381570104631919e-09
1968,4.491415683816058e-09
1969,2.7704722072030563e-08
1970,1.3336302728816918e-08
1971,1.1818314327172175e-08
1972,9.747279428040656e-09
1973,6.064523994098181e-09
1974,1.406392957647995e-08
1975,8.567219822452898e-09
1976,3.9994687561772935e-09
1977,8.815172591880582e-09
1978,1.0693064211864112e-08
1979,1.580032815695631e-08
1980,7.95921106799824e-09
1981,3.795329828193417e-09
1982,1.3656505259973528e-08
1983,1.6419821946556112e-08
1984,1.5657322549600394e-08
1985,1.3835783185811579e-08
1986,9.591176741707841e-09
1987,3.6664902225425067e-09
1988,8.994830658082265e-09
1989,1.7013178421620978e-08
1990,1.0352437129768077e-08
1991,7.6199047072123e-09
1992,1.1019888113139586e-08
1993,9.416652346772025e-09
1994,1.2132331583813993e-08
1995,1.1929391696696712e-08
1996,7.473328622609188e-09
1997,1.4384683666435194e-08
1998,5.72175506974304e-09
1999,5.484241505371301e-09
2000,4.418031274155965e-09
2001,1.3143635513301888e-08
2002,1.0514931148009055e-08
2003,1.1667384391955693e-08
2004,7.047666006343434e-09
2005,8.557123898356167e-09
2006,8.64756888319107e-09
2007,5.192823504529542e-09
2008,6.3861596011349775e-09
2009,7.629108011997232e-09
2010,9.919965293647692e-09
2011,6.500752380844688e-09
2012,3.744677901096338e-09
2013,8.367375237128272e-09
2014,2.5985342766432495e-09
2015,4.43315073539452e-09
2016,6.214019965256057e-09
2017,5.0312225496895735e-09
2018,3.0977600484760615e-09
2019,3.826481798085979e-09
