year,voulant_VERB appliquer_VERB
1873,2.5141219217594823e-08
1874,1.3741600746186577e-08
1875,3.1468399441791917e-08
1876,1.51150369998021e-08
1877,1.608052180301911e-08
1878,2.8383716266233705e-08
1879,2.3215436684154156e-08
1880,1.3477477134316018e-08
1881,1.3247764274471052e-08
1882,1.2645231528551903e-08
1883,1.4534479619854324e-08
1884,1.5183903023796574e-08
1885,2.8360796822113343e-08
1886,2.3232469170686443e-08
1887,3.1338838857308815e-08
1888,1.648559844191766e-08
1889,4.1349903057152915e-08
1890,1.5730527991308918e-08
1891,3.4420789774003424e-08
1892,4.7013843929022414e-08
1893,3.510297519326855e-08
1894,2.7096618726574206e-08
1895,1.8055843487019274e-08
1896,2.0049897742069334e-08
1897,2.9716239691168767e-08
1898,3.734514275599565e-08
1899,2.432134493801641e-08
1900,4.3604845734179776e-08
1901,2.9061442141653515e-08
1902,1.3748794991386148e-08
1903,3.078125643263263e-08
1904,1.7736263124845664e-08
1905,2.4255567332431838e-08
1906,1.800464666246171e-08
1907,3.908561063692417e-08
1908,1.1787333775714615e-08
1909,2.0903737407707013e-08
1910,2.6186337986899844e-08
1911,3.298631845449762e-08
1912,2.8651816919023076e-08
1913,2.492405176690582e-08
1914,3.080502253283157e-08
1915,2.5917676005349222e-08
1916,1.8678685265172135e-08
1917,3.728584374584898e-08
1918,1.378365155346728e-08
1919,2.025726608678724e-08
1920,2.0445025228355007e-08
1921,3.256281466690325e-08
1922,1.770704560755121e-08
1923,2.1231896241147297e-09
1924,3.867487263775615e-08
1925,9.898360353588487e-09
1926,2.8979959765251806e-08
1927,2.006860555514578e-08
1928,9.14083297942625e-09
1929,1.559656870320225e-08
1930,2.730937009864931e-08
1931,2.167017765231094e-08
1932,2.4110979990332737e-08
1933,2.064719195615794e-08
1934,1.3179738189705859e-08
1935,2.752705441366743e-08
1936,2.909931406946953e-08
1937,2.7700460147883632e-08
1938,1.9447821131279852e-08
1939,1.5294050470515685e-08
1940,2.7893612752905028e-08
1941,8.854508237732261e-09
1942,4.551317811518629e-08
1943,5.806470415592457e-09
1944,1.927911696952833e-08
1945,1.742803190651898e-08
1946,9.744772988540262e-09
1947,1.4305045370477387e-08
1948,1.522064252412747e-08
1949,6.8719057111366055e-09
1950,1.1698897406375863e-08
1951,9.595261918349252e-09
1952,1.1599283977759e-08
1953,1.4005975490505307e-08
1954,9.772536335717064e-09
1955,1.5016972554349195e-08
1956,1.2209598665435806e-08
1957,1.0602045463770082e-08
1958,1.7371711014124713e-08
1959,1.0851046838844525e-08
1960,1.1765417085030094e-08
1961,1.737039845295385e-08
1962,7.610347740882872e-09
1963,1.1638896069143811e-08
1964,9.125952438182594e-09
1965,2.5718604135249734e-08
1966,1.0524241922382771e-08
1967,1.2818872185960117e-08
1968,1.9313087795680417e-08
1969,2.5888019672404283e-08
1970,9.657322275202773e-09
1971,6.679916619845017e-09
1972,1.4364410994005539e-08
1973,9.37244681864513e-09
1974,1.0688586016271984e-08
1975,1.2565256835017635e-08
1976,1.1998406490576485e-08
1977,1.1753563455840776e-08
1978,1.4851478491451076e-08
1979,1.1118749032590358e-08
1980,1.0801786132219604e-08
1981,1.0753434587229549e-08
1982,1.1794254350938616e-08
1983,9.47297351672205e-09
1984,1.8556828074167697e-08
1985,1.564045115642898e-08
1986,9.591176797218992e-09
1987,1.2221633483022742e-08
1988,1.1993107784658008e-08
1989,4.939309850016116e-09
1990,1.2531897075618303e-08
1991,1.1722930737256831e-08
1992,1.157088314052146e-08
1993,1.2740176913439427e-08
1994,1.47697947205927e-08
1995,8.133675954979935e-09
1996,1.1743802597052877e-08
1997,1.102825741838842e-08
1998,7.629006870679689e-09
1999,1.1882523076600648e-08
2000,6.627047355323157e-09
2001,7.448060168613324e-09
2002,7.009954394732176e-09
2003,1.2084076683738232e-08
2004,1.365485272075695e-08
2005,1.3511248453390579e-08
2006,9.059357874985352e-09
2007,1.2382886049877584e-08
2008,7.663391338175174e-09
2009,6.675469510497578e-09
2010,8.502827608669605e-09
2011,6.500752158800083e-09
2012,4.425528637996834e-09
2013,4.741512515948898e-09
2014,5.197068331241894e-09
2015,9.531274436369586e-09
2016,4.764082017771898e-09
2017,5.282783821503045e-09
2018,6.195520207974425e-09
2019,3.316284080678855e-09
