year,devrait_VERB aller_VERB
1907,8.07426374649367e-08
1908,1.1001511524000307e-07
1909,6.656190265630357e-08
1910,1.100895019590098e-07
1911,8.672209617088811e-08
1912,7.60575531444374e-08
1913,9.386291566215732e-08
1914,8.10305991194582e-08
1915,6.715034572835066e-08
1916,5.8233549538044826e-08
1917,1.0637431557825039e-07
1918,7.121553124989077e-08
1919,8.839534615390221e-08
1920,9.46528970757754e-08
1921,1.0450391130234493e-07
1922,7.451714623130101e-08
1923,7.112685551646791e-08
1924,6.316896161706609e-08
1925,1.055825080698014e-07
1926,7.57937428375044e-08
1927,7.804457169413581e-08
1928,9.826395341860916e-08
1929,1.1251810150270103e-07
1930,7.562594817045465e-08
1931,8.55401722787974e-08
1932,1.0740345857129796e-07
1933,8.144170493551428e-08
1934,9.824896096688462e-08
1935,8.018750463634206e-08
1936,7.396075574206407e-08
1937,9.065605155456069e-08
1938,1.0501823766162488e-07
1939,1.0705835506996664e-07
1940,7.60734906180005e-08
1941,5.60785480274717e-08
1942,9.406056733496371e-08
1943,1.2483911859817454e-07
1944,4.819779064746399e-08
1945,1.0892519952676594e-07
1946,1.0719250553847814e-07
1947,9.775114051535638e-08
1948,1.0545731043976048e-07
1949,1.4332832165564469e-07
1950,1.0103593695021118e-07
1951,1.2793681491984898e-07
1952,1.2653764258629963e-07
1953,1.2389901371534506e-07
1954,9.283909463420059e-08
1955,1.1168873470523977e-07
1956,1.0378158776802593e-07
1957,1.1927301102332422e-07
1958,1.0174859710332385e-07
1959,1.4493897992906568e-07
1960,1.5641083450645965e-07
1961,1.2923575809509202e-07
1962,1.3571786894317484e-07
1963,1.4289977912085305e-07
1964,1.399312736793945e-07
1965,1.3242345175967785e-07
1966,1.473393922424293e-07
1967,1.2818873074138537e-07
1968,1.4552186655691912e-07
1969,1.6259492952030996e-07
1970,1.7567128907103324e-07
1971,1.5209656112347147e-07
1972,1.6775580036210158e-07
1973,1.560236739805987e-07
1974,1.5920367957278359e-07
1975,1.5249652562943083e-07
1976,1.8683232383409631e-07
1977,1.7218971493093704e-07
1978,1.6455437901186087e-07
1979,1.7087762671508244e-07
1980,1.824933377747584e-07
1981,1.9545947793631058e-07
1982,1.7691381515305693e-07
1983,2.2229912133298058e-07
1984,2.093442077466534e-07
1985,1.9610719448337477e-07
1986,2.2838989366391615e-07
1987,2.1510075498554215e-07
1988,1.84693860205698e-07
1989,2.123903328765664e-07
1990,2.075936009759971e-07
1991,2.2683870781747828e-07
1992,1.8182815608724923e-07
1993,2.1602909328066744e-07
1994,2.5161401140394446e-07
1995,2.1310231090865273e-07
1996,1.8149513891785318e-07
1997,1.9323424282902124e-07
1998,2.2648613651199412e-07
1999,2.2576793412554252e-07
2000,2.2134338450996438e-07
2001,2.1336501276891795e-07
2002,2.102986371710358e-07
2003,2.2334707239224372e-07
2004,2.1979907671720866e-07
2005,2.283400988289941e-07
2006,2.4583803792666004e-07
2007,2.856052958577493e-07
2008,3.1845650028117234e-07
2009,3.003961239755881e-07
2010,4.3978513986075995e-07
2011,5.135594278726785e-07
2012,5.702123075934651e-07
2013,6.247640271794808e-07
2014,6.14120267528051e-07
2015,6.277341526583768e-07
2016,6.655215543105442e-07
2017,7.707832878622867e-07
2018,8.294252324958507e-07
2019,7.846838343539275e-07
