year,veulent_VERB appliquer_VERB
1874,1.7326366119618797e-08
1875,2.345826111138649e-08
1876,2.9625471853478302e-08
1877,2.535774612510977e-08
1878,2.536417298415472e-08
1879,1.8938909107646396e-08
1880,2.3104245627791897e-08
1881,2.370652651961791e-08
1882,1.7304001787010748e-08
1883,2.8437025179073316e-08
1884,4.2250860587955685e-08
1885,3.674012205578947e-08
1886,2.3877817056927597e-08
1887,1.4363633837888301e-08
1888,1.521747527988282e-08
1889,1.9421923624918236e-08
1890,2.3595791986963377e-08
1891,2.6134301833735663e-08
1892,3.6984221907232495e-08
1893,1.4164357686752282e-08
1894,3.276800342177921e-08
1895,1.9259566386153892e-08
1896,2.0049897742069334e-08
1897,2.855089675790623e-08
1898,2.8291774256672397e-08
1899,2.266307141951529e-08
1900,2.1283318218934255e-08
1901,3.073806453812722e-08
1902,2.9461702411026636e-08
1903,1.8900770726304472e-08
1904,2.5260739278110123e-08
1905,2.4771644291377015e-08
1906,2.36632491379396e-08
1907,3.188563013623025e-08
1908,3.732655784460803e-08
1909,3.025541062129378e-08
1910,2.8858414324872683e-08
1911,3.937076797910777e-08
1912,2.5526164293410147e-08
1913,1.3257474229533273e-08
1914,1.875088173619588e-08
1915,3.887651445211304e-08
1916,3.29623865980011e-08
1917,2.7416060532914344e-08
1918,2.986458014220261e-08
1919,2.1178051312631396e-08
1920,3.33178178379967e-08
1921,3.256281289054641e-08
1922,2.0658220023506146e-08
1923,2.7601466001669905e-08
1924,2.0626599095407983e-08
1925,1.2097995494286806e-08
1926,2.0063049888108253e-08
1927,1.8953683067479687e-08
1928,3.7705934374798744e-08
1929,1.7824650200282122e-08
1930,3.361153133596417e-08
1931,2.0529641986399838e-08
1932,1.2055489939655217e-08
1933,1.8353059516584835e-08
1934,2.156684431042777e-08
1935,3.231436807027421e-08
1936,1.4549657478823974e-08
1937,8.813782592653752e-09
1938,2.3337385357535823e-08
1939,3.058810094103137e-08
1940,3.296517903095264e-08
1941,0.0
1942,1.517105907566929e-08
1943,3.774205836748479e-08
1944,2.2492303131116387e-08
1945,3.0499055725385915e-08
1946,4.315542412314244e-08
1947,1.7881307101674793e-08
1948,2.717971980814582e-08
1949,2.846932467548413e-08
1950,1.808011518278363e-08
1951,2.9851925376078725e-08
1952,1.7926167217297007e-08
1953,1.939288907237824e-08
1954,2.052232517257835e-08
1955,1.9709776921672528e-08
1956,2.0930739808022736e-08
1957,2.1204090927540165e-08
1958,1.5717262158432277e-08
1959,1.4726420971555854e-08
1960,2.2838749558218296e-08
1961,9.03260666262895e-09
1962,1.9025868880362395e-08
1963,1.0992290633282664e-08
1964,1.764350798794112e-08
1965,1.586892572902343e-08
1966,2.4925835617750636e-08
1967,2.8102911997507363e-08
1968,2.6050212653672133e-08
1969,2.3162964879475112e-08
1970,1.977451802304131e-08
1971,2.8261185391897925e-08
1972,2.0520587895589415e-08
1973,1.543697081274331e-08
1974,2.025205780853412e-08
1975,1.9419033492340532e-08
1976,9.141642998145016e-09
1977,2.7620874476497193e-08
1978,1.3663360221016774e-08
1979,1.287434159280565e-08
1980,1.9329512213062117e-08
1981,2.783241725978769e-08
1982,1.4277254933858785e-08
1983,1.515675762675528e-08
1984,2.0296528902008504e-08
1985,1.804667348892508e-08
1986,1.3787316177626963e-08
1987,7.332980445085013e-09
1988,1.9188972188999287e-08
1989,1.6464365870660913e-08
1990,1.9070277801347402e-08
1991,2.05151273746651e-08
1992,1.4325855168806356e-08
1993,1.3294098266669607e-08
1994,1.476979427650349e-08
1995,1.4098372247417501e-08
1996,1.7615704450690828e-08
1997,1.8220598363427598e-08
1998,2.1456582288692516e-08
1999,2.3308025731694215e-08
2000,1.7230322058026104e-08
2001,2.760163475556965e-08
2002,1.9715496790695397e-08
2003,1.3334153337041244e-08
2004,1.5857247959161214e-08
2005,1.3961623857028371e-08
2006,1.6059770402421236e-08
2007,1.677681460421354e-08
2008,2.1287197782271505e-08
2009,1.8595951445377068e-08
2010,1.5116137674908714e-08
2011,1.4531093661673822e-08
2012,1.2936160587173617e-08
2013,1.3666713094551142e-08
2014,1.1260315346817151e-08
2015,7.536356427806368e-09
2016,1.3670844012381167e-08
2017,1.2074934829797712e-08
2018,5.937373259712331e-09
2019,6.12237061048404e-09
