year,voulaient_VERB appliquer_VERB
1885,1.353583467533781e-08
1886,3.2267319927115068e-09
1887,3.9173548849191775e-09
1888,1.1413106904001324e-08
1889,3.759081934617825e-09
1890,1.3108772733971819e-08
1891,1.1473596295275001e-08
1892,6.8953633913793055e-09
1893,9.853466487186324e-09
1894,1.764431090123253e-08
1895,1.625025980445116e-08
1896,6.486732040400511e-09
1897,6.409385022720926e-09
1898,1.2448380992680086e-08
1899,3.8693048765026106e-09
1900,2.0245106924221545e-08
1901,1.117747761014698e-08
1902,1.276673788908056e-08
1903,2.2680925582108102e-08
1904,9.13686282189019e-09
1905,8.257214467732865e-09
1906,2.0576738091193647e-09
1907,7.71426478252124e-09
1908,1.6698722404839828e-08
1909,1.6502950117569526e-08
1910,4.275320542035388e-09
1911,3.1922244847493175e-09
1912,1.0418842677495377e-08
1913,1.1666577037772186e-08
1914,1.1384464038144415e-08
1915,0.0
1916,9.888715624128963e-09
1917,4.386569774084137e-09
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,4.543339038320937e-09
1921,1.817459427400081e-08
1922,7.377935595798135e-09
1923,1.8047112249064412e-08
1924,2.5783249313349188e-08
1925,9.898360353588487e-09
1926,1.5604593173179637e-08
1927,4.4596899506643695e-09
1928,1.0283437212876834e-08
1929,1.3368487650211591e-08
1930,5.2518016602221e-09
1931,9.124285327288817e-09
1932,3.287861094491973e-09
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,0.0
1936,3.6374143697059935e-09
1937,1.2591118370153254e-08
1938,1.2965214679638848e-08
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,0.0
1946,4.1763312808029696e-09
1947,1.0728784083369192e-08
1948,5.435944139264848e-09
1949,8.835307596655184e-09
1950,1.0635361036293034e-08
1951,4.264560704569931e-09
1952,5.272402070488624e-09
1953,9.69644453618912e-09
1954,7.818028890937967e-09
1955,2.815682353940474e-09
1956,3.488456634670456e-09
1957,8.835037590415595e-09
1958,2.4816730892496253e-09
1959,2.325224457422337e-09
1960,1.1765417085030094e-08
1961,5.55852741612739e-09
1962,5.7077609305622445e-09
1963,6.466053470433053e-09
1964,5.475571551727398e-09
1965,6.5664522708175355e-09
1966,4.985167390003653e-09
1967,1.232583901611406e-08
1968,1.392338955241712e-08
1969,9.083515273289322e-09
1970,1.7935027685211935e-08
1971,1.1818314327172175e-08
1972,1.487742551375959e-08
1973,1.1577728109557484e-08
1974,2.812785782069227e-09
1975,7.996072248772634e-09
1976,9.141642998145016e-09
1977,7.639816779203557e-09
1978,1.1881182260253809e-08
1979,9.363157360553487e-09
1980,5.116635559687666e-09
1981,4.427884725544118e-09
1982,9.932003663948308e-09
1983,5.052252838311233e-09
1984,9.278413592994639e-09
1985,4.812446441349039e-09
1986,1.3187867686781374e-08
1987,3.6664902225425067e-09
1988,5.99655392008458e-09
1989,6.036934507847036e-09
1990,7.083246433836621e-09
1991,6.4476117778156095e-09
1992,7.162927584403178e-09
1993,4.985286850001103e-09
1994,1.160483886764041e-08
1995,5.4224509327127635e-09
1996,6.939520069693117e-09
1997,1.1987236092636522e-08
1998,8.582632382569955e-09
1999,7.769341614505265e-09
2000,7.510653432518666e-09
2001,8.762423675534592e-09
2002,6.133709984368352e-09
2003,5.000307723435071e-09
2004,6.166707589017051e-09
2005,8.106749049829887e-09
2006,6.1768350434476815e-09
2007,7.190063211481856e-09
2008,5.108927503272298e-09
2009,6.675469510497578e-09
2010,4.2514138876015295e-09
2011,5.353560705856353e-09
2012,4.425528388196653e-09
2013,3.0680376017500066e-09
2014,3.681256854903836e-09
2015,2.21657536769726e-09
2016,6.214019965256057e-09
2017,1.7609279590047322e-09
2018,5.162933192082164e-09
2019,3.826481798085979e-09
