year,pouvant_VERB accompagner_VERB
1909,1.5952851484257735e-08
1910,1.4963621453034648e-08
1911,9.044636151145369e-09
1912,8.856016364688912e-09
1913,5.302989602995467e-09
1914,8.036092680185902e-09
1915,1.767114277129167e-08
1916,6.592477230782379e-09
1917,1.6449636319748606e-08
1918,2.412139110674616e-08
1919,8.287063479883727e-09
1920,2.3473917920568965e-08
1921,1.060184651180407e-08
1922,5.164555005876537e-09
1923,9.554353752605493e-09
1924,7.734974438733389e-09
1925,6.598906754362588e-09
1926,2.6750733184144337e-08
1927,1.2264147031260109e-08
1928,1.0283437212876834e-08
1929,2.2280812750352652e-09
1930,1.7856125467119455e-08
1931,9.124285327288817e-09
1932,1.0959536389520963e-08
1933,1.605892663292252e-08
1934,1.0783422155213884e-08
1935,1.3165112555668657e-08
1936,9.699771652549316e-09
1937,7.554670666820584e-09
1938,1.6854778905894818e-08
1939,4.588215141154706e-09
1940,2.2822046474857416e-08
1941,0.0
1942,6.068423541449874e-09
1943,2.9032351633873077e-08
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,8.344609447874518e-09
1948,1.195907639583993e-08
1949,4.908504269707237e-09
1950,7.444753258312176e-09
1951,9.595261474260042e-09
1952,1.0544804140977249e-08
1953,2.0470272588113403e-08
1954,1.4658803948464083e-08
1955,1.407841132561316e-08
1956,1.1337483840634377e-08
1957,9.718541527092839e-09
1958,7.445019267748876e-09
1959,1.6276571201956358e-08
1960,1.3841666479663672e-08
1961,7.64297514166401e-09
1962,1.1415521861124489e-08
1963,8.405868889838075e-09
1964,2.6161064425878067e-08
1965,1.1491291473930687e-08
1966,1.5509408868297214e-08
1967,5.423369309198733e-09
1968,1.661823922916028e-08
1969,3.1792304344691047e-09
1970,1.4256047897731605e-08
1971,2.363662865434435e-08
1972,1.7442499000708267e-08
1973,1.3231689521830958e-08
1974,1.2376257352286757e-08
1975,1.1422960355389478e-08
1976,1.1427053969725876e-08
1977,5.876781727920388e-09
1978,6.534650598410963e-09
1979,1.1703946256602649e-08
1980,2.1035058139773355e-08
1981,1.644642821929665e-08
1982,1.6139505731871395e-08
1983,1.5788289786655696e-08
1984,1.1018116197192285e-08
1985,9.02333674446254e-09
1986,8.392279760016663e-09
1987,1.2832715334809564e-08
1988,1.4991384134077634e-08
1989,9.878619700032232e-09
1990,2.2339468941368068e-08
1991,1.4067516929117119e-08
1992,9.91789939064347e-09
1993,1.2186256448387667e-08
1994,1.476979427650349e-08
1995,1.5182862966867106e-08
1996,1.8149513891785318e-08
1997,1.3425704992187093e-08
1998,1.382757464085671e-08
1999,1.2339542720951613e-08
2000,2.7391795498488136e-08
2001,1.9277331730904734e-08
2002,1.0514931148009055e-08
2003,1.8334461060476315e-08
2004,2.026203915761471e-08
2005,1.9366122927522156e-08
2006,1.8530505130343045e-08
2007,2.157018919035636e-08
2008,9.366367237362283e-09
2009,2.1933685090402832e-08
2010,1.8895171649546683e-08
2011,2.1796640936599943e-08
2012,2.2808492872172792e-08
2013,1.6734750474256543e-08
2014,1.8839372728507442e-08
2015,1.9727520950141297e-08
2016,1.4085112631789798e-08
2017,2.213737992917686e-08
2018,1.858655984676716e-08
2019,1.7346716063570966e-08
