year,dut_VERB accompagner_VERB
1954,4.886268278880834e-09
1955,1.1262729415761896e-08
1956,4.360570571293465e-09
1957,5.301022731885041e-09
1958,1.6544486669545222e-08
1959,1.5501495642666896e-09
1960,6.2287499602575735e-09
1961,6.25334317660986e-09
1962,5.7077609305622445e-09
1963,6.466053470433053e-09
1964,7.909158661334459e-09
1965,6.5664522708175355e-09
1966,3.3234448526542337e-09
1967,5.916402479044791e-09
1968,4.940557296606585e-09
1969,4.541757636644661e-09
1970,1.0117195081704722e-08
1971,1.1818314327172175e-08
1972,6.156176013405457e-09
1973,7.718485406371656e-09
1974,1.3501372464475025e-08
1975,5.140332159925265e-09
1976,6.2848797277581525e-09
1977,3.526069214387917e-09
1978,5.346532105932056e-09
1979,5.851973128301324e-09
1980,7.95921106799824e-09
1981,1.8976649140967083e-09
1982,1.2415004579935385e-09
1983,7.57837881337764e-09
1984,2.8995041922996734e-09
1985,6.617113967877231e-09
1986,4.196139880008332e-09
1987,5.49973533381376e-09
1988,7.795519785247507e-09
1989,3.2928733073589456e-09
1990,7.083246433836621e-09
1991,4.10302547493302e-09
1992,3.856960972825618e-09
1993,7.754890063438324e-09
1994,1.5824779264761446e-09
1995,3.795715741716776e-09
1996,2.135236876199542e-09
1997,3.3564262480467733e-09
1998,2.3840645013706308e-09
1999,3.656160929565999e-09
2000,5.743440834038438e-09
2001,4.381211837767296e-09
2002,5.6955880012310445e-09
2003,2.5001538617175356e-09
2004,7.488145215006625e-09
2005,5.404499514582994e-09
2006,9.059357708451898e-09
2007,5.192823504529542e-09
2008,5.960415716543821e-09
2009,5.245011536203492e-09
2010,5.668551850135373e-09
2011,7.265546830836911e-09
2012,4.085103366691101e-09
2013,5.020424964641279e-09
2014,6.496335469563519e-09
2015,5.098123256885856e-09
2016,9.113896304313585e-09
2017,5.534344982294215e-09
2018,1.1358453733123497e-08
2019,7.90806176098613e-09
