year,eût_VERB accompagné_VERB
1984,5.799008384599347e-09
1985,1.8046674155058895e-09
1986,2.997242676272549e-09
1987,2.4443267410134695e-09
1988,1.1993107618124554e-09
1989,2.7440609784434855e-09
1990,2.179460389939436e-09
1991,2.9307325455363298e-09
1992,3.856960972825618e-09
1993,2.7696036575264316e-09
1994,1.0549853213248639e-09
1995,2.7112254663563817e-09
1996,2.6690460952494277e-09
1997,5.274384040632185e-09
1998,3.337690568372409e-09
1999,2.7421207526856506e-09
2000,5.743440834038438e-09
2001,1.7524847129024579e-09
2002,8.76244299341522e-10
2003,2.083461403401543e-09
2004,3.0833537945085254e-09
2005,1.3511248786457486e-09
2006,2.4707338397433887e-09
2007,3.1955835755326234e-09
2008,2.554463751636149e-09
2009,2.384096253749135e-09
2010,3.3066551718974324e-09
2011,3.823971805871906e-09
2012,5.446804340891731e-09
2013,8.08846234434668e-09
2014,4.330890313042346e-09
2015,8.86630147078904e-09
2016,6.8354220061905835e-09
2017,4.2765391228272165e-09
2018,9.035133530232997e-09
2019,7.397864543179367e-09
