year,put_VERB aller_VERB
1971,7.039604810188393e-08
1972,6.361381821307077e-08
1973,6.946636688098806e-08
1974,6.469407765052893e-08
1975,5.425906124401081e-08
1976,5.770662170334617e-08
1977,6.170620991952092e-08
1978,7.425739312338919e-08
1979,5.383815349091492e-08
1980,7.220141640118527e-08
1981,6.135783081617774e-08
1982,5.0280767993626796e-08
1983,6.631081816976803e-08
1984,5.625038212997424e-08
1985,5.233535560478231e-08
1986,5.3350920126149504e-08
1987,4.460896363411848e-08
1988,4.8572086797094016e-08
1989,5.81740948746301e-08
1990,4.6858399826987807e-08
1991,4.1616402768340777e-08
1992,5.895640242670197e-08
1993,6.591656642740418e-08
1994,7.384897315887429e-08
1995,5.6393488989670004e-08
1996,5.3380922793166974e-08
1997,3.068732468136659e-08
1998,4.6727667069035306e-08
1999,5.347135356714716e-08
2000,4.373851325567557e-08
2001,4.687896648647438e-08
2002,6.440395594609072e-08
2003,5.583676809806093e-08
2004,4.845270495934528e-08
2005,5.6747243348809207e-08
2006,4.941468034758145e-08
2007,6.231388027799767e-08
2008,7.109924382575628e-08
2009,8.105926951884612e-08
2010,8.313875810017635e-08
2011,8.871614909367054e-08
2012,9.804247724787274e-08
2013,1.124017359188656e-07
2014,1.219145673303501e-07
2015,1.2767473833719123e-07
2016,1.4457953056989936e-07
2017,9.911508414006676e-08
2018,1.0635643121759131e-07
2019,9.974362313869278e-08
