year,pourrait_VERB aller_VERB
1877,3.333615836709214e-07
1878,2.874606082059472e-07
1879,2.755305672508257e-07
1880,2.9907164389442187e-07
1881,2.7611130803961714e-07
1882,3.4341786658842466e-07
1883,2.3823908179565478e-07
1884,2.4624330308142817e-07
1885,2.8683078312496946e-07
1886,2.9105120802341844e-07
1887,2.7095038035440666e-07
1888,2.4982023205666337e-07
1889,2.336896045562753e-07
1890,3.054344119846064e-07
1891,2.7345404873813095e-07
1892,3.021422969595733e-07
1893,2.4448914359709306e-07
1894,2.8230897441972047e-07
1895,2.588004122117127e-07
1896,3.054661021906213e-07
1897,2.732728603405121e-07
1898,2.484017898041202e-07
1899,3.1507195785707154e-07
1900,2.969282490994374e-07
1901,2.8782005756511353e-07
1902,2.4796932507342717e-07
1903,2.8621167302844697e-07
1904,2.746433551692462e-07
1905,2.884864329644188e-07
1906,2.5566598083059944e-07
1907,2.8131353246863e-07
1908,3.2071369560071616e-07
1909,2.6789788876158127e-07
1910,3.083574995343952e-07
1911,2.527177684896742e-07
1912,2.891228803036938e-07
1913,2.540132015838026e-07
1914,2.4309179025294725e-07
1915,2.203002509304497e-07
1916,2.3623043432507984e-07
1917,2.445512734539079e-07
1918,2.297275329965487e-07
1919,2.3387934788843268e-07
1920,3.0061758593546983e-07
1921,2.3551244510144898e-07
1922,2.456852428167622e-07
1923,2.919385622135451e-07
1924,2.9521820010813826e-07
1925,2.6505608730076347e-07
1926,2.4298580569848127e-07
1927,2.6312170575693017e-07
1928,2.616563392621174e-07
1929,2.7405400260249735e-07
1930,2.920001804795902e-07
1931,3.0452301302830165e-07
1932,2.871398692150251e-07
1933,2.8676655006165674e-07
1934,2.731800350375124e-07
1935,3.159626942306204e-07
1936,2.4855665969880647e-07
1937,2.68190802898971e-07
1938,2.2818777267730184e-07
1939,2.9823397085237957e-07
1940,2.611856473322405e-07
1941,2.2726570136910595e-07
1942,2.3666851234338537e-07
1943,3.512914474868012e-07
1944,2.731208326167689e-07
1945,3.790597133956908e-07
1946,3.480276120626513e-07
1947,3.0875057177581766e-07
1948,3.3267977528339543e-07
1949,3.2985147413455707e-07
1950,3.56284601821244e-07
1951,3.656860769751802e-07
1952,3.279434110936563e-07
1953,2.855064167306409e-07
1954,3.459477682099532e-07
1955,3.144178606362402e-07
1956,2.886697814119543e-07
1957,3.5075100868198206e-07
1958,3.366803014159814e-07
1959,3.123551266526192e-07
1960,3.100533376709791e-07
1961,3.362908955750754e-07
1962,3.4373402968412847e-07
1963,3.3817457278928487e-07
1964,3.522617646467552e-07
1965,3.294170198842039e-07
1966,3.395452949916944e-07
1967,3.293464203579788e-07
1968,3.9883772728899203e-07
1969,3.442652314333827e-07
1970,3.9595022371941013e-07
1971,3.514663831083453e-07
1972,3.1755610052641714e-07
1973,3.451265513376711e-07
1974,3.31908722728258e-07
1975,3.19842882845478e-07
1976,3.7080789638821443e-07
1977,3.66711191190916e-07
1978,3.5643549267661e-07
1979,3.850598488952528e-07
1980,3.666922054890165e-07
1981,4.0103984133565973e-07
1982,3.8672737900924403e-07
1983,3.947072571008903e-07
1984,4.2622713181117433e-07
1985,3.615350294694508e-07
1986,3.944371371744637e-07
1987,3.8742578567507735e-07
1988,3.7358529425546294e-07
1989,3.819733080945298e-07
1990,3.90668276395445e-07
1991,3.751337658286502e-07
1992,3.901040486198326e-07
1993,3.949454878693359e-07
1994,4.130267541313515e-07
1995,4.2674687961152813e-07
1996,3.928835781152884e-07
1997,3.763992140193295e-07
1998,3.8288078485493315e-07
1999,3.889241213528294e-07
2000,3.8348514408426126e-07
2001,3.842322655600583e-07
2002,4.5783764335283195e-07
2003,4.24609453375524e-07
2004,4.3563386498135515e-07
2005,4.494742142924224e-07
2006,4.822048822461511e-07
2007,5.296680001265486e-07
2008,4.768332360072236e-07
2009,5.287925546326733e-07
2010,6.051178615962272e-07
2011,6.531344070026535e-07
2012,7.479143278033007e-07
2013,8.55424673318339e-07
2014,8.54268137118197e-07
2015,8.403037554671755e-07
2016,8.571204830332135e-07
2017,9.234809112967923e-07
2018,1.0098697202920448e-06
2019,9.247330581274582e-07
