year,pourraient_VERB appliquer_VERB
1925,1.5397448649423495e-08
1926,1.3375366592072169e-08
1927,2.7873062080630007e-08
1928,1.1426041446327417e-08
1929,1.5596569369336066e-08
1930,7.352522590764465e-09
1931,1.0264820993199919e-08
1932,8.767629289252454e-09
1933,1.1470662641954732e-08
1934,1.1981580172459871e-09
1935,5.98414207075848e-09
1936,1.9399543305098632e-08
1937,7.554670666820584e-09
1938,1.2965214679638848e-08
1939,0.0
1940,7.607348528892999e-09
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,3.5762612871081956e-09
1948,1.0871888278529696e-08
1949,9.817008539414473e-09
1950,6.381216888229346e-09
1951,9.595261474260042e-09
1952,1.2653764258629963e-08
1953,5.386913581872932e-09
1954,1.2704297169818801e-08
1955,1.0324168187025862e-08
1956,1.3081712602058815e-08
1957,1.8553580005686854e-08
1958,9.099467845885556e-09
1959,4.650448914844674e-09
1960,6.920833239831836e-09
1961,1.737039845295385e-08
1962,1.2049716779927166e-08
1963,5.1728425987107585e-09
1964,9.125952438182594e-09
1965,7.660860390501512e-09
1966,6.6468897053084675e-09
1967,5.423369309198733e-09
1968,6.737123747768692e-09
1969,7.72098829315837e-09
1970,8.277704743875347e-09
1971,1.1304474689666222e-08
1972,7.69522046084603e-09
1973,8.821126051827832e-09
1974,1.406392957647995e-08
1975,7.4249242310031605e-09
1976,9.712995741040231e-09
1977,1.4104276857551667e-08
1978,8.316828115084718e-09
1979,6.437170796402825e-09
1980,9.096241093686785e-09
1981,1.3916208629893845e-08
1982,1.5518756057986138e-08
1983,1.1999100379966876e-08
1984,1.5077421977593986e-08
1985,9.624892882698077e-09
1986,1.019062523255343e-08
1987,4.277571630240118e-09
1988,9.594486094499644e-09
1989,1.5366742545097622e-08
1990,1.0352437129768077e-08
1991,1.2309077312977479e-08
1992,6.61193322315512e-09
1993,4.985286850001103e-09
1994,5.802419433820205e-09
1995,8.675921314704738e-09
1996,1.014237493990322e-08
1997,5.753873377756236e-09
1998,3.337690568372409e-09
1999,7.312321859131998e-09
2000,1.3254094710646314e-08
2001,1.1391150245287918e-08
2002,1.2267419968736704e-08
2003,7.500461585152607e-09
2004,7.488145215006625e-09
2005,9.457874483587148e-09
2006,1.0294725072412803e-08
2007,1.2782334302130494e-08
2008,7.2376473703172906e-09
2009,1.0490023072406984e-08
2010,7.085689368580006e-09
2011,3.4415748029203996e-09
2012,2.382976926895708e-09
2013,3.6258624991347688e-09
2014,4.330890313042346e-09
2015,6.871383906315032e-09
2016,3.1070099826280284e-09
2017,4.528100561174142e-09
2018,5.421080029321956e-09
2019,2.5509878653906526e-09
