year,pouvait_VERB envoyer_VERB,pouvait_VERB renvoyer_VERB
1853,8.420423824873069e-08,1.7318601663873778e-08
1854,9.560022817822755e-08,1.9743524148907454e-08
1855,1.6663781821080192e-07,2.653468555990912e-08
1856,1.0457922172690814e-07,3.36517302912398e-08
1857,6.83411300883563e-08,5.174399575480493e-08
1858,1.1744822359105456e-07,3.1808895073481835e-08
1859,1.3596103087820666e-07,1.4258085379026397e-08
1860,1.1259872678692773e-07,3.204028686809579e-08
1861,8.488734692946309e-08,2.0278644541349422e-08
1862,7.228778287071691e-08,1.445755604123633e-08
1863,7.691716064073262e-08,3.346395871517416e-08
1864,6.808513575151665e-08,1.582260189536555e-08
1865,8.519388217109736e-08,1.4591217123438582e-08
1866,9.147352386662533e-08,2.4814625021463144e-08
1867,1.1937916610804677e-07,2.329349513274792e-08
1868,1.289307078877755e-07,2.7169306804353255e-08
1869,1.606677813015267e-07,1.8557372527538973e-08
1870,9.17447806614291e-08,4.3578772590535664e-08
1871,1.348889497876371e-07,1.1683295220166201e-08
1872,1.2034205099098472e-07,2.4794090336399677e-08
1873,8.200826329129995e-08,1.5563610844537834e-08
1874,1.392083959217416e-07,1.6728906260254917e-08
1875,9.955456903298909e-08,2.7463329388410784e-08
1876,9.975924086802479e-08,1.5115036333668286e-08
1877,9.277223966819292e-08,1.1132669008873108e-08
1878,9.239805365268694e-08,1.3285995414946683e-08
1879,1.1118972054191545e-07,2.1382637882538802e-08
1880,8.920806493506461e-08,1.0268554007097919e-08
1881,9.27343535295222e-08,5.438555916725818e-08
1882,7.387477296560974e-08,2.3959387362992857e-08
1883,1.0426909113903093e-07,6.003372021723408e-08
1884,1.0694748908690599e-07,2.442627788923346e-08
1885,6.123353557541122e-08,2.513797880965285e-08
1886,8.26043375923291e-08,3.291266637006629e-08
1887,9.923965649250022e-08,1.3057849024278312e-08
1888,7.418519487600861e-08,1.7119660356001987e-08
1889,1.4096558231813106e-07,2.380751951136517e-08
1890,7.078737240817645e-08,2.3595791986963377e-08
1891,8.477712754029199e-08,7.649063604731055e-09
1892,6.958048714977849e-08,2.3193495124473884e-08
1893,6.712674149866871e-08,2.155445777418663e-08
1894,5.5453547531669756e-08,1.827446460822557e-08
1895,1.0893692348190598e-07,3.1296796265678495e-08
1896,6.191880430606034e-08,3.2433661090180976e-08
1897,5.010973680441566e-08,1.806281169081103e-08
1898,5.2056865484928494e-08,2.2633418694795182e-08
1899,7.849160965633928e-08,3.3165470370022376e-08
1900,8.66905907059845e-08,1.557315876254961e-08
1901,8.27133348479947e-08,1.900171220370339e-08
1902,7.709145677381457e-08,2.1114219705964388e-08
1903,8.586350475070503e-08,1.83607493653426e-08
1904,7.040758731591268e-08,3.278521276683932e-08
1905,7.225062859106401e-08,2.0643035725242953e-08
1906,7.356183573392627e-08,1.2860461140462576e-08
1907,8.02283537382209e-08,2.0057088434555226e-08
1908,8.39847515976544e-08,1.3751889405000384e-08
1909,6.051082124258755e-08,1.4852655993990993e-08
1910,7.268045010278001e-08,1.6566866989364826e-08
1911,3.724261787851901e-08,8.51259862599818e-09
1912,6.876435776348444e-08,2.2921453179947093e-08
1913,6.41661728195686e-08,1.484837142129436e-08
1914,6.629776549971211e-08,1.339348720819089e-08
1915,7.775302890422608e-08,1.4136913861761968e-08
1916,1.274545553542339e-07,1.9777431248257926e-08
1917,7.347504293875318e-08,1.4256351654751143e-08
1918,7.236417332023848e-08,1.8378202071289707e-08
1919,5.524708868165362e-08,2.1178051312631396e-08
1920,6.890731185649202e-08,1.9687803387569147e-08
1921,4.619375815195781e-08,2.0446417892117097e-08
1922,5.6810101511928224e-08,1.1066902949607993e-08
1923,6.263409346729532e-08,8.492758496458919e-09
1924,5.1566498626698376e-08,1.4180787211159895e-08
1925,5.27912540349007e-08,2.4195990988573612e-08
1926,6.576221522891501e-08,1.114613823460786e-08
1927,5.9090890403012963e-08,1.3379070296082318e-08
1928,6.969884935870141e-08,4.570416489713125e-09
1929,6.572840050012019e-08,2.0052731031228177e-08
1930,1.039856769580183e-07,9.453243521306831e-09
1931,7.86969636124013e-08,1.596749932275543e-08
1932,5.4797684612140074e-08,8.767629289252454e-09
1933,7.11181087353907e-08,2.064719240024715e-08
1934,7.188948103475923e-08,2.3963160344919743e-08
1935,8.138432860960165e-08,1.795242710045386e-08
1936,6.66859278908305e-08,1.4549657478823974e-08
1937,5.666003133342201e-08,1.888667711114067e-08
1938,9.464606876008475e-08,9.075650453382877e-09
1939,5.8117393564316444e-08,1.3764645423464117e-08
1940,6.339457314652464e-08,3.0429394115571995e-08
1941,2.9515025090631752e-08,8.854508237732261e-09
1942,7.58552971547033e-08,6.068423541449874e-09
1943,8.129058670647282e-08,1.4516175816936538e-08
1944,8.675602458652065e-08,9.639558484764166e-09
1945,7.406913482554955e-08,3.0499055725385915e-08
1946,8.491873870752897e-08,5.568441707737293e-09
1947,6.914105199484766e-08,1.0728784083369192e-08
1948,6.631851334759631e-08,1.4133454406817236e-08
1949,5.2030145525350235e-08,9.817008539414473e-09
1950,7.232046073113452e-08,2.1270722072586068e-08
1951,5.330700858507953e-08,1.3859822622919182e-08
1952,3.4797853487589236e-08,1.7926167217297007e-08
1953,4.5250075686453783e-08,1.1851209791302608e-08
1954,5.374894840315392e-08,9.772536557761669e-09
1955,2.7218263198847126e-08,1.407841132561316e-08
1956,4.7966278060584955e-08,1.1337483840634377e-08
1957,6.361226922990681e-08,2.03205861026845e-08
1958,5.542403158642628e-08,1.0753916868111446e-08
1959,5.115493451057773e-08,1.3951345856355601e-08
1960,6.851625045101173e-08,2.2838749558218296e-08
1961,6.531269747256374e-08,9.03260666262895e-09
1962,5.961439342172525e-08,2.029426049432459e-08
1963,5.237503231114715e-08,6.466053470433053e-09
1964,4.988854129805986e-08,1.5818317322668918e-08
1965,4.54179591713455e-08,1.91521518644322e-08
1966,4.708213552362395e-08,9.970334780007306e-09
1967,3.9442685562107727e-08,8.874604162656397e-09
1968,5.9286687559279017e-08,2.2906220920049236e-08
1969,5.268439196015606e-08,1.6350327314285096e-08
1970,5.2425466634531404e-08,2.0234390163409444e-08
1971,3.288574390580834e-08,1.284599360218408e-08
1972,4.411926468605998e-08,1.6929485369132635e-08
1973,5.402939606824475e-08,9.923766697284009e-09
1974,3.994155761688489e-08,1.0688586016271984e-08
1975,3.655347313724633e-08,1.6563292959403952e-08
1976,4.399415587386102e-08,1.9425991482080462e-08
1977,2.938390863960194e-08,1.9393379346865913e-08
1978,3.9801960838303785e-08,2.0792070287711795e-08
1979,4.447499790671827e-08,2.2822696621460636e-08
1980,4.548120458025551e-08,1.8760998088396263e-08
1981,2.340453342242199e-08,1.3916208629893845e-08
1982,4.6556266397601576e-08,2.3588508923921836e-08
1983,4.862793190341108e-08,1.705135410645653e-08
1984,3.7113654371978555e-08,2.9574943383181562e-08
1985,4.271046094572739e-08,1.804667348892508e-08
1986,4.2560845514572065e-08,2.2179596825822046e-08
1987,3.483165755824302e-08,1.7721369260925712e-08
1988,2.938311283173789e-08,1.798966131616453e-08
1989,3.0733485090195245e-08,2.3050112929468014e-08
1990,3.596109721115681e-08,2.2884334427430986e-08
1991,3.57549367890897e-08,2.5790447111262438e-08
1992,4.848750734254281e-08,1.928480486412809e-08
1993,3.655877023334142e-08,3.157348160698348e-08
1994,3.428702299856923e-08,2.479215588380157e-08
1995,3.958389171998533e-08,4.0126135303353294e-08
1996,4.003569031851839e-08,2.1886178203089912e-08
1997,5.22643510691978e-08,2.7810388658622287e-08
1998,3.671459580800729e-08,2.860877579280441e-08
1999,3.8846710737061585e-08,3.564757022900267e-08
2000,4.948195453380322e-08,1.899753598877396e-08
2001,4.249775287235025e-08,2.1467938537966802e-08
2002,5.301277994362863e-08,2.716357272447567e-08
2003,4.833630740108674e-08,2.9585152105937595e-08
2004,3.964312256243829e-08,3.215497557107483e-08
2005,4.3686370077011816e-08,3.2877373712381086e-08
2006,4.200247616381603e-08,4.612036619278115e-08
2007,4.513761808766503e-08,2.4765773432022797e-08
2008,5.108927680907982e-08,2.809910171208685e-08
2009,5.292693572300777e-08,2.574823909640145e-08
2010,5.71578944175144e-08,2.8342757474320024e-08
2011,6.577231914661752e-08,1.9884653923440965e-08
2012,8.885099589406309e-08,2.791487219155897e-08
2013,8.590505018446493e-08,2.5938863501551168e-08
2014,8.401926976375762e-08,1.9489005964601347e-08
2015,8.445152133162992e-08,2.792885034352821e-08
2016,8.492494174561216e-08,2.6927420293532123e-08
2017,7.34558511794603e-08,2.842640789424422e-08
2018,7.976731808412296e-08,2.0651732768328657e-08
2019,7.857042305658979e-08,2.3724185282958388e-08
