year,devrait_VERB avoir_VERB
1901,1.2507597375588375e-06
1902,1.1161075690324651e-06
1903,1.228550104315218e-06
1904,1.2162777238700073e-06
1905,1.3464419907904812e-06
1906,1.1697875379468314e-06
1907,1.1910825605809805e-06
1908,1.196905486722244e-06
1909,1.303733142776764e-06
1910,1.23930851714249e-06
1911,1.4136234085526667e-06
1912,1.2669312354773865e-06
1913,1.151279093392077e-06
1914,1.1665727015497396e-06
1915,1.1498024150569108e-06
1916,1.0580926073089358e-06
1917,1.200823476210644e-06
1918,1.145191731666273e-06
1919,1.2402971378833172e-06
1920,1.2797071349268663e-06
1921,1.238144250237383e-06
1922,1.3051568430455518e-06
1923,1.3344247236091178e-06
1924,1.1666919590425096e-06
1925,1.3131824516676716e-06
1926,1.184834559353476e-06
1927,1.170668610939174e-06
1928,1.2123030046495842e-06
1929,1.2076200164301554e-06
1930,1.275137492484646e-06
1931,1.2089677738913451e-06
1932,1.270210304937791e-06
1933,1.2950378049936262e-06
1934,1.1909691011169343e-06
1935,1.2458983746910235e-06
1936,1.225808659910399e-06
1937,1.1432734936533961e-06
1938,1.087781470232585e-06
1939,1.044583655129827e-06
1940,1.2425335853549768e-06
1941,1.027122948471515e-06
1942,1.0255636198053253e-06
1943,1.123552010540152e-06
1944,1.4619996591136442e-06
1945,3.7295990296115633e-06
1946,1.3461707339956774e-06
1947,1.3387137869358412e-06
1948,1.2143898402428022e-06
1949,1.3733994137510308e-06
1950,1.4219477861843188e-06
1951,1.2889635172541603e-06
1952,1.3233728850536863e-06
1953,1.3025556881984812e-06
1954,1.3339512179300073e-06
1955,1.2398387525536236e-06
1956,1.3840451629221207e-06
1957,1.2006815950371674e-06
1958,1.2408364682414685e-06
1959,1.1703629070325405e-06
1960,1.1876149983436335e-06
1961,1.288883595407242e-06
1962,1.413622044310614e-06
1963,1.3817955277772853e-06
1964,1.3786271892968216e-06
1965,1.3149319784133695e-06
1966,1.3232850051281275e-06
1967,1.2429376283762394e-06
1968,1.3703310060009244e-06
1969,1.4760712474526372e-06
1970,1.6058747860370204e-06
1971,1.4932182921256754e-06
1972,1.4502925296255853e-06
1973,1.3887760133002303e-06
1974,1.5144039480219362e-06
1975,1.4415776377063594e-06
1976,1.533510612716782e-06
1977,1.4498020846076543e-06
1978,1.416831082678982e-06
1979,1.5062979628055473e-06
1980,1.513387132945354e-06
1981,1.4795460856475984e-06
1982,1.5363567626991426e-06
1983,1.5320956663344987e-06
1984,1.6179233170987573e-06
1985,1.446741748623026e-06
1986,1.4986213727752329e-06
1987,1.4830952750344295e-06
1988,1.5225250535877421e-06
1989,1.5608219428031589e-06
1990,1.3714254691876704e-06
1991,1.5450822274942766e-06
1992,1.4166066648613196e-06
1993,1.3886792658013292e-06
1994,1.6209849036386004e-06
1995,1.4472520888375584e-06
1996,1.513882921244658e-06
1997,1.415452857145283e-06
1998,1.4375909813679755e-06
1999,1.503596195107093e-06
2000,1.4292331798060331e-06
2001,1.417760131516843e-06
2002,1.5123977163966629e-06
2003,1.3588335150416242e-06
2004,1.4571049860023777e-06
2005,1.4015669194122893e-06
2006,1.4062594573260867e-06
2007,1.2930130424138042e-06
2008,1.289152692152129e-06
2009,1.3541666703531519e-06
2010,1.3680104302693508e-06
2011,1.272235522264964e-06
2012,1.254126686944801e-06
2013,1.282160837945412e-06
2014,1.192943727801321e-06
2015,1.2284260719752638e-06
2016,1.273459815820388e-06
2017,1.2827101727452828e-06
2018,1.2930566981594893e-06
2019,1.2017703738820273e-06
