year,pourraient_VERB accompagner_VERB
1882,1.5972924316542958e-08
1883,1.0742875922176154e-08
1884,9.242375753615306e-09
1885,7.7347630522695e-09
1886,1.2261581083805595e-08
1887,3.9173548849191775e-09
1888,4.4384300679212174e-09
1889,1.3783300722991498e-08
1890,9.831579994568074e-09
1891,3.824531802365527e-09
1892,3.761107425503951e-09
1893,1.539604177480669e-08
1894,2.2055386850183822e-08
1895,7.22233739480771e-09
1896,1.7691087705884456e-08
1897,8.157399200570126e-09
1898,6.7900258748920805e-09
1899,7.185851913504848e-09
1900,3.633737311048435e-09
1901,7.824234593556412e-09
1902,1.0802624572647801e-08
1903,8.100330184390714e-09
1904,2.6873125946735854e-09
1905,3.6125313851442797e-09
1906,4.115347618238729e-09
1907,2.057137349353866e-09
1908,5.40252820258047e-09
1909,6.0510818578052294e-09
1910,1.4963621453034648e-08
1911,8.51259862599818e-09
1912,3.646594803896619e-09
1913,3.181793939432964e-09
1914,4.018046340092951e-09
1915,1.295883844676382e-08
1916,9.888715624128963e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,0.0
1920,6.815008557481406e-09
1921,6.058197943303867e-09
1922,1.1066902949607993e-08
1923,2.1231896241147297e-09
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,4.458455382660986e-09
1927,2.2298449753321847e-09
1928,4.570416489713125e-09
1929,2.2280812750352652e-09
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,9.863582839386709e-09
1933,9.176529758292418e-09
1934,3.5944740517379614e-09
1935,1.6755597798123745e-08
1936,1.9399543305098632e-08
1937,1.7627565185307503e-08
1938,5.186085783037697e-09
1939,1.3764645423464117e-08
1940,7.607348528892999e-09
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,0.0
1948,6.523132700664291e-09
1949,1.0798709482173763e-08
1950,1.0635361036293034e-08
1951,6.396841278899501e-09
1952,6.326882129314981e-09
1953,1.0773827385790469e-09
1954,1.9545072227344917e-09
1955,1.8771215692936494e-09
1956,5.232684952005684e-09
1957,6.184526224473075e-09
1958,4.9633461784992505e-09
1959,3.8753737996444215e-09
1960,8.305000243069571e-09
1961,7.64297514166401e-09
1962,6.976152100435229e-09
1963,5.819448034571906e-09
1964,1.1559539991878864e-08
1965,9.849678406226303e-09
1966,8.862519607077957e-09
1967,1.4791006197611978e-09
1968,1.1677681044375277e-08
1969,5.904285060864822e-09
1970,1.7015283404475667e-08
1971,1.3873672877195986e-08
1972,7.182205497002769e-09
1973,4.9618833486420044e-09
1974,7.875800456247362e-09
1975,9.709516746170266e-09
1976,6.2848797277581525e-09
1977,7.639816779203557e-09
1978,7.72276909088987e-09
1979,5.851973128301324e-09
1980,6.253665585376211e-09
1981,8.855769451088236e-09
1982,4.345251713999687e-09
1983,5.052252838311233e-09
1984,7.538710988796993e-09
1985,1.0828004270990732e-08
1986,1.2588419195935785e-08
1987,9.777306964053878e-09
1988,1.199310784016916e-08
1989,1.4817929994137558e-08
1990,1.1442167213715493e-08
1991,1.1136783939491579e-08
1992,8.264915862810085e-09
1993,7.200969598386564e-09
1994,1.318731612798274e-08
1995,6.506940763983948e-09
1996,8.007138063703678e-09
1997,1.1507746755512471e-08
1998,1.0489884516573511e-08
1999,1.553868322901053e-08
2000,1.0603275590881367e-08
2001,1.445799924226776e-08
2002,7.886198361006791e-09
2003,1.0417307017007715e-08
2004,1.189293641346012e-08
2005,1.6213498099659773e-08
2006,1.2353670086895363e-08
2007,9.18730247434496e-09
2008,1.2346575317678798e-08
2009,9.53638501499654e-09
2010,7.558068837454357e-09
2011,1.2619107536693264e-08
2012,8.170206733382201e-09
2013,8.08846234434668e-09
2014,9.311413862178597e-09
2015,9.531274436369586e-09
2016,7.042556315894899e-09
2017,1.0314006537726073e-08
2018,8.518839855753413e-09
2019,9.94885240857002e-09
