year,pourrait_VERB accompagner_VERB
1909,8.251475058784763e-09
1910,8.550641084070776e-09
1911,1.276889793899727e-08
1912,1.1981668990301841e-08
1913,1.590896969716482e-09
1914,4.018046340092951e-09
1915,0.0
1916,0.0
1917,7.676496771580332e-09
1918,1.4932290071101306e-08
1919,2.762354567309444e-09
1920,8.329454459499175e-09
1921,7.572747762196741e-09
1922,3.6889677978990676e-09
1923,3.1847844361720945e-09
1924,0.0
1925,7.698724324711748e-09
1926,3.343841648018042e-09
1927,1.3379070296082318e-08
1928,5.713020723163709e-09
1929,5.570202965543558e-09
1930,1.0503603542488804e-09
1931,7.983749661377715e-09
1932,2.1919073223131136e-09
1933,1.1470662641954732e-08
1934,8.38710612072191e-09
1935,2.393656828303392e-09
1936,0.0
1937,6.295559185076627e-09
1938,1.0372171566075394e-08
1939,3.058810094103137e-09
1940,7.607348528892999e-09
1941,0.0
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,8.352662561605939e-09
1947,2.0265479960812627e-08
1948,1.0871888278529696e-08
1949,1.2762110479513922e-08
1950,7.444753258312176e-09
1951,4.264560704569931e-09
1952,9.490323193972472e-09
1953,5.386913581872932e-09
1954,1.5636057781875934e-08
1955,9.385607846468247e-09
1956,1.2209598665435806e-08
1957,7.951533653738352e-09
1958,9.926692356998501e-09
1959,8.525822714489095e-09
1960,6.2287499602575735e-09
1961,1.111705483225478e-08
1962,1.0147130247162295e-08
1963,9.052474325699222e-09
1964,9.125952438182594e-09
1965,6.0192477668863376e-09
1966,5.539074976468328e-09
1967,5.423369309198733e-09
1968,7.635406973349745e-09
1969,1.0446043141598693e-08
1970,1.0577067222072856e-08
1971,1.0276794526475896e-08
1972,7.182205497002769e-09
1973,1.4334330167287135e-08
1974,1.1251143128276908e-08
1975,1.0851811893530794e-08
1976,7.998937512354587e-09
1977,1.057820764316375e-08
1978,1.0693064211864112e-08
1979,8.192762912528906e-09
1980,9.664756106531058e-09
1981,1.2651098835192442e-08
1982,7.449002747961231e-09
1983,1.8314416649900522e-08
1984,5.219107812592938e-09
1985,1.2031115659283387e-08
1986,1.0790073723399018e-08
1987,1.4665960890170027e-08
1988,1.3192418713003917e-08
1989,9.878619700032232e-09
1990,1.3621627381610324e-08
1991,1.6998249918742658e-08
1992,2.0386792698445788e-08
1993,1.0524494165053966e-08
1994,1.2132331583813993e-08
1995,2.0063067651676647e-08
1996,1.6014276127407356e-08
1997,1.4384683666435194e-08
1998,1.4304387896402204e-08
1999,2.833524703760304e-08
2000,1.767212509662386e-08
2001,1.9715452381774412e-08
2002,1.270554239596322e-08
2003,2.416815370054337e-08
2004,1.5857247959161214e-08
2005,1.8915748967174295e-08
2006,1.8530505130343045e-08
2007,2.077129401811817e-08
2008,1.575252639440805e-08
2009,2.4794601927169424e-08
2010,1.1337103700270745e-08
2011,1.5295887223487625e-08
2012,2.008509092377153e-08
2013,1.2551062411603198e-08
2014,1.9272462736807938e-08
2015,1.662431614590787e-08
2016,1.3256576281150956e-08
2017,2.2388940479345365e-08
2018,1.6005094138904497e-08
2019,1.785691416955615e-08
