year,devraient_VERB accompagner_VERB
1992,1.2121876835635703e-08
1993,1.2186256448387667e-08
1994,1.318731612798274e-08
1995,2.6570008415660595e-08
1996,2.1886178203089912e-08
1997,1.7261619689179497e-08
1998,2.8131962537258914e-08
1999,1.416762351880152e-08
2000,1.899753598877396e-08
2001,2.1029816110740285e-08
2002,1.0953053575235572e-08
2003,1.6667691227212345e-08
2004,1.761916479381398e-08
2005,1.8915748967174295e-08
2006,1.5647982465338828e-08
2007,8.787854888225866e-09
2008,8.51487946817997e-09
2009,9.53638501499654e-09
2010,7.558068837454357e-09
2011,1.3001504761689375e-08
2012,7.829781267787439e-09
2013,9.761937924679387e-09
2014,6.279790909502481e-09
2015,9.97458915463767e-09
2016,7.45682449121432e-09
2017,9.810884549210641e-09
2018,8.002547069452248e-09
2019,8.418259866971312e-09
