year,peuvent_VERB accompagner_VERB,peuvent_VERB raccompagner_VERB
1987,7.760737474882262e-08,0.0
1988,8.635037573867521e-08,0.0
1989,7.189439799049069e-08,0.0
1990,8.390922801027045e-08,0.0
1991,7.619905062483667e-08,0.0
1992,6.06093877308922e-08,0.0
1993,7.47793009736597e-08,0.0
1994,6.488159698392337e-08,0.0
1995,7.374533339543632e-08,1.0844901643380922e-09
1996,6.298948562744044e-08,0.0
1997,7.623881970175717e-08,0.0
1998,7.915094357713315e-08,0.0
1999,7.586533712355958e-08,9.140402323914998e-10
2000,7.422293180070483e-08,4.4180314962005696e-10
2001,9.551041557642748e-08,0.0
2002,8.631006664927554e-08,0.0
2003,8.625530512063051e-08,0.0
2004,8.633390535806029e-08,0.0
2005,9.187649396835695e-08,0.0
2006,9.965293656932772e-08,0.0
2007,9.746529627818745e-08,0.0
2008,1.0558450469488889e-07,4.257439678578834e-10
2009,9.631748554284059e-08,0.0
2010,1.143157888350288e-07,9.447586046817946e-10
2011,1.40339764698183e-07,0.0
2012,1.4025521011262754e-07,0.0
2013,9.957176416719449e-08,0.0
2014,9.02990606732601e-08,0.0
2015,9.021461977454237e-08,0.0
2016,8.306073340236253e-08,2.0713400439298368e-10
2017,9.760572083905572e-08,1.0062445321423752e-09
2018,8.467210932394664e-08,2.5814667070633845e-10
2019,8.188670364006612e-08,5.1019755087367e-10
