year,fallut_VERB aller_VERB
1930,8.192810696527886e-08
1931,5.930785462737731e-08
1932,6.575722011348262e-08
1933,6.423570653169008e-08
1934,6.350237669039416e-08
1935,8.138432860960165e-08
1936,5.698615979099486e-08
1937,9.569249925789336e-08
1938,6.093650739558143e-08
1939,5.199976982339649e-08
1940,4.3108308034334186e-08
1941,7.083606590185809e-08
1942,9.102635090130207e-08
1943,7.83873517207212e-08
1944,8.032965581605822e-08
1945,9.367567344042982e-08
1946,7.099762910911522e-08
1947,8.702235732016561e-08
1948,8.697510622823756e-08
1949,7.951776836989666e-08
1950,6.487570658464392e-08
1951,7.143139413301469e-08
1952,7.170466886918803e-08
1953,6.464296120611834e-08
1954,5.570345606997762e-08
1955,6.476069103200643e-08
1956,5.5815306154727296e-08
1957,5.9194753987412696e-08
1958,5.873292963087806e-08
1959,4.1854036680888385e-08
1960,6.22874978262189e-08
1961,4.099414141478519e-08
1962,6.088278325933061e-08
1963,6.078089853644997e-08
1964,5.597251018230054e-08
1965,5.964527360902139e-08
1966,5.4836839069594134e-08
1967,5.8177960227112635e-08
1968,5.6591840547071115e-08
1969,5.995120488933026e-08
1970,5.150571880108146e-08
1971,5.3953172596266086e-08
1972,6.156176368676824e-08
1973,5.347807530142745e-08
1974,3.712877472139553e-08
1975,4.7976435268992645e-08
1976,3.7709277478370495e-08
1977,4.2900506258547466e-08
1978,5.762373689321976e-08
1979,3.6282234106010947e-08
1980,5.1166356485055076e-08
1981,3.7320742052315836e-08
1982,2.9175261317959666e-08
1983,3.4734238596456635e-08
1984,4.5812168281145205e-08
1985,3.188245756291508e-08
1986,4.375974427262008e-08
1987,4.949761489569937e-08
1988,2.878345739532051e-08
1989,4.170972900396919e-08
1990,4.304434142454738e-08
1991,3.751337729340776e-08
1992,3.1406681699763794e-08
1993,4.2651898013446043e-08
1994,3.956195016030506e-08
1995,3.904164458390369e-08
1996,3.84342655479486e-08
1997,3.020783623242096e-08
1998,2.765514928171342e-08
1999,2.7421206638678086e-08
2000,3.269343196166119e-08
2001,3.5487815353008045e-08
2002,2.584920721915296e-08
2003,3.1251921939201566e-08
2004,2.7750184372621334e-08
2005,4.548786947111694e-08
2006,3.6237430833807593e-08
2007,2.9559148018165615e-08
2008,3.065356679599063e-08
2009,3.814554005998616e-08
2010,3.7790343299093365e-08
2011,3.556294103645996e-08
2012,5.412761794332255e-08
2013,5.550358750383566e-08
2014,6.041592115479943e-08
2015,6.361571536217525e-08
2016,6.856135570387778e-08
2017,3.370919188228072e-08
2018,6.247149286764397e-08
2019,5.1785050914077146e-08
