year,put_VERB accompagner_VERB
1907,1.5428529565042481e-09
1908,1.4734167219643268e-09
1909,5.5009836685826485e-09
1910,3.206490406526541e-09
1911,3.7242617878519013e-09
1912,6.772247651554153e-09
1913,6.363587878865928e-09
1914,4.018046340092951e-09
1915,1.1780761921542648e-09
1916,1.0987462051303964e-09
1917,1.864292187292449e-08
1918,2.2972752589112133e-09
1919,9.207848372660976e-10
1920,6.815008557481406e-09
1921,4.543648568500203e-09
1922,2.2133805899215986e-09
1923,9.554353752605493e-09
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,7.998228745975666e-09
1929,5.570202965543558e-09
1930,2.100720708497761e-09
1931,1.2545892325022123e-08
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,1.33371855781661e-08
1937,3.777335333410292e-09
1938,9.075650453382877e-09
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,0.0
1944,6.4263723231761105e-09
1945,0.0
1946,2.7842208538686464e-09
1947,3.5762612871081956e-09
1948,1.6307831529616124e-08
1949,4.908504269707237e-09
1950,5.317680518146517e-09
1951,1.3859822622919182e-08
1952,6.326882129314981e-09
1953,1.0773827385790469e-09
1954,2.9317608341017376e-09
1955,4.6928039232341234e-09
1956,6.104799332717903e-09
1957,5.301022731885041e-09
1958,3.3088973783179654e-09
1959,3.8753737996444215e-09
1960,0.0
1961,6.25334317660986e-09
1962,3.805173953708163e-09
1963,7.1126584622049904e-09
1964,6.083968329129164e-10
1965,1.0944086747954884e-09
1966,5.539074976468328e-09
1967,1.4791006197611978e-09
1968,7.186265360559219e-09
1969,1.1808570121729645e-08
1970,2.7592350626548523e-09
1971,8.735275613958038e-09
1972,2.565073486948677e-09
1973,2.7566018356850464e-09
1974,4.500457340128605e-09
1975,5.711480177694739e-09
1976,5.713526984862938e-09
1977,0.0
1978,4.158414057542359e-09
1979,1.1703946700691858e-09
1980,1.7055452605774235e-09
1981,2.5302198114474095e-09
1982,2.483000915987077e-09
1983,3.157658134966823e-09
1984,1.1598016991243298e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,6.721898593298192e-09
1988,4.197587610832443e-09
1989,4.390497743145261e-09
1990,1.6345953479657283e-09
1991,2.9307325455363298e-09
1992,4.958949695321735e-09
1993,2.7696036575264316e-09
1994,1.5824779264761446e-09
1995,3.253470381991974e-09
1996,1.067618438099771e-09
1997,4.315404922294874e-09
1998,3.337690568372409e-09
1999,5.941261704833778e-09
2000,4.418031274155965e-09
2001,6.133696661692056e-09
2002,4.381221607729913e-09
2003,3.333538334260311e-09
2004,4.845270407116686e-09
2005,5.854874363109275e-09
2006,2.8825228870488218e-09
2007,3.595031605740928e-09
2008,4.257439734089985e-09
2009,2.860915504498962e-09
2010,1.8895172093635892e-09
2011,1.1471915639660324e-09
2012,3.063827413996023e-09
2013,3.904775169871755e-09
2014,6.496335469563519e-09
2015,5.319781060109108e-09
2016,4.142679976837371e-09
2017,3.773417134311785e-09
2018,4.3884935685412074e-09
2019,6.12237061048404e-09
