year,devait_VERB avoir_VERB
1885,5.951255388936261e-06
1886,6.010756351315649e-06
1887,5.719337877962971e-06
1888,5.8885289035970345e-06
1889,5.775203135272022e-06
1890,5.681342372554354e-06
1891,5.353707365429727e-06
1892,5.642288215312874e-06
1893,5.513630185305374e-06
1894,5.685878932126798e-06
1895,5.498606242326787e-06
1896,5.42762563782162e-06
1897,5.3197895795165095e-06
1898,5.553109531319933e-06
1899,5.29210365129984e-06
1900,5.058162059867755e-06
1901,5.182996574149001e-06
1902,4.7015969357744325e-06
1903,4.918520517094294e-06
1904,4.963466381013859e-06
1905,5.079219135950552e-06
1906,5.094285825180123e-06
1907,4.753015673486516e-06
1908,5.007161234971136e-06
1909,4.923930191580439e-06
1910,4.737589733849745e-06
1911,4.705871106125414e-06
1912,4.923424057778902e-06
1913,4.833144885196816e-06
1914,4.731249646283686e-06
1915,5.011535904486664e-06
1916,4.543315753835486e-06
1917,4.442498720891308e-06
1918,4.415363036969211e-06
1919,4.705210358224576e-06
1920,4.903019998891978e-06
1921,4.5959004637552425e-06
1922,4.728518888441613e-06
1923,4.724096925201593e-06
1924,4.47210459242342e-06
1925,4.694022209150717e-06
1926,4.526446900854353e-06
1927,5.142022473592078e-06
1928,4.531567810772685e-06
1929,4.5285751184565015e-06
1930,4.497643203649204e-06
1931,4.58039130535326e-06
1932,4.646843535738299e-06
1933,4.8004721975303255e-06
1934,4.3648897189996205e-06
1935,4.243953753757523e-06
1936,4.263049504515948e-06
1937,4.342676675150869e-06
1938,4.064594577357639e-06
1939,4.274686943972483e-06
1940,4.001465640612878e-06
1941,4.291484856366878e-06
1942,4.253965016687289e-06
1943,4.575498678605072e-06
1944,4.575576895149425e-06
1945,4.657641511585098e-06
1946,4.567514224618208e-06
1947,4.405953859532019e-06
1948,4.050865300087025e-06
1949,3.6666526739281835e-06
1950,3.7872521261306247e-06
1951,4.227245881338604e-06
1952,3.78769345843466e-06
1953,4.040185103804106e-06
1954,3.991103767475579e-06
1955,3.6312917472969275e-06
1956,3.7884638004470617e-06
1957,3.697463171192794e-06
1958,3.5777452467300463e-06
1959,3.5878210837836377e-06
1960,3.7372499264165526e-06
1961,3.66168001164624e-06
1962,3.792489906118135e-06
1963,3.50201435139752e-06
1964,3.6655908388638636e-06
1965,3.5639418456412386e-06
1966,3.795928023464512e-06
1967,3.659788035292877e-06
1968,3.766501322388649e-06
1969,3.805992946581682e-06
1970,3.5069876958004897e-06
1971,3.221775159545359e-06
1972,3.292015207989607e-06
1973,3.2742916573624825e-06
1974,3.188011532984092e-06
1975,2.9277048270159867e-06
1976,3.005315193149727e-06
1977,2.8461254260037094e-06
1978,2.924553200500668e-06
1979,2.999136313519557e-06
1980,2.7942514861933887e-06
1981,2.76426521850226e-06
1982,2.882143235183321e-06
1983,2.744636276474921e-06
1984,2.9244399684102973e-06
1985,2.7960313673247583e-06
1986,2.6639493171387585e-06
1987,2.741923481153208e-06
1988,2.7758046599046793e-06
1989,2.797295792333898e-06
1990,2.8125937205913942e-06
1991,2.6054212867165916e-06
1992,2.6849957066588104e-06
1993,2.7662802040140377e-06
1994,2.5762742552615236e-06
1995,2.5957272100640694e-06
1996,2.421892531856429e-06
1997,2.547527401475236e-06
1998,2.4698908873688197e-06
1999,2.4587682219134877e-06
2000,2.45598380388401e-06
2001,2.445154223096324e-06
2002,2.5213930712197907e-06
2003,2.6780812731885817e-06
2004,2.421313865852426e-06
2005,2.4730088625801727e-06
2006,2.6070360945595894e-06
2007,2.9443308449117467e-06
2008,3.1530598789686337e-06
2009,3.654342663139687e-06
2010,4.228267243888695e-06
2011,4.6059740270720795e-06
2012,5.528506335394923e-06
2013,6.191578904690687e-06
2014,6.7091987148160115e-06
2015,6.389500413206406e-06
2016,6.554548235726543e-06
2017,5.712953225156525e-06
2018,6.577577096322784e-06
2019,6.232828582142247e-06
