year,auraient_VERB accompagné_VERB
1905,1.2901897328276846e-08
1906,1.594697174311932e-08
1907,9.771402353919711e-09
1908,1.8663278922304016e-08
1909,1.4852655993990993e-08
1910,9.085056262847502e-09
1911,1.2236860413850081e-08
1912,1.4586379215586476e-08
1913,1.1666577037772186e-08
1914,2.209925398233281e-08
1915,1.8849219074468238e-08
1916,1.0987461607214755e-08
1917,1.864292187292449e-08
1918,1.1486376294556067e-08
1919,7.366278698128781e-09
1920,5.300562211374427e-09
1921,1.1359120755116692e-08
1922,8.853522359686394e-09
1923,9.554353752605493e-09
1924,9.02413699321869e-09
1925,1.2097995494286806e-08
1926,5.57306911730393e-09
1927,3.3447675740205796e-09
1928,6.8556245125250825e-09
1929,1.0026365515614089e-08
1930,1.470504518152893e-08
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,6.882397318719313e-09
1934,2.3963160344919743e-08
1935,1.0771455727365264e-08
1936,1.576212937948185e-08
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,1.070583532936098e-08
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,5.960435700558264e-09
1948,9.784699273041042e-09
1949,1.1780409536754632e-08
1950,1.1698897850465073e-08
1951,1.2793682557799002e-08
1952,8.435843135146115e-09
1953,4.3095309543161875e-09
1954,2.9317608341017376e-09
1955,6.569925492527773e-09
1956,8.72114114258693e-09
1957,1.501956425897788e-08
1958,1.0753916868111446e-08
1959,7.750747599288843e-09
1960,6.920833350854139e-10
1961,7.64297514166401e-09
1962,3.805173953708163e-09
1963,7.759263453976928e-09
1964,1.8251904432275978e-09
1965,8.20806533852192e-09
1966,6.092982118843793e-09
1967,4.437302081328198e-09
1968,4.940557296606585e-09
1969,4.087581828571274e-09
1970,7.3579600190498695e-09
1971,5.652237344833111e-09
1972,1.128632298730281e-08
1973,6.615844760915479e-09
1974,7.313243344242437e-09
1975,3.998036124386317e-09
1976,5.713526984862938e-09
1977,3.526069214387917e-09
1978,8.316828115084718e-09
1979,1.0533551808578068e-08
1980,5.116635559687666e-09
1981,3.795329828193417e-09
1982,8.069752865935698e-09
1983,1.2630632539867293e-08
1984,5.219107812592938e-09
1985,6.015557829641693e-09
1986,1.1988970705090196e-08
1987,9.166225112267057e-09
1988,7.795519785247507e-09
1989,6.036934507847036e-09
1990,7.083246433836621e-09
1991,9.96449056600568e-09
1992,8.264915862810085e-09
1993,1.1078414630105726e-08
1994,5.802419433820205e-09
1995,9.21816667442954e-09
1996,1.014237493990322e-08
1997,1.4384683666435194e-08
1998,4.7681290027412615e-09
1999,5.941261704833778e-09
2000,1.1486881668076876e-08
2001,7.0099388516098315e-09
2002,5.6955880012310445e-09
2003,9.167230530238157e-09
2004,9.250062049659391e-09
2005,7.205999352777326e-09
2006,1.317724773741702e-08
2007,9.18730247434496e-09
2008,7.663391698997657e-09
2009,1.2397300963584712e-08
2010,7.558068837454357e-09
2011,2.2943831279320648e-09
2012,6.468080293586809e-09
2013,5.857162754807632e-09
2014,5.197068553286499e-09
2015,7.093041265449074e-09
2016,6.8354220061905835e-09
2017,4.779661555431858e-09
2018,6.195520096952123e-09
2019,5.612172948588068e-09
