year,devront_VERB aller_VERB
1984,4.1752862500743504e-08
1985,3.428868211585723e-08
1986,2.8773531113301942e-08
1987,3.483165755824302e-08
1988,2.938311283173789e-08
1989,2.908704743731505e-08
1990,3.432650075296806e-08
1991,3.9271817797725816e-08
1992,3.8018615811097334e-08
1993,3.10195602537533e-08
1994,3.112206670152773e-08
1995,3.416144167545099e-08
1996,2.989331449043675e-08
1997,4.075660342550691e-08
1998,3.57609692969163e-08
1999,2.8792268125243936e-08
2000,3.048441854502926e-08
2001,3.461157405126869e-08
2002,3.066855214228781e-08
2003,3.166861262116072e-08
2004,3.171449591832243e-08
2005,2.296912349208924e-08
2006,2.141302779534726e-08
2007,2.077129401811817e-08
2008,3.065356679599063e-08
2009,2.7178696626606325e-08
2010,2.3618964561933353e-08
2011,1.9884653923440965e-08
2012,2.5531894820574053e-08
2013,2.2870825233667347e-08
2014,2.4686075406066266e-08
2015,2.682056177150116e-08
2016,2.1334802369210593e-08
2017,2.4652990759932436e-08
2018,2.1684320117287825e-08
2019,1.8622211328533922e-08
