year,pouvant_VERB égaler_VERB
1890,1.2453334363726754e-08
1891,1.529812720946211e-08
1892,9.402768341715273e-09
1893,1.847525021858587e-09
1894,1.0082462864602348e-08
1895,6.018614495673091e-09
1896,5.897029087265082e-09
1897,1.1070755867592652e-08
1898,7.355861253444118e-09
1899,2.2110313580014918e-09
1900,3.633737311048435e-09
1901,8.941982265753268e-09
1902,1.0802624572647801e-08
1903,4.860198465905796e-09
1904,8.599400302955473e-09
1905,4.1286072338664326e-09
1906,6.173021205313489e-09
1907,6.685696440911215e-09
1908,3.929111258571538e-09
1909,7.151278680339601e-09
1910,7.481810726517324e-09
1911,7.448523575703803e-09
1912,4.688478938419394e-09
1913,2.6514948014977335e-09
1914,7.366418142140674e-09
1915,2.591767689352764e-08
1916,6.592477230782379e-09
1917,7.676496771580332e-09
1918,1.2635013924011673e-08
1919,9.207848372660976e-10
1920,4.543339038320937e-09
1921,5.300923255902035e-09
1922,1.1066902949607993e-08
1923,2.1231896241147297e-09
1924,1.4180787211159895e-08
1925,7.698724324711748e-09
1926,0.0
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,1.4482528065684619e-08
1930,7.352522590764465e-09
1931,3.4216069977333063e-09
1932,1.0959536389520963e-08
1933,6.882397318719313e-09
1934,5.990790086229936e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,5.0364472592434595e-09
1938,6.482607339819424e-09
1939,1.2235240376412548e-08
1940,2.2822046474857416e-08
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,0.0
1944,1.927911696952833e-08
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,5.890204768377316e-09
1950,4.2541445921528975e-09
1951,1.3859822622919182e-08
1952,1.4762725264461096e-08
1953,7.54167928107563e-09
1954,1.9545072227344917e-09
1955,1.1262729415761896e-08
1956,1.744228317335228e-09
1957,1.3252556385623393e-08
1958,4.1361216673863055e-09
1959,3.100299128533379e-09
1960,7.612916519406099e-09
1961,4.86371165564492e-09
1962,1.2683912586908264e-08
1963,9.052474325699222e-09
1964,3.041984220075733e-09
1965,1.0396882466068291e-08
1966,3.8773522170743036e-09
1967,3.451234853457663e-09
1968,8.084548142051062e-09
1969,4.995933444718048e-09
1970,6.438214850135182e-09
1971,6.166076982339064e-09
1972,1.2825367434743384e-08
1973,5.513203671370093e-09
1974,3.3753431161187564e-09
1975,6.8537762132336866e-09
1976,1.085570122683066e-08
1977,4.11374712072643e-09
1978,3.5643548113029055e-09
1979,2.925986564150662e-09
1980,5.6851505725319385e-09
1981,1.0753434587229549e-08
1982,6.207502289967692e-10
1983,3.157658134966823e-09
1984,6.958810416790584e-09
1985,1.2031116103372597e-09
1986,1.0790073723399018e-08
1987,3.0554083707556856e-09
1988,3.597932174415064e-09
1989,2.7440609784434855e-09
1990,3.2691906959314565e-09
1991,2.9307325455363298e-09
1992,1.1019888335184191e-09
1993,1.1078414852150331e-09
1994,4.2199412852994556e-09
1995,5.4224509327127635e-09
1996,3.736664311304594e-09
1997,6.233362714880286e-09
1998,4.291316191284977e-09
1999,5.0272213059088244e-09
2000,3.5344251969604557e-09
2001,2.190605918883648e-09
2002,2.1906108038649563e-09
2003,2.9168460979889232e-09
2004,4.404791198453495e-09
2005,2.702249757291497e-09
2006,3.294311934354255e-09
2007,5.991719120856942e-09
2008,1.7029758714315335e-09
2009,4.76819250749827e-09
2010,5.196172381261022e-09
2011,4.206369030868018e-09
2012,4.425528388196653e-09
2013,1.3945624655065103e-09
2014,3.897801192920269e-09
2015,1.7732603163622684e-09
2016,3.935546111222266e-09
2017,2.5156112748447867e-09
2018,1.8070267504555204e-09
2019,1.7856913725466939e-09
