year,aient_VERB usé_VERB
1968,1.4821671889819754e-08
1969,1.6350327314285096e-08
1970,1.74751555448438e-08
1971,1.3873672877195986e-08
1972,1.2312352026810913e-08
1973,1.1026407342740185e-08
1974,1.3501372464475025e-08
1975,1.0851811893530794e-08
1976,6.2848797277581525e-09
1977,8.815172591880582e-09
1978,1.0099005187669263e-08
1979,6.437170796402825e-09
1980,8.527726080842513e-09
1981,1.4548763971333756e-08
1982,1.3656505259973528e-08
1983,6.315316269933646e-09
1984,9.278413592994639e-09
1985,7.820225356169885e-09
1986,1.498621315931814e-08
1987,8.555143260480236e-09
1988,1.0793796967334401e-08
1989,1.2073869015694072e-08
1990,8.717841559757744e-09
1991,4.68917216167597e-09
1992,9.91789939064347e-09
1993,7.200969598386564e-09
1994,1.318731612798274e-08
1995,4.880205572987961e-09
1996,6.939520069693117e-09
1997,7.671831170341648e-09
1998,5.72175506974304e-09
1999,4.113180906983871e-09
2000,1.1045078629479121e-08
2001,7.448059946568719e-09
2002,1.0076809608960957e-08
2003,1.0000615446870142e-08
2004,4.404791198453495e-09
2005,1.3511248786457486e-09
2006,7.823991232669414e-09
2007,1.0385647009059085e-08
2008,5.108927503272298e-09
2009,5.721831008997924e-09
2010,3.7790344187271785e-09
2011,3.823971805871906e-09
2012,5.1063788752969685e-09
2013,4.183687618564136e-09
2014,4.330890313042346e-09
2015,1.7732603163622684e-09
2016,7.45682449121432e-09
2017,5.282783988036499e-09
2018,2.8396134332808742e-09
2019,3.826481798085979e-09
