year,peuvent_VERB entrer_VERB,peuvent_VERB rentrer_VERB
1853,6.360107249747671e-07,1.3078530969323765e-07
1854,6.437428510253085e-07,1.1378504893855279e-07
1855,6.256879032662255e-07,1.0242388270853553e-07
1856,5.938235858593544e-07,1.4806761328145512e-07
1857,5.106058438286709e-07,1.2106141866752296e-07
1858,5.799005862172635e-07,1.0374593273354549e-07
1859,5.840722678840393e-07,9.67512931993042e-08
1860,5.858795475432999e-07,1.1122556742293455e-07
1861,6.654224762314698e-07,1.3110378915826004e-07
1862,5.670072482644173e-07,1.3599138526387833e-07
1863,5.79875461426127e-07,1.3835099821335461e-07
1864,7.081812896103656e-07,8.294879449977088e-08
1865,5.605851356449421e-07,9.41368867302117e-08
1866,5.721960860682884e-07,9.63391357799992e-08
1867,6.78908349982521e-07,1.0093847890857433e-07
1868,6.446535394388775e-07,1.0027944341572947e-07
1869,6.558566383318976e-07,1.0841412745321577e-07
1870,6.324655714706751e-07,1.2557566719806346e-07
1871,6.224009894140181e-07,1.667524855974989e-07
1872,5.672404199685843e-07,1.0945684181251636e-07
1873,6.057836685613438e-07,1.2690328787812177e-07
1874,5.705751959794725e-07,1.2307694419178006e-07
1875,5.715805855288636e-07,1.24157139680392e-07
1876,6.136705223980243e-07,1.2394330894949235e-07
1877,6.382730362020084e-07,1.0390490956524445e-07
1878,6.147792532829044e-07,1.4010686300025554e-07
1879,6.286495590757113e-07,1.1607718164441394e-07
1880,6.725902608195611e-07,1.655804311440079e-07
1881,6.038191600055143e-07,1.4084464794450469e-07
1882,6.162886734273343e-07,1.257867836557125e-07
1883,7.614803507749457e-07,1.5040026823953667e-07
1884,6.119773274804174e-07,1.5381954199256143e-07
1885,6.213592769199749e-07,1.1602143956679356e-07
1886,6.208232434801175e-07,1.5230175165470428e-07
1887,6.763966098333185e-07,1.3319005631728942e-07
1888,6.543514246004634e-07,1.5597912295106653e-07
1889,6.766347837583453e-07,1.9296621189823782e-07
1890,7.203270797617733e-07,1.972870364852497e-07
1891,6.042760674063175e-07,2.033376205190507e-07
1892,6.83267842305213e-07,1.6611558351087297e-07
1893,6.472495783782506e-07,1.6442972139429912e-07
1894,6.509490049211308e-07,1.7644309480147058e-07
1895,6.22926620508224e-07,1.3722440428409755e-07
1896,6.645951771133696e-07,2.0226809738232987e-07
1897,6.508439014396572e-07,1.6489599374835961e-07
1898,6.784367769796518e-07,1.7597483292774996e-07
1899,6.163249963719863e-07,1.5753597892853577e-07
1900,6.992348744461196e-07,1.7130474816440255e-07
1901,6.946802386664785e-07,1.8722275285654177e-07
1902,7.718966230640945e-07,1.5369188588465477e-07
1903,7.068888407957274e-07,1.7712721955831512e-07
1904,7.110629098860954e-07,1.4618980515024305e-07
1905,6.894774173815676e-07,1.5224239291455888e-07
1906,6.579412001883611e-07,1.6358507082259166e-07
1907,6.927410254320421e-07,1.5428530275585217e-07
1908,6.998729418228322e-07,1.7877455604775605e-07
1909,6.975247401896922e-07,1.655796069144344e-07
1910,6.856545269329217e-07,1.9826798336453066e-07
1911,6.852641831756046e-07,1.3088120454085583e-07
1912,6.438844479816908e-07,1.6982713191282528e-07
1913,6.745402743035811e-07,1.681047763213428e-07
1914,6.49584137590864e-07,2.129564506958559e-07
1915,6.302707902250404e-07,1.6139644287704868e-07
1916,5.197069299356372e-07,1.6810817271561973e-07
1917,6.064432795938046e-07,2.1823184681579733e-07
1918,7.37425352781429e-07,1.4702561657031765e-07
1919,5.74569753553078e-07,1.022071174361372e-07
1920,6.095646654102893e-07,1.3024238398884336e-07
1921,6.671590426776675e-07,1.2343578248419362e-07
1922,6.300757036115101e-07,1.2321152098593302e-07
1923,5.732612180509022e-07,1.358841359433427e-07
1924,6.059063366592454e-07,1.1473545669105079e-07
1925,6.631901214859681e-07,1.1108159725381483e-07
1926,6.598514232791786e-07,1.1814906741847153e-07
1927,6.366207685459813e-07,9.476841000832792e-08
1928,6.535695433740329e-07,1.3825510336573643e-07
1929,5.793011155219574e-07,1.0249173953980062e-07
1930,6.837846058260766e-07,1.291943192427425e-07
1931,6.672133849860984e-07,1.243183902488454e-07
1932,5.808554419672873e-07,8.658033578967661e-08
1933,6.285922609094996e-07,1.387950163689311e-07
1934,5.978808417239634e-07,7.907843269094883e-08
1935,6.139729862297827e-07,8.736847689760907e-08
1936,6.983835874052602e-07,9.82101866497942e-08
1937,6.925114917066821e-07,1.4227963163193635e-07
1938,8.245876301771204e-07,8.81634605320869e-08
1939,7.11173356648942e-07,9.329370698196726e-08
1940,6.846614155620045e-07,7.100192078723921e-08
1941,6.936031127224851e-07,1.269146139293298e-07
1942,6.79663457958668e-07,5.461581054078124e-08
1943,5.748405556005309e-07,1.0161323160673419e-07
1944,5.012570341023093e-07,8.354284375400312e-08
1945,5.642325504595647e-07,1.1546071476686848e-07
1946,6.292339094216004e-07,9.46635054788203e-08
1947,6.520716624436318e-07,8.106191984325051e-08
1948,6.294823151620221e-07,6.84928949112873e-08
1949,6.989710072957678e-07,7.166416082782234e-08
1950,6.742819209648587e-07,8.295582176742755e-08
1951,6.492793431789323e-07,7.996051465397613e-08
1952,6.126530820438347e-07,9.91211592804575e-08
1953,6.248819772736169e-07,6.572035005092403e-08
1954,5.990564773128426e-07,7.524852918550096e-08
1955,5.978632202641165e-07,5.631364530245264e-08
1956,5.668741778208641e-07,7.238547539145657e-08
1957,6.5644331925796e-07,8.1282344410738e-08
1958,6.816328550485196e-07,7.031407278645929e-08
1959,6.138592425486422e-07,7.750747954560211e-08
1960,6.4017706336017e-07,6.021124931976374e-08
1961,6.04489855504653e-07,7.920901623492682e-08
1962,5.802889972983394e-07,6.088278325933061e-08
1963,6.666500667051878e-07,6.272071573221183e-08
1964,6.375998964358587e-07,6.631525195643917e-08
1965,6.057551900084945e-07,8.043903676480113e-08
1966,5.804950546917098e-07,5.5944653354345064e-08
1967,6.079103513911832e-07,5.2261558636246264e-08
1968,5.996039931233099e-07,5.61426993783698e-08
1969,5.563653076023911e-07,7.811823365955206e-08
1970,6.64975630115805e-07,7.495921749978152e-08
1971,6.001648102937907e-07,5.652237078379585e-08
1972,5.576469561674458e-07,4.771036543615992e-08
1973,5.937720288784476e-07,4.410562937096074e-08
1974,5.64807407954504e-07,5.794338875375615e-08
1975,5.917093517382455e-07,6.111283568088766e-08
1976,6.062052193556156e-07,4.285145038807059e-08
1977,5.371378506424662e-07,4.407586473575975e-08
1978,5.459403382701566e-07,5.4653440884067095e-08
1979,4.939065547659993e-07,5.325295759917026e-08
1980,6.299147230492963e-07,4.77552646316326e-08
1981,5.269182565825759e-07,5.186950602364959e-08
1982,5.599167138825578e-07,5.710901973543514e-08
1983,5.330126668923185e-07,6.189009837953563e-08
1984,5.097328426018066e-07,7.944641566837163e-08
1985,5.377908678383392e-07,5.5343132743246315e-08
1986,5.275147145766823e-07,3.057187569766029e-08
1987,4.937539870297769e-07,4.949761489569937e-08
1988,5.181022402211966e-07,5.696726290693732e-08
1989,5.136882350598171e-07,6.366222038423075e-08
1990,5.045450848228938e-07,5.339677855431546e-08
1991,5.257734301267192e-07,6.213153369571955e-08
1992,4.931400212626613e-07,4.683452559106627e-08
1993,5.356413339541177e-07,5.705383543386233e-08
1994,5.164152980796644e-07,6.118914797070829e-08
1995,5.319424190020072e-07,7.86255398566027e-08
1996,6.048058480701002e-07,5.925282309249269e-08
1997,5.797027711196279e-07,5.6100265766190205e-08
1998,5.364145181374624e-07,6.00784275661681e-08
1999,5.945831844655913e-07,8.317766031495921e-08
2000,5.553465598495677e-07,7.157211001640462e-08
2001,5.778818490398407e-07,7.623308562187958e-08
2002,5.78759340896795e-07,7.185203543258467e-08
2003,5.667015443577839e-07,6.083707404513916e-08
2004,5.72182386804343e-07,7.752432651386698e-08
2005,5.827852191941929e-07,8.196824552442195e-08
2006,5.814460450892511e-07,5.394435831362898e-08
2007,5.576293347075989e-07,7.709345339890206e-08
2008,5.649622494274809e-07,6.641605665436146e-08
2009,5.454812139760179e-07,9.345657048243083e-08
2010,5.649656600326125e-07,7.652544553593543e-08
2011,5.437688059828361e-07,8.37449860568995e-08
2012,5.041698045715748e-07,7.863823725529073e-08
2013,4.786138561030384e-07,8.395266348770747e-08
2014,4.439162637481786e-07,7.557403591818002e-08
2015,4.575011587348854e-07,7.336864626950046e-08
2016,4.940146141052537e-07,7.43611110465281e-08
2017,4.4048354652659327e-07,6.716682321439293e-08
2018,4.274908746992878e-07,7.253921552319298e-08
2019,4.553513122118602e-07,6.70909798827779e-08
