year,devaient_VERB appliquer_VERB
1906,4.629765903985117e-09
1907,1.337139288182243e-08
1908,1.9154416719402434e-08
1909,2.2554033307642385e-08
1910,1.870452770447173e-08
1911,1.1704822888702893e-08
1912,9.897900277167082e-09
1913,1.8030165804816534e-08
1914,2.74566485103378e-08
1915,1.5314990164938536e-08
1916,7.69122365795738e-09
1917,1.2063066989753679e-08
1918,9.189101035644853e-09
1919,1.749491218561161e-08
1920,1.741613253614105e-08
1921,2.120369302360814e-08
1922,1.1066902949607993e-08
1923,5.307974060286824e-09
1924,1.804827398643738e-08
1925,6.598906754362588e-09
1926,1.671920735191179e-08
1927,1.5608915049369898e-08
1928,1.82816659588525e-08
1929,2.1166771446701205e-08
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,9.863582839386709e-09
1933,1.0323596200123575e-08
1934,1.9170528275935794e-08
1935,2.393656828303392e-08
1936,1.8187071404440758e-08
1937,2.7700460591972842e-08
1938,1.9447821131279852e-08
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,1.742803235060819e-08
1946,1.1136883415474585e-08
1947,2.5033829231801974e-08
1948,1.4133454406817236e-08
1949,1.7670615193310368e-08
1950,1.4889506516624351e-08
1951,2.5587365115598004e-08
1952,1.7926167217297007e-08
1953,1.2928593307037772e-08
1954,1.172704333640695e-08
1955,1.6894095011821264e-08
1956,1.3081712602058815e-08
1957,1.236905244894615e-08
1958,1.6544486669545222e-08
1959,1.1626121398933265e-08
1960,2.2838749558218296e-08
1961,1.80652133252579e-08
1962,1.4586500007851555e-08
1963,1.2932106940866106e-08
1964,1.0951143103454797e-08
1965,1.2038495533772675e-08
1966,1.495550172592175e-08
1967,1.4791006641701188e-08
1968,1.257596426995633e-08
1969,1.1808570121729645e-08
1970,1.977451802304131e-08
1971,1.5415192677892264e-08
1972,1.5903454553267693e-08
1973,1.3231689521830958e-08
1974,2.5877628928583363e-08
1975,1.4849848462006321e-08
1976,1.8854638739185248e-08
1977,7.639816779203557e-09
1978,1.544553818177974e-08
1979,1.6385525825057812e-08
1980,1.193881615790815e-08
1981,1.3283654176632353e-08
1982,1.5518756057986138e-08
1983,1.326216381158929e-08
1984,1.797692661398287e-08
1985,1.564045071233977e-08
1986,2.8174081734277934e-08
1987,1.4665960890170027e-08
1988,1.5591039570495013e-08
1989,1.0427432250992297e-08
1990,1.961514328741032e-08
1991,1.2309077312977479e-08
1992,1.4325855168806356e-08
1993,1.550978012687665e-08
1994,1.8462243289718572e-08
1995,1.7351842629409475e-08
1996,1.4412848692302305e-08
1997,2.061804593722627e-08
1998,1.9072516010965046e-08
1999,1.9194844824710344e-08
2000,1.502130686503733e-08
2001,2.190605918883648e-08
2002,1.7086764003693133e-08
2003,1.91678459771083e-08
2004,1.5416770082765652e-08
2005,1.6663873836364473e-08
2006,1.2765458912156191e-08
2007,1.3581230362547103e-08
2008,1.0217855006544596e-08
2009,1.8119131084404216e-08
2010,1.4643758206034363e-08
2011,1.7207874236646603e-08
2012,1.0893608681783462e-08
2013,1.0877587719448911e-08
2014,9.094869746206768e-09
2015,1.3077794847049518e-08
2016,9.113896304313585e-09
2017,1.0062445099379147e-08
2018,1.3165480261534412e-08
2019,8.928457084778074e-09
