year,tout_DET homme_NOUN
1938,4.047739992074639e-06
1939,4.351157429027808e-06
1940,3.43852161677205e-06
1941,4.890640013854863e-06
1942,4.866875883635657e-06
1943,5.286791065373109e-06
1944,5.812653853354277e-06
1945,5.535578679882747e-06
1946,6.272849418564874e-06
1947,5.5753914693923434e-06
1948,5.42507189038588e-06
1949,4.5325127189244085e-06
1950,5.529324539566005e-06
1951,4.7603160737708095e-06
1952,4.488923138978862e-06
1953,4.298757062315417e-06
1954,4.588205683830893e-06
1955,4.391525862956769e-06
1956,5.257104362499376e-06
1957,4.917582145935739e-06
1958,4.258551030034141e-06
1959,4.899247869616374e-06
1960,4.49923368250893e-06
1961,5.288244096846029e-06
1962,4.868719884143502e-06
1963,4.797164820047328e-06
1964,5.1969255991934915e-06
1965,5.635657316815923e-06
1966,5.057728913016035e-06
1967,5.636359787786205e-06
1968,5.589566967501014e-06
1969,5.216208592173643e-06
1970,5.240246991888853e-06
1971,4.946735316480044e-06
1972,4.457071668184653e-06
1973,4.186175715403806e-06
1974,3.973341335949954e-06
1975,3.870098964853241e-06
1976,3.99261261918582e-06
1977,3.952135728013673e-06
1978,4.296829615668685e-06
1979,4.490219168928888e-06
1980,3.947768675516272e-06
1981,3.943980118492618e-06
1982,4.743773104110005e-06
1983,4.149162691646779e-06
1984,4.24661396891679e-06
1985,4.034033111111057e-06
1986,4.162570576227154e-06
1987,4.269016642410861e-06
1988,4.107639426820242e-06
1989,4.482698329866253e-06
1990,4.178025619694381e-06
1991,3.974073479184881e-06
1992,4.027769080039434e-06
1993,4.24635652507277e-06
1994,4.20306150772376e-06
1995,4.407368010106438e-06
1996,4.088444711669581e-06
1997,4.007093366453773e-06
1998,4.277965558685537e-06
1999,4.068850046223815e-06
2000,4.33806508226553e-06
2001,4.323817847762257e-06
2002,4.174427829184424e-06
2003,4.113169609354372e-06
2004,4.329028854499484e-06
2005,4.233524634855712e-06
2006,4.298253543311148e-06
2007,4.244933279551333e-06
2008,4.070538068390306e-06
2009,4.51643199994578e-06
2010,4.301013518670516e-06
2011,4.630447449471831e-06
2012,3.938039640161151e-06
2013,4.044231388888875e-06
2014,4.3620727296911355e-06
2015,4.211271630083502e-06
2016,5.247532840257918e-06
2017,4.838778522753273e-06
2018,3.916859498076519e-06
2019,3.7568395896414586e-06
