year,pouvaient_VERB appliquer_VERB
1949,6.8719057111366055e-09
1950,5.317680518146517e-09
1951,1.1727541604500402e-08
1952,8.435843135146115e-09
1953,1.1851209791302608e-08
1954,1.07497895029951e-08
1955,8.447047505910632e-09
1956,1.3953826538681824e-08
1957,6.184526224473075e-09
1958,4.1361216673863055e-09
1959,8.525822714489095e-09
1960,4.152500121534786e-09
1961,1.111705483225478e-08
1962,3.170978146727066e-09
1963,5.819448034571906e-09
1964,7.300761772910391e-09
1965,7.660860390501512e-09
1966,1.6617224929404983e-08
1967,8.381570104631919e-09
1968,8.084548142051062e-09
1969,1.544197658631674e-08
1970,8.7375777724219e-09
1971,1.284599360218408e-08
1972,1.6929485369132635e-08
1973,9.923766697284009e-09
1974,1.2938814464291681e-08
1975,1.3707552426467373e-08
1976,7.427584769459372e-09
1977,1.1753563455840776e-08
1978,7.128709622605811e-09
1979,8.192762912528906e-09
1980,1.4781392110307934e-08
1981,8.223214109648325e-09
1982,2.483000915987077e-09
1983,1.0104505676622466e-08
1984,1.275781880138993e-08
1985,1.0226449020933615e-08
1986,1.1389522214244607e-08
1987,6.721898593298192e-09
1988,1.0793796967334401e-08
1989,7.683371272548811e-09
1990,5.448650863826288e-09
1991,5.8614650910726596e-09
1992,1.2672871640972971e-08
1993,9.970573700002205e-09
1994,1.1077346151466827e-08
1995,7.591431483433553e-09
1996,9.074756945892659e-09
1997,1.054876808126437e-08
1998,5.72175506974304e-09
1999,3.656160929565999e-09
2000,9.719669513685858e-09
2001,1.664860427297299e-08
2002,1.2267419968736704e-08
2003,7.500461585152607e-09
2004,6.607186797680242e-09
2005,3.1526248278623825e-09
2006,4.117890028965121e-09
2007,4.7933754743212376e-09
2008,5.960415716543821e-09
2009,6.198650481792356e-09
2010,6.613310343794865e-09
2011,3.4415748029203996e-09
2012,6.127654827992046e-09
2013,5.578249862026041e-09
2014,8.012147389990787e-09
2015,3.103205470367243e-09
2016,5.3854840587064245e-09
2017,6.037467414898856e-09
2018,4.3884935685412074e-09
2019,3.06118530524202e-09
