year,auraient_VERB appelé_VERB,auraient_VERB rappelé_VERB
1840,2.5478755105723394e-08,5.732719632334238e-09
1841,5.521671653241356e-08,1.219904177673925e-08
1842,4.628702754416736e-08,6.708265054555795e-09
1843,2.8353174030826267e-08,1.7720733325177207e-08
1844,2.085653250105679e-08,2.195424464446205e-08
1845,2.6785095030845696e-08,7.812318791877715e-09
1846,3.6297908678761814e-08,1.6392604607062822e-08
1847,4.7460368080010085e-08,4.314578916364553e-09
1848,3.539897619475596e-08,2.654923214606697e-08
1849,7.0387088157986e-08,2.513824481908955e-09
1850,6.381656447729256e-08,1.2899092460827433e-08
1851,4.6435957301582675e-08,1.870337307252612e-08
1852,3.2552726736412296e-08,1.2370036550635177e-08
1853,4.956703492098313e-08,1.6721408258035808e-08
1854,2.909572138776184e-08,5.7152309551611324e-09
1855,3.555647865027822e-08,1.6451505047143655e-08
1856,4.504154560436291e-08,1.4496129630003907e-08
1857,1.9526035899275485e-08,6.8341128311999455e-09
1858,3.963877404089544e-08,1.0276719919488642e-08
1859,4.0228169240208445e-08,1.9859475841599306e-08
1860,4.211009141386057e-08,2.197048232233101e-08
1861,5.423358118150645e-08,6.6023493339173456e-09
1862,4.021007882215599e-08,1.1746764450037972e-08
1863,4.4452125536054155e-08,9.989241434027463e-09
1864,5.0824116470948866e-08,1.0068928801842958e-08
1865,5.2245972881337366e-08,6.589582213223366e-09
1866,5.5954547661940524e-08,1.4110277390955162e-08
1867,2.9602150064533816e-08,1.4073153309368536e-08
1868,4.544684273355415e-08,6.421836395986702e-09
1869,4.3463320054115684e-08,6.348574999037737e-09
1870,4.873941605865184e-08,1.4335121534259088e-08
1871,7.328612383616928e-08,2.1242354542039266e-09
1872,2.7213026498884574e-08,1.0885210954825197e-08
1873,2.5141218884527916e-08,8.979006871356887e-09
1874,4.241972462182275e-08,1.7923827755339516e-08
1875,4.405575992905142e-08,2.460256709468922e-08
1876,5.8041742079240066e-08,4.232210137899983e-09
1877,4.638611983409646e-08,1.8554447978047506e-09
1878,2.5968081018845623e-08,1.0870359723469392e-08
1879,2.7491964260661916e-08,1.4662380642960215e-08
1880,4.043243251317108e-08,1.8611753915820373e-08
1881,2.5101027034679646e-08,2.3009274485730202e-08
1882,3.9932309903178975e-08,3.9932310791357395e-09
1883,1.7062214752172622e-08,6.319338829996468e-09
1884,3.4328824227713994e-08,4.621187876807653e-09
1885,3.287274097374393e-08,1.9981470700258797e-08
1886,3.226731948302586e-08,2.0651084398082276e-08
1887,3.656197833379338e-08,1.828098916689669e-08
1888,3.4873380627686856e-08,8.876860135842435e-09
1889,2.6313573542324775e-08,1.1277245803853475e-08
1890,3.9326319978272295e-08,1.2453334363726754e-08
1891,1.784781566982474e-08,1.6572972327821844e-08
1892,3.0715710863660206e-08,9.402768341715273e-09
1893,2.894455697344256e-08,8.005941687372342e-09
1894,2.9617234886814003e-08,5.671385139294216e-09
1895,2.4074457982692365e-08,2.8287487907618925e-08
1896,2.5357223876198987e-08,6.486732040400511e-09
1897,1.981082675683865e-08,9.905413378419325e-09
1898,3.395012981854961e-08,1.584339415217073e-08
1899,3.15071986278781e-08,1.6029977345510815e-08
1900,2.0245106924221545e-08,3.633737311048435e-09
1901,1.956058603980182e-08,8.941982265753268e-09
1902,1.178468167495339e-08,1.3748794991386148e-08
1903,2.7001101798873606e-08,1.1340462791054051e-08
1904,1.1824175416563776e-08,2.2573425795258117e-08
1905,1.7546581076999246e-08,1.1353670004154992e-08
1906,1.9033482345776065e-08,6.173021205313489e-09
1907,1.9542804707839423e-08,1.1828539925318182e-08
1908,2.553922229253658e-08,1.2278472460991452e-08
1909,1.5402754627302784e-08,7.701377313651392e-09
1910,2.4583092894658876e-08,6.947395991829808e-09
1911,2.6601870928288918e-08,1.4897047151407605e-08
1912,2.031674206648404e-08,1.2502610502451716e-08
1913,1.96210621083992e-08,1.6439267724877027e-08
1914,3.3483718908655646e-08,9.37544086809794e-09
1915,4.7123048574349014e-08,1.6493066468115103e-08
1916,1.9777431248257926e-08,1.0987462051303964e-09
1917,3.61891991929042e-08,1.4256351654751143e-08
1918,3.331049214239101e-08,9.189101035644853e-09
1919,1.6574126959767455e-08,9.207848705727883e-09
1920,1.9687803387569147e-08,1.590168707821249e-08
1921,2.120369302360814e-08,4.543648568500203e-09
1922,1.623145884366295e-08,5.164555005876537e-09
1923,2.0170300985000722e-08,6.369568872344189e-09
1924,1.4180787211159895e-08,1.4180787211159895e-08
1925,1.6497267552040284e-08,6.598906754362588e-09
1926,1.671920735191179e-08,8.916910765321973e-09
1927,1.6723836537835268e-08,7.804457524684949e-09
1928,2.742249805010033e-08,1.3711249025050165e-08
1929,2.6736975300423182e-08,3.342121912552898e-09
1930,2.3107928015519974e-08,9.453243521306831e-09
1931,2.5091784650044247e-08,1.3686427990933225e-08
1932,1.53433514782364e-08,7.6716757391182e-09
1933,1.605892663292252e-08,1.1470662641954732e-08
1934,2.2765002327673756e-08,2.3963160344919743e-09
1935,1.555876849579363e-08,7.180970484910176e-09
1936,1.6974599503782883e-08,4.849885826274658e-09
1937,1.7627565185307503e-08,8.813782592653752e-09
1938,6.482607339819424e-09,1.9447821131279852e-08
1939,1.2235240376412548e-08,1.5294050470515685e-08
1940,2.2822046474857416e-08,1.0143131667916805e-08
1941,3.5418032950929046e-08,0.0
1942,3.944475324146879e-08,9.102635090130207e-09
1943,1.4516175816936538e-08,2.9032352077962287e-09
1944,2.2492303131116387e-08,1.6065930807940276e-08
1945,1.5249527862692958e-08,6.535512131478072e-09
1946,2.227376683094917e-08,1.1136883415474585e-08
1947,2.3841742802233057e-08,4.7683483828109274e-09
1948,1.848220954059343e-08,1.7395020535104777e-08
1949,8.835307596655184e-09,6.8719057111366055e-09
1950,1.914365022059883e-08,1.0635361480382244e-09
1951,2.0256663901818683e-08,6.396841278899501e-09
1952,2.5307528517259925e-08,2.1089607837865287e-09
1953,1.1851209791302608e-08,9.69644453618912e-09
1954,1.7590565448699635e-08,1.172704333640695e-08
1955,1.5016972554349195e-08,9.385607846468247e-09
1956,9.593255967388359e-09,5.232684952005684e-09
1957,2.297109880089465e-08,1.1485549400447326e-08
1958,1.4890038535497752e-08,8.272243334772611e-09
1959,2.40273188012452e-08,5.425523585955716e-09
1960,1.591791587429725e-08,4.844583401109048e-09
1961,2.153929301584867e-08,8.33779090214648e-09
1962,2.6002021868976044e-08,3.805173953708163e-09
1963,2.9743844720542256e-08,1.0992290633282664e-08
1964,2.1293889318485526e-08,7.300761772910391e-09
1965,3.3379464525751246e-08,9.302473458205895e-09
1966,1.495550172592175e-08,9.970334780007306e-09
1967,1.6763140209263838e-08,9.367637332502454e-09
1968,2.8295920273535557e-08,9.431973424511852e-09
1969,2.361714024345929e-08,4.995933444718048e-09
1970,2.483311511980446e-08,6.898087434592526e-09
1971,1.644287195290417e-08,3.083038491169532e-09
1972,1.5903454553267693e-08,1.128632298730281e-08
1973,2.0950174928202614e-08,5.513203671370093e-09
1974,1.2376257352286757e-08,9.00091468025721e-09
1975,1.9990180177842376e-08,6.282628195464213e-09
1976,1.8854638739185248e-08,1.085570122683066e-08
1977,1.880570188461661e-08,1.1165885105413054e-08
1978,1.7821774278559133e-08,1.0099005187669263e-08
1979,3.2185852205657284e-08,5.851973128301324e-09
1980,2.2740602290127754e-08,6.253665585376211e-09
1981,1.707898356073656e-08,5.060439622894819e-09
1982,2.669225906970496e-08,7.449002747961231e-09
1983,2.3366668600033336e-08,5.68378455412244e-09
1984,2.4935737030773453e-08,6.958810416790584e-09
1985,2.285912081845254e-08,6.015557829641693e-09
1986,1.8582904104391673e-08,5.395036861699509e-09
1987,2.3832186002437084e-08,5.49973533381376e-09
1988,1.199310784016916e-08,5.99655392008458e-09
1989,2.250130037850795e-08,7.683371272548811e-09
1990,1.961514328741032e-08,2.724325431913144e-09
1991,1.3481369798284959e-08,8.20605094986604e-09
1992,2.259077191979486e-08,3.30596661157756e-09
1993,2.3264671966671813e-08,4.4313659408601325e-09
1994,2.6902124972139063e-08,5.802419433820205e-09
1995,1.8978578708583882e-08,5.4224509327127635e-09
1996,2.6690461396583487e-08,4.804283193493575e-09
1997,2.4453962410575514e-08,6.7128524960935465e-09
1998,3.146965354972053e-08,3.814503379828693e-09
1999,2.376504681933511e-08,8.683382013430219e-09
2000,2.5624583344097118e-08,5.3016377954406835e-09
2001,2.4096664219541708e-08,5.257454027685071e-09
2002,2.1906107150471144e-08,6.571832411594869e-09
2003,3.875238263617575e-08,1.0833999475323708e-08
2004,1.497629043001325e-08,5.285749615779878e-09
2005,3.2426996199319547e-08,1.170974872621855e-08
2006,2.7589862838794943e-08,6.1768350434476815e-09
2007,2.3567428897308673e-08,4.7933754743212376e-09
2008,3.320802832718073e-08,2.1287198670449925e-09
2009,3.099325240896178e-08,7.1522885392028e-09
2010,3.023227534981743e-08,6.140930874920514e-09
2011,2.4091024286576612e-08,6.500752380844688e-09
2012,3.2680826933528806e-08,8.170206733382201e-09
2013,3.5421887645270544e-08,9.204113027294625e-09
2014,2.9883143071174345e-08,5.846701789380404e-09
2015,4.100664341422089e-08,8.201329393386914e-09
2016,3.811265614217518e-08,9.113896304313585e-09
2017,3.446387353278624e-08,7.043711836018929e-09
2018,3.717311969353432e-08,6.195520096952123e-09
2019,2.9336359119724875e-08,6.377469219387422e-09
