year,auraient_VERB usé_VERB
1946,5.568441707737293e-09
1947,9.536696765621855e-09
1948,1.4133454406817236e-08
1949,8.835307596655184e-09
1950,7.444753258312176e-09
1951,7.462981344019681e-09
1952,4.2179215675730575e-09
1953,1.508335856215126e-08
1954,1.2704297169818801e-08
1955,6.569925492527773e-09
1956,9.593255967388359e-09
1957,7.068030161150318e-09
1958,5.790570245522986e-09
1959,6.200598257066758e-09
1960,5.536666680683311e-09
1961,8.33779090214648e-09
1962,8.244543714397423e-09
1963,4.526237162849611e-09
1964,4.258777774879263e-09
1965,1.0396882466068291e-08
1966,6.6468897053084675e-09
1967,5.423369309198733e-09
1968,4.940557296606585e-09
1969,2.7250546263957176e-09
1970,8.277704743875347e-09
1971,4.1107179882260425e-09
1972,2.565073486948677e-09
1973,6.064523994098181e-09
1974,9.00091468025721e-09
1975,8.567219822452898e-09
1976,2.856763492431469e-09
1977,5.289103821581875e-09
1978,1.0693064211864112e-08
1979,9.363157360553487e-09
1980,1.7055452605774235e-09
1981,1.138598904049104e-08
1982,4.966001831974154e-09
1983,9.47297440490047e-09
1984,9.858314165001048e-09
1985,3.0077789148208467e-09
1986,3.5966913891627428e-09
1987,6.721898593298192e-09
1988,6.596209356501959e-09
1989,7.683371272548811e-09
1990,2.724325431913144e-09
1991,7.033758464558559e-09
1992,9.91789939064347e-09
1993,5.539207315052863e-09
1994,4.747434001473039e-09
1995,5.964695848348356e-09
1996,9.074756945892659e-09
1997,4.794894259418925e-09
1998,3.337690568372409e-09
1999,8.226361813967742e-09
2000,5.743440834038438e-09
2001,5.257454027685071e-09
2002,4.381221607729913e-09
2003,6.250384210204629e-09
2004,6.166707589017051e-09
2005,4.053374524914943e-09
2006,3.294311934354255e-09
2007,4.393927444112933e-09
2008,7.663391698997657e-09
2009,6.198650481792356e-09
2010,4.723792912386671e-09
2011,3.823971805871906e-09
2012,6.468080293586809e-09
2013,5.29933741333366e-09
2014,5.413613113347537e-09
2015,4.43315073539452e-09
2016,4.556948152156792e-09
2017,4.528100561174142e-09
2018,5.6792268665617485e-09
2019,2.2958890344426663e-09
