year,eût_VERB usé_VERB
1993,2.7696036575264316e-09
1994,2.1099706426497278e-09
1995,3.253470381991974e-09
1996,2.135236876199542e-09
1997,4.79489448146353e-10
1998,3.814503379828693e-09
1999,3.656160929565999e-09
2000,3.092622158362701e-09
2001,1.3143635069212678e-09
2002,4.381221607729913e-09
2003,1.2500769308587678e-09
2004,3.0833537945085254e-09
2005,1.0358624180639708e-08
2006,1.6471559671771274e-09
2007,3.994479413904628e-09
2008,1.7029758714315335e-09
2009,4.291373478793048e-09
2010,3.3066551718974324e-09
2011,3.82397197240536e-10
2012,5.446804340891731e-09
2013,8.367375237128272e-09
2014,7.145969149746634e-09
2015,7.536356427806368e-09
2016,8.492493819289848e-09
2017,2.264050280587071e-09
2018,6.195520096952123e-09
2019,6.887666881283394e-09
