year,pouvant_VERB aller_VERB
1977,9.109011784858012e-07
1978,9.255441568711831e-07
1979,8.865739573593601e-07
1980,9.369128406433447e-07
1981,1.047510977514321e-06
1982,9.280216204388125e-07
1983,9.201415309689764e-07
1984,9.191428489430109e-07
1985,9.55872224039922e-07
1986,9.633138233766658e-07
1987,1.0339501841372112e-06
1988,1.0308076525689103e-06
1989,1.0257300573357497e-06
1990,9.97648044176458e-07
1991,1.0023105687650968e-06
1992,9.631382908992236e-07
1993,1.0158906889046193e-06
1994,9.626741075408063e-07
1995,1.0091181366078672e-06
1996,9.40038034968893e-07
1997,9.795969617698574e-07
1998,1.018949205899844e-06
1999,1.0273812449668185e-06
2000,1.0011259519160376e-06
2001,9.590472700438113e-07
2002,1.089609781956824e-06
2003,1.1329863127684803e-06
2004,1.1271861239947611e-06
2005,1.0966630270559108e-06
2006,1.0821814839800936e-06
2007,1.0781100172607694e-06
2008,1.1367363867975655e-06
2009,1.1691607824104722e-06
2010,1.1412683988965e-06
2011,1.2745298363370239e-06
2012,1.2027225011479459e-06
2013,9.97112238110276e-07
2014,8.129081265906279e-07
2015,8.892900495993672e-07
2016,8.13622364148614e-07
2017,9.181981113215443e-07
2018,8.756335319048958e-07
2019,8.104487960736151e-07
