year,puissent_VERB appliquer_VERB
1895,3.611168697403855e-09
1896,7.076434549446731e-09
1897,9.322741689743452e-09
1898,1.0185038590293516e-08
1899,1.0502398950507086e-08
1900,1.6092265298084385e-08
1901,6.147612641171918e-09
1902,7.365425602756659e-09
1903,3.7801539676252105e-09
1904,1.0749250378694342e-08
1905,9.805441791854719e-09
1906,5.144184633820714e-09
1907,5.142843484406967e-09
1908,5.893666887857307e-09
1909,6.0510818578052294e-09
1910,6.947395991829808e-09
1911,6.916486494645824e-09
1912,5.2094213387476884e-09
1913,1.3257474229533273e-08
1914,5.357394972094198e-09
1915,3.652036184575991e-08
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,1.1486376294556067e-09
1919,1.012863304339362e-08
1920,1.0601124422748853e-08
1921,5.300923255902035e-09
1922,7.377935595798135e-09
1923,4.246379248229459e-09
1924,7.734974438733389e-09
1925,2.1996355847875293e-09
1926,1.0031524944054127e-08
1927,1.1149224654616319e-08
1928,6.8556245125250825e-09
1929,7.798284684668033e-09
1930,9.453243521306831e-09
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,3.211785326584504e-08
1934,1.0783422155213884e-08
1935,9.574627313213568e-09
1936,1.091224355320719e-08
1937,6.295559185076627e-09
1938,1.5558256905023882e-08
1939,1.3764645423464117e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,0.0
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,8.352662561605939e-09
1947,8.344609447874518e-09
1948,5.435944139264848e-09
1949,8.835307596655184e-09
1950,7.444753258312176e-09
1951,1.1727541604500402e-08
1952,4.2179215675730575e-09
1953,1.4005975934594517e-08
1954,1.3681550115052232e-08
1955,1.220129064449793e-08
1956,1.744228317335228e-09
1957,3.534015080575159e-09
1958,9.926692356998501e-09
1959,1.1626121398933265e-08
1960,1.2457499920515147e-08
1961,9.72742331128984e-09
1962,1.331810839388936e-08
1963,9.69907976156037e-09
1964,1.3384730657151067e-08
1965,1.0396882466068291e-08
1966,9.970334780007306e-09
1967,8.874604162656397e-09
1968,1.257596426995633e-08
1969,5.904285060864822e-09
1970,1.0577067222072856e-08
1971,1.284599360218408e-08
1972,1.2312352026810913e-08
1973,1.3783009400469837e-08
1974,1.2376257352286757e-08
1975,1.2565256390928425e-08
1976,1.0284348483935446e-08
1977,1.23412418062685e-08
1978,1.7227714366185864e-08
1979,1.1703946256602649e-08
1980,1.0801786132219604e-08
1981,6.325549417596221e-09
1982,6.2075020679230875e-09
1983,7.57837881337764e-09
1984,6.378909400694965e-09
1985,6.015557829641693e-09
1986,1.1389522214244607e-08
1987,8.555143260480236e-09
1988,1.0194141530917022e-08
1989,1.3720305780395847e-08
1990,7.083246433836621e-09
1991,4.68917216167597e-09
1992,9.91789939064347e-09
1993,9.416652346772025e-09
1994,1.0549853435293244e-08
1995,1.138714633697191e-08
1996,7.473328622609188e-09
1997,7.192341833217597e-09
1998,1.0013071261028017e-08
1999,1.0054442611817649e-08
2000,5.743440834038438e-09
2001,8.762423675534592e-09
2002,1.4896152755738967e-08
2003,1.2084076850271686e-08
2004,1.4095332012686868e-08
2005,7.205999352777326e-09
2006,8.64756888319107e-09
2007,4.7933754743212376e-09
2008,7.663391698997657e-09
2009,1.0013204487790972e-08
2010,8.502827775203059e-09
2011,6.500752380844688e-09
2012,4.765953853791416e-09
2013,5.020424964641279e-09
2014,4.980523993225461e-09
2015,8.201329393386914e-09
2016,3.72841224560716e-09
2017,6.289028409156572e-09
2018,4.904786798931582e-09
2019,5.3570743396846865e-09
