year,durent_VERB avoir_VERB
1965,6.292849974443016e-08
1966,7.034624616153451e-08
1967,5.4233691315630495e-08
1968,5.61426993783698e-08
1969,5.94970259726324e-08
1970,3.9089162129357646e-08
1971,5.087013477123037e-08
1972,5.899669019981957e-08
1973,4.9067512719602746e-08
1974,4.219178606490459e-08
1975,3.5982324675387645e-08
1976,4.8564977817022736e-08
1977,3.761140376923322e-08
1978,4.7524729041015235e-08
1979,4.506019379846293e-08
1980,4.946081233470068e-08
1981,3.6055631369436014e-08
1982,3.47620137119975e-08
1983,3.220811350956865e-08
1984,3.3054348591576854e-08
1985,3.0679345286444004e-08
1986,3.057187569766029e-08
1987,3.666490044906823e-08
1988,3.657897806874644e-08
1989,3.2928731741321826e-08
1990,4.90378582185258e-08
1991,3.106576684785978e-08
1992,2.4794749364787094e-08
1993,3.212740296021366e-08
1994,3.797947201178431e-08
1995,4.0668382439434936e-08
1996,3.84342655479486e-08
1997,2.8289877107567918e-08
1998,2.9085589048349902e-08
1999,3.153438754566196e-08
2000,3.49024489310068e-08
2001,2.4096664219541708e-08
2002,2.6725450297249154e-08
2003,2.0417921575699438e-08
2004,2.5107310008820605e-08
2005,2.2518747755384538e-08
2006,2.3471972809829822e-08
2007,1.8774054311165855e-08
2008,1.702975893635994e-08
2009,2.6701878041990312e-08
2010,1.369900015646408e-08
2011,1.873746313663105e-08
2012,1.7021264397953928e-08
2013,1.840822605458925e-08
2014,3.724565544871439e-08
2015,2.7042219130635203e-08
2016,3.04486995617026e-08
2017,2.0124890198758294e-08
2018,1.755397427416483e-08
2019,3.3673039467885246e-08
