year,devraient_VERB aller_VERB
1982,5.648827183790672e-08
1983,8.399370443612497e-08
1984,5.799008562235031e-08
1985,6.075713798736615e-08
1986,8.032610310237942e-08
1987,5.316410778277714e-08
1988,7.615623331957977e-08
1989,6.366222038423075e-08
1990,6.374921923679722e-08
1991,5.1580894222524876e-08
1992,6.99762878753063e-08
1993,6.647049133334804e-08
1994,8.28163493338252e-08
1995,7.3203082706641e-08
1996,5.4448541675355955e-08
1997,6.233362626062444e-08
1998,6.15088637800909e-08
1999,6.44398383542466e-08
2000,6.892128823210442e-08
2001,7.57949649710099e-08
2002,5.5203390303404376e-08
2003,5.958699844654802e-08
2004,5.4619412992451544e-08
2005,7.205998997505958e-08
2006,5.7650460405511694e-08
2007,6.311277900294954e-08
2008,6.045564049372842e-08
2009,6.532423668659249e-08
2010,5.857503282413745e-08
2011,7.18906747465553e-08
2012,6.229782201216949e-08
2013,6.638117611146299e-08
2014,7.384168299040539e-08
2015,5.962587579233514e-08
2016,5.841178918331025e-08
2017,5.106690892375809e-08
2018,5.653411960793164e-08
2019,5.969311445142012e-08
