year,puissent_VERB aller_VERB
1896,1.2265820714674192e-07
1897,1.1536892685626299e-07
1898,8.600699175076443e-08
1899,1.0281296169978305e-07
1900,1.0226374769217728e-07
1901,7.936009183140413e-08
1902,1.0704418684781558e-07
1903,8.964365605379498e-08
1904,1.0050548837625684e-07
1905,1.0424733432046196e-07
1906,1.0031159547452262e-07
1907,8.177121202379567e-08
1908,9.478981155552901e-08
1909,1.0616898293847044e-07
1910,9.886678498105539e-08
1911,8.193376288545551e-08
1912,8.126696826593616e-08
1913,8.007514651353631e-08
1914,4.553785615257766e-08
1915,6.950649833470379e-08
1916,9.00971883766033e-08
1917,6.908847183240141e-08
1918,8.729645628591243e-08
1919,8.65537757022139e-08
1920,7.875121355027659e-08
1921,7.875657104250422e-08
1922,1.0550447626656023e-07
1923,7.855801698042342e-08
1924,7.219309594574952e-08
1925,7.148815939217457e-08
1926,7.57937428375044e-08
1927,7.135503921062991e-08
1928,3.999114284169991e-08
1929,7.01845621620123e-08
1930,6.722306267192835e-08
1931,7.755642172924126e-08
1932,3.287861005674131e-08
1933,7.341223806633934e-08
1934,6.589868917217245e-08
1935,6.103825000991492e-08
1936,5.8198629915295896e-08
1937,5.791914503561202e-08
1938,4.797129449229942e-08
1939,6.576441791139587e-08
1940,6.085878823114399e-08
1941,9.149658097840074e-08
1942,7.58552971547033e-08
1943,7.258088174921795e-08
1944,6.42637232317611e-08
1945,6.971212940243277e-08
1946,6.542919095409161e-08
1947,1.0251949333905941e-07
1948,7.936478141346015e-08
1949,6.97007607186606e-08
1950,6.7002780212988e-08
1951,8.529121231504178e-08
1952,5.377849987553418e-08
1953,5.8178667217134716e-08
1954,6.352148318455875e-08
1955,4.5050917663047585e-08
1956,5.930376190121933e-08
1957,5.47772351922049e-08
1958,6.700517474200751e-08
1959,8.448315469422596e-08
1960,5.9519166484278685e-08
1961,7.434530147065743e-08
1962,7.737186535905494e-08
1963,8.211887347897573e-08
1964,6.935724172763003e-08
1965,8.755269220728223e-08
1966,7.366969612121466e-08
1967,7.888537112421545e-08
1968,7.50066462273935e-08
1969,7.993493511548877e-08
1970,6.898087434592526e-08
1971,7.296524273670002e-08
1972,6.823095333174933e-08
1973,7.553089176326466e-08
1974,7.482010033754705e-08
1975,8.510105686809766e-08
1976,1.0627159952036891e-07
1977,5.582942819160053e-08
1978,7.009897728949e-08
1979,8.894999581343654e-08
1980,7.276992874949428e-08
1981,6.515315931210353e-08
1982,6.76617730732687e-08
1983,7.388919698314567e-08
1984,6.72685018798802e-08
1985,5.7749357296188464e-08
1986,7.972665372335541e-08
1987,8.371819149033399e-08
1988,8.155313224733618e-08
1989,7.68337073964176e-08
1990,5.993516083435679e-08
1991,5.5097771678447316e-08
1992,7.218027064936905e-08
1993,7.311754046668284e-08
1994,9.020124736025537e-08
1995,8.079451419007455e-08
1996,8.594328448907618e-08
1997,8.103371840206819e-08
1998,9.44089606491616e-08
1999,9.87163417676129e-08
2000,9.05696424524649e-08
2001,8.49955057447005e-08
2002,1.0164433916770577e-07
2003,9.37557658176047e-08
2004,8.589343281073525e-08
2005,7.47622408425741e-08
2006,1.0130009542308471e-07
2007,7.509621724466342e-08
2008,8.557453412549876e-08
2009,8.91651978918162e-08
2010,8.266637507858832e-08
2011,7.762663045696172e-08
2012,9.25956769037839e-08
2013,1.151908648466815e-07
2014,9.094869568571085e-08
2015,9.50910816754913e-08
2016,9.196750028195311e-08
2017,8.32667339523141e-08
2018,1.0222608182175463e-07
2019,9.081516338937945e-08
