year,voulait_VERB aller_VERB
1918,2.3087616796146904e-07
1919,2.7531467594599235e-07
1920,2.4231141537711665e-07
1921,2.589879670722439e-07
1922,2.7077024356003676e-07
1923,3.068008993523108e-07
1924,2.4880836235752213e-07
1925,3.134480834887654e-07
1926,2.5301733330707066e-07
1927,3.7684381481994933e-07
1928,2.627989488246385e-07
1929,2.9633480380653054e-07
1930,2.678418979940034e-07
1931,2.2468552174359502e-07
1932,2.7727628548745997e-07
1933,2.626781565595593e-07
1934,2.7917081979467184e-07
1935,2.609085925087129e-07
1936,2.4249428065559187e-07
1937,2.4049035118878237e-07
1938,2.21705164449304e-07
1939,2.691753024919308e-07
1940,1.6989746143281081e-07
1941,2.5678073711787874e-07
1942,2.8521591843855276e-07
1943,2.409685180282395e-07
1944,3.148922473883431e-07
1945,3.376681263489445e-07
1946,2.839905164364609e-07
1947,2.837167301095178e-07
1948,2.337455953238532e-07
1949,2.326630976767774e-07
1950,2.6375695938440913e-07
1951,2.6866732127928117e-07
1952,2.4463943759656104e-07
1953,1.9716104304734472e-07
1954,2.687447420157696e-07
1955,2.17746105590777e-07
1956,2.668669196737028e-07
1957,2.2529346210831136e-07
1958,2.001882961621959e-07
1959,2.1237049452338397e-07
1960,2.4707375700927514e-07
1961,2.869589650345006e-07
1962,2.270420367267434e-07
1963,2.450634042361344e-07
1964,2.956808486942464e-07
1965,2.413171102944034e-07
1966,2.9135532031432376e-07
1967,2.465167767695675e-07
1968,2.6050210522043926e-07
1969,2.438924013858923e-07
1970,2.469515436587244e-07
1971,2.0348053908492147e-07
1972,2.221353554432426e-07
1973,1.9847533394568018e-07
1974,2.1264661143050034e-07
1975,1.976172114837027e-07
1976,2.1654267357007484e-07
1977,2.0392432986682252e-07
1978,2.1564346752711572e-07
1979,2.52805250511301e-07
1980,1.9500066628097557e-07
1981,2.2518956654948852e-07
1982,2.3774734358994465e-07
1983,2.0966849945125432e-07
1984,2.180427145503927e-07
1985,1.8347452623856952e-07
1986,2.1100588298850198e-07
1987,2.3832186002437084e-07
1988,2.1767490920865384e-07
1989,2.5135599912573525e-07
1990,2.3320225750467216e-07
1991,2.2859714476908266e-07
1992,2.2205074401426828e-07
1993,2.3541630866930063e-07
1994,2.4317412794516713e-07
1995,2.0551088653064653e-07
1996,1.9964464570421114e-07
1997,2.2536003996265208e-07
1998,2.6701522415351064e-07
1999,2.1708456188207492e-07
2000,1.935097770910943e-07
2001,2.1555561602326634e-07
2002,2.5586334118088416e-07
2003,2.687665414669027e-07
2004,2.519540487355698e-07
2005,2.5040847617674444e-07
2006,2.623095838316658e-07
2007,3.219550421817985e-07
2008,3.1079309792403365e-07
2009,2.965815610878053e-07
2010,4.1616615931161505e-07
2011,4.695837674262293e-07
2012,6.059569841454504e-07
2013,6.331313784357917e-07
2014,6.253805509004451e-07
2015,6.696274112982792e-07
2016,7.073626306919323e-07
2017,6.422355909307953e-07
2018,7.592093425046187e-07
2019,6.859606287434872e-07
