year,devaient_VERB avoir_VERB
1998,7.838804663151677e-07
1999,7.248339102261525e-07
2000,7.404620987472299e-07
2001,7.658358072148985e-07
2002,6.799655807299132e-07
2003,7.412955937979859e-07
2004,6.875879421386344e-07
2005,7.124932039914711e-07
2006,7.255721925503167e-07
2007,7.361825851148751e-07
2008,6.926854325683962e-07
2009,7.648180826436146e-07
2010,8.039895647016237e-07
2011,8.217715503633372e-07
2012,9.759992281033192e-07
2013,1.0687926987884566e-06
2014,1.1364256806700723e-06
2015,1.099864675779827e-06
2016,1.198477320940583e-06
2017,9.831009037952754e-07
2018,1.0935092404906754e-06
2019,1.0357010751249618e-06
