year,pouvaient_VERB accompagner_VERB
1985,9.624892882698077e-09
1986,6.593933843390687e-09
1987,3.6664902225425067e-09
1988,1.6190695006912392e-08
1989,7.134558721588746e-09
1990,1.0897301727652575e-08
1991,9.96449056600568e-09
1992,1.0468894195980738e-08
1993,8.308811416668505e-09
1994,7.912389854425328e-09
1995,8.133675954979935e-09
1996,9.60856638698715e-09
1997,2.876936688878118e-09
1998,1.4304387896402204e-08
1999,9.140402212892695e-09
2000,9.277866475088103e-09
2001,1.0514908055370142e-08
2002,1.3143664823189738e-08
2003,9.167230530238157e-09
2004,3.9643119897903034e-09
2005,1.216012357474483e-08
2006,8.64756888319107e-09
2007,5.991719120856942e-09
2008,1.575252639440805e-08
2009,9.53638501499654e-09
2010,8.502827775203059e-09
2011,1.185431308670104e-08
2012,7.489355802192676e-09
2013,5.29933741333366e-09
2014,8.87832563023494e-09
2015,5.54143841924315e-09
2016,8.906762438698479e-09
2017,5.534344982294215e-09
2018,5.162933192082164e-09
2019,8.418259866971312e-09
