year,pourront_VERB ajouter_VERB
1869,2.3929244363785074e-08
1870,8.027668307875047e-09
1871,1.6993883633631413e-08
1872,3.084143074261192e-08
1873,2.8732820567256567e-08
1874,2.2106053876314036e-08
1875,3.6045619822289154e-08
1876,1.5719638923883394e-08
1877,3.710889595609501e-09
1878,3.0195443923020093e-09
1879,1.9549840857280287e-08
1880,1.4761046607247863e-08
1881,2.5101027034679646e-08
1882,1.3976308999019693e-08
1883,1.3902545781263598e-08
1884,1.8484751507230612e-08
1885,2.2559724754955823e-08
1886,2.9040586824180536e-08
1887,1.6322312390570914e-08
1888,1.9021843655764314e-08
1889,6.891650361495749e-09
1890,3.211649257650606e-08
1891,2.5496881050912634e-08
1892,1.002961980134387e-08
1893,1.1700991287000306e-08
1894,2.2055386850183822e-08
1895,1.0833506536300774e-08
1896,2.181900704556483e-08
1897,3.379494017963225e-08
1898,2.319925584970406e-08
1899,2.5426860617017155e-08
1900,1.6092265298084385e-08
1901,1.7883964531506535e-08
1902,2.1605249145295602e-08
1903,1.9980815224585058e-08
1904,1.9348650681649815e-08
1905,2.0126959654476195e-08
1906,1.9547901075611662e-08
1907,1.7999951751335175e-08
1908,1.5716445034286153e-08
1909,2.1453836041018803e-08
1910,1.6566866989364826e-08
1911,1.0640748726586935e-08
1912,1.510732161591477e-08
1913,1.96210621083992e-08
1914,2.6117300322425763e-08
1915,4.712304768617059e-09
1916,1.4283700444650549e-08
1917,2.52227767560953e-08
1918,2.412139110674616e-08
1919,1.3811772170413406e-08
1920,2.2716694303426266e-08
1921,1.6660044011018726e-08
1922,1.0329110011753073e-08
1923,1.2739137744688378e-08
1924,7.734974438733389e-09
1925,2.1996356736053713e-08
1926,1.114613823460786e-08
1927,1.0034302277972529e-08
1928,1.5996457491951332e-08
1929,6.684243825105796e-09
1930,1.05036033204442e-08
1931,6.843213995466613e-09
1932,1.8631212128639163e-08
1933,3.4411986593596566e-09
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,8.487299751891442e-09
1937,1.510934133364117e-08
1938,1.0372171566075394e-08
1939,1.070583532936098e-08
1940,5.0715658339584024e-09
1941,2.066051862925633e-08
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,1.3921104269343232e-08
1947,4.7683483828109274e-09
1948,1.0871888278529696e-08
1949,4.908504269707237e-09
1950,8.508289184305795e-09
1951,8.529121409139861e-09
1952,3.1634410646574906e-09
1953,1.0773827163745864e-08
1954,1.5636057781875934e-08
1955,1.5016972554349195e-08
1956,1.0465369904011368e-08
1957,1.1485549400447326e-08
1958,1.0753916868111446e-08
1959,7.750747599288843e-09
1960,4.152500121534786e-09
1961,1.111705483225478e-08
1962,1.0147130247162295e-08
1963,8.405868889838075e-09
1964,6.6923653285755336e-09
1965,9.302473458205895e-09
1966,1.273987226824147e-08
1967,1.2818872185960117e-08
1968,1.3025106326836067e-08
1969,4.995933444718048e-09
1970,8.7375777724219e-09
1971,1.284599360218408e-08
1972,1.3338381954497436e-08
1973,9.37244681864513e-09
1974,9.00091468025721e-09
1975,6.8537762132336866e-09
1976,9.712995741040231e-09
1977,8.22749424145286e-09
1978,2.3762365408686037e-09
1979,4.096381456264453e-09
1980,7.95921106799824e-09
1981,3.795329828193417e-09
1982,1.3035754697909852e-08
1983,8.209910973278056e-09
1984,8.69851302098823e-09
1985,9.624892882698077e-09
1986,1.1988970705090196e-08
1987,7.944062296871834e-09
1988,3.597932174415064e-09
1989,8.780995486290522e-09
1990,3.814055737905164e-09
1991,2.9307325455363298e-09
1992,4.4079553340736766e-09
1993,5.539207315052863e-09
1994,4.747434001473039e-09
1995,3.253470381991974e-09
1996,5.871901187504136e-09
1997,1.006927874414032e-08
1998,7.152193948201102e-09
1999,6.8553016596695215e-09
2000,7.068850393920911e-09
2001,3.066848330846028e-09
2002,6.571832411594869e-09
2003,7.91715315529018e-09
2004,6.607186797680242e-09
2005,7.205999352777326e-09
2006,6.58862386870851e-09
2007,5.592271090648637e-09
2008,6.811903485726134e-09
2009,3.337734710839868e-08
2010,1.7005655550406118e-08
2011,1.4531093661673822e-08
2012,9.531907707582832e-09
2013,5.578249862026041e-09
2014,8.87832563023494e-09
2015,6.64972610309178e-09
2016,8.699628573083373e-09
2017,7.2952728302766445e-09
2018,8.776987137082415e-09
2019,7.1427654901867754e-09
