year,aient_VERB accompagné_VERB
1954,6.840775057526116e-09
1955,7.508486277174597e-09
1956,5.232684952005684e-09
1957,5.301022731885041e-09
1958,1.0753916868111446e-08
1959,6.200598257066758e-09
1960,6.2287499602575735e-09
1961,5.55852741612739e-09
1962,6.341956293454132e-09
1963,5.1728425987107585e-09
1964,6.083968440151466e-09
1965,7.1136563306595235e-09
1966,2.215629901769489e-09
1967,2.465167847631733e-09
1968,6.287982134978165e-09
1969,2.2708788183223305e-09
1970,3.6789800095249348e-09
1971,1.541519245584766e-09
1972,3.0780880067027283e-09
1973,3.3079223804577396e-09
1974,8.438357568252286e-09
1975,1.1422960355389478e-08
1976,2.285410749536254e-09
1977,1.3516598507123945e-08
1978,1.0693064211864112e-08
1979,5.266775904289034e-09
1980,6.253665585376211e-09
1981,4.427884725544118e-09
1982,6.2075020679230875e-09
1983,8.209910973278056e-09
1984,8.118611560803402e-09
1985,1.0828004270990732e-08
1986,5.395036861699509e-09
1987,7.332980445085013e-09
1988,6.596209356501959e-09
1989,3.2928733073589456e-09
1990,3.814055737905164e-09
1991,1.1722930404189924e-09
1992,7.162927584403178e-09
1993,3.877445031719162e-09
1994,3.164955852952289e-09
1995,1.138714633697191e-08
1996,7.473328622609188e-09
1997,7.192341833217597e-09
1998,7.152193948201102e-09
1999,4.570201106446348e-09
2000,4.418031274155965e-09
2001,3.943090742808408e-09
2002,5.6955880012310445e-09
2003,5.416999737661854e-09
2004,6.166707589017051e-09
2005,4.503749373441224e-09
2006,4.941467679486777e-09
2007,6.391167151065247e-09
2008,5.5346713878634546e-09
2009,4.76819250749827e-09
2010,8.502827775203059e-09
2011,3.4415748029203996e-09
2012,4.085103366691101e-09
2013,5.020424964641279e-09
2014,3.681256854903836e-09
2015,2.659890530054554e-09
2016,4.349814286541687e-09
2017,3.018733707449428e-09
2018,3.872199894061623e-09
2019,4.08158040698936e-09
