year,pouvaient_VERB aller_VERB
1924,1.3149457345207338e-07
1925,1.462757666104153e-07
1926,1.894843535410473e-07
1927,1.572040702058075e-07
1928,1.3596988424069423e-07
1929,1.7267629459638556e-07
1930,1.23942527352483e-07
1931,1.1861570925475462e-07
1932,1.5233756300858659e-07
1933,1.2961848483428184e-07
1934,1.4377896206951846e-07
1935,1.4361941680363088e-07
1936,1.3579679603026307e-07
1937,1.120609525173677e-07
1938,1.0631475788613898e-07
1939,1.269406197934586e-07
1940,9.889553354014424e-08
1941,1.5052663115966425e-07
1942,1.8508691823626577e-07
1943,1.82903818313207e-07
1944,1.5744612369417155e-07
1945,1.808158316407571e-07
1946,1.614848059716678e-07
1947,1.6212383968650101e-07
1948,1.0980606646171509e-07
1949,1.521636221468725e-07
1950,1.0954422435816014e-07
1951,1.7164856558338215e-07
1952,1.2864660448030918e-07
1953,1.1851209791302608e-07
1954,1.0358888147266043e-07
1955,1.4172267981393816e-07
1956,1.3866615233837365e-07
1957,1.2545753236281598e-07
1958,1.3235589335636178e-07
1959,1.519146621831169e-07
1960,1.335720867245982e-07
1961,1.4660615477168903e-07
1962,1.5410954290473455e-07
1963,1.325540921470747e-07
1964,1.435816585626526e-07
1965,1.2804581217551458e-07
1966,1.556479958253476e-07
1967,1.479100717460824e-07
1968,1.6034354644034465e-07
1969,1.5396558694646956e-07
1970,1.2738468058159924e-07
1971,1.515827250386792e-07
1972,1.4774822432173096e-07
1973,1.2900896706469211e-07
1974,1.665169264697397e-07
1975,1.433581502396919e-07
1976,1.4398088410416676e-07
1977,1.4163043715598178e-07
1978,1.5742567427423637e-07
1979,1.5624769389432913e-07
1980,1.552046171582333e-07
1981,1.6319917506280035e-07
1982,1.5332530267642142e-07
1983,1.6546128733807564e-07
1984,1.4497521760858945e-07
1985,1.6482628950598155e-07
1986,1.5885386517311417e-07
1987,1.6438097816262598e-07
1988,1.5291212207557692e-07
1989,1.5202098779809603e-07
1990,1.5964546662416979e-07
1991,1.5825956722892442e-07
1992,1.4546252202762844e-07
1993,1.7005366714784032e-07
1994,1.7249010397790698e-07
1995,1.7026495413574594e-07
1996,1.6814990999591828e-07
1997,1.6062897145729949e-07
1998,1.7117584150128096e-07
1999,1.8966335346704e-07
2000,1.7981388111820706e-07
2001,1.7437223220895248e-07
2002,1.9058313682762673e-07
2003,1.8584476890737278e-07
2004,1.788345258546542e-07
2005,1.769973607679276e-07
2006,1.8571682858237182e-07
2007,1.8094992526584974e-07
2008,1.9882243407209899e-07
2009,1.7928404361100547e-07
2010,2.1682210160633986e-07
2011,2.1490723156603053e-07
2012,2.2536153210239718e-07
2013,2.8253836603653326e-07
2014,2.8129133511356486e-07
2015,2.611125751172949e-07
2016,2.6223165150440764e-07
2017,4.417413492774358e-07
2018,2.8241245786375657e-07
2019,2.6428233468323015e-07
