year,excellent_ADJ aliment_NOUN
1912,5.46989227245831e-08
1913,6.098438376511695e-08
1914,3.8841115213017474e-08
1915,4.005459075528961e-08
1916,3.625862632361532e-08
1917,1.2282394834528532e-07
1918,1.1830967849846274e-07
1919,7.182121919413476e-08
1920,8.253732630691957e-08
1921,5.679560644011872e-08
1922,7.746832153543437e-08
1923,5.201814445854325e-08
1924,4.640984840875717e-08
1925,5.719052609265418e-08
1926,6.910605776511147e-08
1927,5.5746124161260013e-08
1928,5.9415413034002995e-08
1929,4.9017788938954254e-08
1930,3.676261073337628e-08
1931,4.5621426636444085e-08
1932,3.835837958376942e-08
1933,6.76769076335404e-08
1934,6.230421689679133e-08
1935,3.231436807027421e-08
1936,6.062357016389797e-08
1937,3.399602022113868e-08
1938,5.186085871855539e-08
1939,5.6587985852729616e-08
1940,7.60734906180005e-08
1941,7.37875680556499e-08
1942,1.3957374278561474e-07
1943,6.387117679196308e-08
1944,6.105053529381621e-08
1945,5.010559434026618e-08
1946,4.733175273941015e-08
1947,3.099426493236024e-08
1948,5.218506160531433e-08
1949,4.712163814701853e-08
1950,3.616023036556726e-08
1951,4.904244832459881e-08
1952,4.5342655852209646e-08
1953,4.740483916521043e-08
1954,3.127211556375187e-08
1955,4.5050917663047585e-08
1956,4.186147961604547e-08
1957,5.3893728590992396e-08
1958,3.9706769427994004e-08
1959,2.712761748568937e-08
1960,2.6991250123842292e-08
1961,1.528595028332802e-08
1962,2.029426049432459e-08
1963,1.4871922360271128e-08
1964,1.520992043424485e-08
1965,1.8057743744748223e-08
1966,1.38476865529924e-08
1967,1.2818872185960117e-08
1968,1.257596426995633e-08
1969,1.9075383050903838e-08
1970,1.2876429700270364e-08
1971,1.5415192677892264e-08
1972,8.721249500354133e-09
1973,1.7090931336838366e-08
1974,1.6876715136504572e-08
1975,6.282628195464213e-09
1976,8.570290255249802e-09
1977,1.5279633558407113e-08
1978,8.910887139279566e-09
1979,1.1703946256602649e-08
1980,1.6486936260662333e-08
1981,1.0753434587229549e-08
1982,9.932003663948308e-09
1983,5.68378455412244e-09
1984,1.275781880138993e-08
1985,5.414002135495366e-09
1986,5.994485352545098e-09
1987,6.110816741511371e-09
1988,7.195864348830128e-09
1989,5.488121956886971e-09
1990,9.80757164370516e-09
1991,3.5168792322792797e-09
1992,1.1570882918476855e-08
1993,8.308811416668505e-09
1994,7.384897138251745e-09
1995,4.337960657352369e-09
1996,1.1743802375008272e-08
1997,6.7128524960935465e-09
1998,4.291316191284977e-09
1999,6.398281460207045e-09
2000,5.3016377954406835e-09
2001,4.8193329327261836e-09
2002,7.009954394732176e-09
2003,3.7502307925763034e-09
2004,6.607186797680242e-09
2005,7.205999352777326e-09
2006,2.8825228870488218e-09
2007,6.391167151065247e-09
2008,5.108927503272298e-09
2009,7.1522885392028e-09
2010,9.447585824773341e-09
2011,8.030340836739924e-09
2012,1.8042539906559796e-08
2013,7.530637446961919e-09
2014,1.2126492698882885e-08
2015,1.3521109565317602e-08
2016,2.1127668503595487e-08
2017,1.1823373391450787e-08
2018,1.523065407127433e-08
2019,1.0969247732361964e-08
