year,dix_DET arbres_NOUN
1949,8.835307596655184e-09
1950,1.3825969702452312e-08
1951,4.264560704569931e-09
1952,7.381362632230548e-09
1953,9.69644453618912e-09
1954,7.818028890937967e-09
1955,1.1262729415761896e-08
1956,8.72114114258693e-09
1957,6.184526502028831e-09
1958,9.926692356998501e-09
1959,1.6276571201956358e-08
1960,5.536666736194462e-09
1961,1.1117055165321688e-08
1962,1.77574772664002e-08
1963,9.052474325699222e-09
1964,7.300761772910391e-09
1965,9.849678073159396e-09
1966,6.092982118843793e-09
1967,1.2818872185960117e-08
1968,6.737123720013116e-09
1969,1.1808570121729645e-08
1970,1.3336302728816918e-08
1971,6.679916619845017e-09
1972,1.1286323320369718e-08
1973,8.269805507055139e-09
1974,1.1251143350321513e-08
1975,7.4249242310031605e-09
1976,3.4281160132820787e-09
1977,1.116588582705802e-08
1978,1.900989232694883e-08
1979,1.345953837272873e-08
1980,1.1370301367108482e-08
1981,2.5302198114474095e-09
1982,4.966001831974154e-09
1983,7.57837881337764e-09
1984,7.538710988796993e-09
1985,6.617113745832626e-09
1986,7.193382445258578e-09
1987,9.777306964053878e-09
1988,1.1993107618124554e-08
1989,8.232183268397364e-09
1990,7.083246489347772e-09
1991,7.033758464558559e-09
1992,7.713922001162388e-09
1993,9.416652346772025e-09
1994,8.439882348554306e-09
1995,1.4640616718963884e-08
1996,1.1209993822092201e-08
1997,7.192341833217597e-09
1998,6.675381136744818e-09
1999,1.0511462728013399e-08
2000,1.0161472774328217e-08
2001,8.762423314712109e-09
2002,8.324320677211006e-09
2003,9.583922822020696e-09
2004,1.7619165015858584e-09
2005,6.755624615273348e-09
2006,5.765045940631097e-09
2007,3.5950315224742013e-09
2008,5.108927503272298e-09
2009,7.152288761247405e-09
2010,8.030448306328708e-09
2011,5.353560678100777e-09
2012,5.446804340891731e-09
2013,8.646287852354106e-09
2014,8.878325075123428e-09
2015,8.201328685619735e-09
2016,8.285360231230499e-09
2017,5.0312226884674516e-09
2018,8.776987081571264e-09
2019,8.418259589415555e-09
