year,tels_ADJ auteurs_NOUN
1875,9.7265964171811e-09
1876,3.02300739996042e-09
1877,5.566334504436554e-09
1878,4.22736201599605e-09
1879,1.4051448005147904e-08
1880,1.0268554007097919e-08
1881,9.761510710859511e-09
1882,9.983077475794744e-09
1883,3.159669414998234e-09
1884,1.3203393933736152e-09
1885,9.66845359329227e-09
1886,1.097088819790315e-08
1887,1.8933882017790893e-08
1888,2.3460273723685532e-08
1889,9.397704836544563e-09
1890,9.176140736144589e-09
1891,2.2309770031370135e-08
1892,9.402768341715273e-09
1893,1.4164357686752282e-08
1894,1.1972924873759894e-08
1895,1.2639090662958097e-08
1896,2.358811590497112e-09
1897,6.992056267307589e-09
1898,7.921697076085366e-09
1899,1.7688250864011934e-08
1900,4.15284251431558e-09
1901,1.1177477832191585e-09
1902,1.0802624572647801e-08
1903,8.100330184390714e-09
1904,9.674325340824907e-09
1905,8.257214467732865e-09
1906,1.2860461473529483e-08
1907,1.542852956504248e-08
1908,1.3260750719723546e-08
1909,1.7053048750881317e-08
1910,6.947395991829808e-09
1911,1.8089271303090015e-08
1912,1.6670147928721235e-08
1913,1.590896836489719e-08
1914,6.027069510139427e-09
1915,1.5314990053916233e-08
1916,1.648119329900055e-08
1917,6.5798546611262054e-09
1918,1.8378202071289707e-08
1919,3.1306683467846597e-08
1920,1.2872794385998532e-08
1921,2.7261890522822796e-08
1922,1.2542490601674672e-08
1923,2.5478275489376756e-08
1924,1.4180787211159895e-08
1925,1.6497267107951075e-08
1926,2.0063049888108253e-08
1927,2.1183527820767267e-08
1928,4.570416489713125e-09
1929,5.570202965543558e-09
1930,1.7856125467119455e-08
1931,1.1405356659111021e-08
1932,2.6302887090601246e-08
1933,2.523545639121494e-08
1934,3.2350264689284813e-08
1935,1.3165112555668657e-08
1936,1.4549657478823974e-08
1937,1.3850230295986421e-08
1938,2.8523471029551217e-08
1939,1.3764645423464117e-08
1940,3.803674530900025e-08
1941,8.854508237732261e-09
1942,2.4273694165799498e-08
1943,2.6129116648121453e-08
1944,1.2852744646352221e-08
1945,1.742803235060819e-08
1946,1.6705325123211878e-08
1947,7.152522574216391e-09
1948,1.848220954059343e-08
1949,1.7670615193310368e-08
1950,1.595304155443955e-08
1951,1.3859822622919182e-08
1952,1.7926167217297007e-08
1953,4.3095309543161875e-09
1954,1.3681550115052232e-08
1955,1.0324168187025862e-08
1956,1.9186511934776718e-08
1957,3.6223653410161205e-08
1958,1.7371711180658167e-08
1959,2.712761748568937e-08
1960,2.0070416439921246e-08
1961,5.55852741612739e-09
1962,1.585489073363533e-08
1963,2.392439668597035e-08
1964,9.125952382671443e-09
1965,1.3680108601477059e-08
1966,2.0494575814211657e-08
1967,1.4791006197611978e-08
1968,1.6618237869137076e-08
1969,1.4533624914658816e-08
1970,1.6095537708205043e-08
1971,1.6956711590410123e-08
1972,2.1546616935097518e-08
1973,1.4885650045926013e-08
1974,1.518904291231138e-08
1975,9.709516746170266e-09
1976,1.7140580066410394e-08
1977,2.52701610747863e-08
1978,2.138612864577283e-08
1979,1.1118749476679568e-08
1980,1.4781392110307934e-08
1981,1.138598904049104e-08
1982,1.6139505731871395e-08
1983,1.6419821946556112e-08
1984,1.739702604197646e-08
1985,1.6843562988810845e-08
1986,1.9781802196305875e-08
1987,1.588812459374367e-08
1988,1.619069489589009e-08
1989,2.469655058234821e-08
1990,1.7980548605578406e-08
1991,1.641210189973208e-08
1992,2.975369817193041e-08
1993,1.994114740000441e-08
1994,1.2659823411809157e-08
1995,2.114755837112625e-08
1996,2.455522341016092e-08
1997,2.3494983736327413e-08
1998,2.0502955111467713e-08
1999,1.4624643718263997e-08
2000,1.6346715980830595e-08
2001,1.7524847351069184e-08
2002,2.2344229300141905e-08
2003,2.25013838672794e-08
2004,2.3785873548565206e-08
2005,1.5763124139311913e-08
2006,2.100123841497492e-08
2007,1.7975157362570826e-08
2008,1.8306990673400136e-08
2009,1.907277002999308e-08
2010,1.747803501928047e-08
2011,1.644307978665438e-08
2012,8.170206733382201e-09
2013,8.367375237128272e-09
2014,7.57905826986871e-09
2015,8.422986752520956e-09
2016,9.942432044329763e-09
2017,1.0565567976072998e-08
2018,6.9699601645822895e-09
2019,5.612172948588068e-09
