year,plusieurs_DET auteurs_NOUN
1877,2.118299486264519e-06
1878,1.997126691355433e-06
1879,2.009967979499372e-06
1880,2.022263343670616e-06
1881,1.7968152215552813e-06
1882,1.804940429339652e-06
1883,1.749824900088015e-06
1884,1.8088649555991765e-06
1885,1.7719052913811595e-06
1886,1.8676324149424772e-06
1887,1.9149336260015914e-06
1888,1.8837965853890637e-06
1889,2.0750133122859893e-06
1890,1.9184689104001507e-06
1891,1.684706364413202e-06
1892,1.7796306432948938e-06
1893,1.8290496939243894e-06
1894,1.8098020126977588e-06
1895,1.7381758485868204e-06
1896,1.8263098788273702e-06
1897,1.7212112071174346e-06
1898,1.8344387342494883e-06
1899,1.8473166765176074e-06
1900,1.6938406812716522e-06
1901,1.7095952253853852e-06
1902,1.448533683445774e-06
1903,1.6989092728181276e-06
1904,1.8150109646342116e-06
1905,1.7138881078793133e-06
1906,1.71867209441956e-06
1907,1.520738782456732e-06
1908,1.6885356135531993e-06
1909,1.72565850292683e-06
1910,1.58614394862866e-06
1911,1.7269934065033965e-06
1912,1.6394047968049108e-06
1913,1.6465783438945891e-06
1914,1.7257508897472462e-06
1915,1.3159111631466658e-06
1916,1.2778418430059446e-06
1917,1.211789907529237e-06
1918,1.240528635371163e-06
1919,1.3001481771746093e-06
1920,1.4712846594377993e-06
1921,1.7879256590802584e-06
1922,1.5663357375572673e-06
1923,1.5244501052613657e-06
1924,1.67075448542775e-06
1925,1.5815379299510823e-06
1926,1.6351384877211217e-06
1927,1.6054883360538952e-06
1928,1.8498761007457176e-06
1929,1.6643767435375878e-06
1930,1.9494687997223537e-06
1931,1.8522298796952441e-06
1932,1.7677732584431283e-06
1933,2.0968370340046505e-06
1934,2.0656243826522314e-06
1935,2.5767715587932116e-06
1936,2.3752315909675303e-06
1937,2.289065267779833e-06
1938,2.40893677627696e-06
1939,2.209990270785056e-06
1940,2.0920209005126367e-06
1941,2.434989600175186e-06
1942,2.3636509922653204e-06
1943,2.238394415599032e-06
1944,2.0757183278874436e-06
1945,1.7319106966340314e-06
1946,1.7025510903323493e-06
1947,1.5985888008884785e-06
1948,1.8873597094071215e-06
1949,1.8573779758668252e-06
1950,2.0164645775366807e-06
1951,1.920118410936311e-06
1952,2.141649636300258e-06
1953,2.2086346183058936e-06
1954,2.2809099551324152e-06
1955,2.115516036127474e-06
1956,2.317207337121374e-06
1957,2.0983213993019945e-06
1958,2.0779875686827154e-06
1959,2.083401019259412e-06
1960,2.3039453846962488e-06
1961,2.171994612609751e-06
1962,2.143581278701845e-06
1963,2.3290723567548355e-06
1964,2.1233049007918225e-06
1965,2.170212345831146e-06
1966,2.2283697695968385e-06
1967,1.9706551555032092e-06
1968,2.044492497077499e-06
1969,1.7840025048343477e-06
1970,1.9047919437298333e-06
1971,1.862669151364571e-06
1972,2.0064004013775616e-06
1973,1.9654571907778973e-06
1974,1.8243728749922639e-06
1975,1.7608493974030637e-06
1976,1.7214855971836585e-06
1977,1.711906579882072e-06
1978,1.6615833873245833e-06
1979,1.7198949313623757e-06
1980,1.7419301672205734e-06
1981,1.854651151100839e-06
1982,1.7300308678969145e-06
1983,1.8807011263888285e-06
1984,1.7646382435287933e-06
1985,1.7288714282415185e-06
1986,1.737801359924518e-06
1987,1.8802983485777247e-06
1988,1.7354026478066942e-06
1989,1.6546687824359196e-06
1990,1.849816929855308e-06
1991,1.7121339390691048e-06
1992,1.7290204243902707e-06
1993,1.7138307741859649e-06
1994,1.7734303110472638e-06
1995,1.7503671876362148e-06
1996,1.7759832697805678e-06
1997,1.771713524778562e-06
1998,1.684580090532961e-06
1999,1.8408770543487663e-06
2000,1.8781052251171104e-06
2001,1.6836996834523887e-06
2002,1.9132794779608275e-06
2003,1.8221953208552577e-06
2004,1.8865720123883989e-06
2005,1.847888402295439e-06
2006,1.702335658215759e-06
2007,1.7723504848188298e-06
2008,1.547153558600911e-06
2009,1.4895833406747272e-06
2010,1.4001322425905016e-06
2011,1.3062688032361436e-06
2012,1.1230629737291054e-06
2013,1.0107789252256083e-06
2014,8.150735761464079e-07
2015,8.600312538797894e-07
2016,8.817694390206299e-07
2017,8.467547474300119e-07
2018,8.433651921824215e-07
2019,7.563678658950579e-07
