year,trois_DET auteurs_NOUN
1994,2.468665591948138e-07
1995,2.868476549622301e-07
1996,2.7170888827754425e-07
1997,3.476298360283181e-07
1998,3.2232552982236484e-07
1999,2.801533298679715e-07
2000,3.048441605812968e-07
2001,2.961699081538427e-07
2002,3.1019049373526286e-07
2003,2.9335137696762104e-07
2004,3.021686936222068e-07
2005,3.2742258326834417e-07
2006,2.8454618572482104e-07
2007,3.03979881266514e-07
2008,2.456542667061967e-07
2009,2.1123092253105824e-07
2010,2.02178348729376e-07
2011,1.414869643667771e-07
2012,1.1540416799959985e-07
2013,1.2551062766874566e-07
2014,9.592921834666868e-08
2015,1.052873326301551e-07
2016,9.010329193870348e-08
2017,1.0062445454650515e-07
2018,1.009353489678233e-07
2019,9.209065510162873e-08
