year,vingt - deux mois
1941,6.56192682413348e-08
1942,8.747428070776664e-08
1943,7.707294713554802e-08
1944,6.034066046822772e-08
1945,4.565627764741009e-08
1946,7.390732381651333e-08
1947,6.847270839216435e-08
1948,7.219239250844112e-08
1949,7.463091633574948e-08
1950,5.410871395383765e-08
1951,7.551398084615357e-08
1952,4.905718720138452e-08
1953,6.311378530909906e-08
1954,4.6468910275265785e-08
1955,1.2049878206354947e-07
1956,5.6916657498184975e-08
1957,5.573902761568661e-08
1958,5.763818633486295e-08
1959,9.431857372899088e-08
1960,5.2042887332959253e-08
1961,5.8277778269832936e-08
1962,7.134143342746313e-08
1963,4.921206464558736e-08
1964,6.04018168814946e-08
1965,6.154540566072342e-08
1966,7.210478103480966e-08
1967,7.441684646281033e-08
1968,8.547816410242604e-08
1969,7.539038371362494e-08
1970,5.108456235802805e-08
1971,7.536222401682835e-08
1972,6.274834740693791e-08
1973,7.25100464116224e-08
1974,6.094904270170787e-08
1975,6.505034022552536e-08
1976,7.889210040801231e-08
1977,5.975088024356978e-08
1978,4.9076022523575347e-08
1979,4.2513539355582e-08
1980,4.6336336601005e-08
1981,5.013234760653518e-08
1982,6.409591613021348e-08
1983,8.122059824700045e-08
1984,6.368131533207588e-08
1985,5.0223943448557407e-08
1986,6.320201806353509e-08
1987,4.4310286995141723e-08
1988,6.84924579275048e-08
1989,6.148362530211671e-08
1990,6.68639503764723e-08
1991,5.015341492109471e-08
1992,5.6125831648934366e-08
1993,5.884089215868471e-08
1994,7.851783401235934e-08
1995,6.403166752377842e-08
1996,5.8335320574087746e-08
1997,5.2865828159553985e-08
1998,6.347123449046421e-08
1999,5.932320057411289e-08
2000,5.925343748991452e-08
2001,5.494086918744756e-08
2002,4.725612789968636e-08
2003,4.946346288114967e-08
2004,6.187683165848057e-08
2005,6.131169150158655e-08
2006,5.3400278698934045e-08
2007,5.6719314134312526e-08
2008,5.3926519250069305e-08
2009,7.197661799906996e-08
2010,4.9180196581843916e-08
2011,4.6580334034374005e-08
2012,5.28688675061062e-08
2013,6.930437557173263e-08
2014,5.6765177891549e-08
2015,5.883399856188021e-08
2016,5.456121598967911e-08
2017,4.044078583120836e-08
2018,4.268840614329861e-08
2019,5.6366772138716215e-08
