year,ses_DET êtres_NOUN
1893,1.539604177480669e-08
1894,1.6384001710889606e-08
1895,1.745398137131815e-08
1896,1.9460195621601173e-08
1897,9.905413378419325e-09
1898,2.4330926606808134e-08
1899,3.592926134388108e-08
1900,1.868779131442011e-08
1901,1.8442838423116115e-08
1902,2.062319276463498e-08
1903,1.2420506401156217e-08
1904,3.439760121182189e-08
1905,2.0126959654476195e-08
1906,2.160557543984254e-08
1907,1.5942813902380948e-08
1908,3.2415166772992166e-08
1909,2.3654228797909127e-08
1910,2.93928290595602e-08
1911,1.702519725199636e-08
1912,2.0837685354990754e-08
1913,2.651494823702194e-08
1914,1.0714789944188396e-08
1915,3.652036184575991e-08
1916,2.0876177231343718e-08
1917,9.869782324756216e-09
1918,9.189101035644853e-09
1919,2.1178050924053338e-08
1920,3.256059510903242e-08
1921,1.9689142760626055e-08
1922,2.2133805899215986e-08
1923,1.6985516992917837e-08
1924,1.4180787100137593e-08
1925,1.7597084678300234e-08
1926,2.5636118672345276e-08
1927,3.1217830098739796e-08
1928,3.999114450703445e-08
1929,2.5622935329039365e-08
1930,3.676261295382233e-08
1931,2.9653927313688655e-08
1932,3.726242447932293e-08
1933,8.02946331646126e-09
1934,1.1981580172459871e-08
1935,2.2739739868882225e-08
1936,4.607391579369846e-08
1937,3.903246792447135e-08
1938,1.8151300351654243e-08
1939,3.6705722017416065e-08
1940,2.5357829613881222e-08
1941,2.3612021671226557e-08
1942,1.8205270180260413e-08
1943,3.774205836748479e-08
1944,3.8558232162699824e-08
1945,7.406914015462007e-08
1946,4.5939643200654245e-08
1947,3.4570526219468434e-08
1948,4.240036233227329e-08
1949,3.3377827501901436e-08
1950,3.828730266164371e-08
1951,2.8785784422780125e-08
1952,3.374337198547295e-08
1953,2.693456835345387e-08
1954,3.127211556375187e-08
1955,2.4402580400817442e-08
1956,9.767678887939724e-08
1957,3.534015108330735e-08
1958,3.97067690949271e-08
1959,1.937687044151204e-08
1960,2.1454582610491713e-08
1961,3.474079646181849e-08
1962,3.4880759613997725e-08
1963,2.133797494252576e-08
1964,2.7986254869105665e-08
1965,2.571860352462707e-08
1966,2.3818021666066613e-08
1967,2.4651677366094304e-08
1968,2.3355362505084187e-08
1969,1.998373461153946e-08
1970,2.8512095129329396e-08
1971,2.6205826841874114e-08
1972,2.975485235978681e-08
1973,3.473318344049403e-08
1974,2.7565302096466127e-08
1975,1.9990180177842376e-08
1976,2.9138986334942274e-08
1977,2.4094805095575822e-08
1978,1.9603951795232888e-08
1979,3.862302344614932e-08
1980,3.1268328370970266e-08
1981,3.921840768805751e-08
1982,3.600351305976801e-08
1983,3.536576898000021e-08
1984,2.4935737030773453e-08
1985,2.6468455538442015e-08
1986,2.7574632466276228e-08
1987,3.238732804167199e-08
1988,5.15703635350917e-08
1989,3.0733485090195245e-08
1990,2.778812091541738e-08
1991,2.989347080983862e-08
1992,2.4243753671271406e-08
1993,3.655876901209609e-08
1994,4.325439917352014e-08
1995,3.95838903877177e-08
1996,3.042712526379887e-08
1997,3.883864352349775e-08
1998,3.957547145549967e-08
1999,3.9760750025763514e-08
2000,4.329671032810012e-08
2001,3.154472394406582e-08
2002,3.943099335934619e-08
2003,4.541945908265177e-08
2004,3.523833103091789e-08
2005,3.422849659262539e-08
2006,3.829637512664519e-08
2007,3.7548105735751847e-08
2008,4.044567541994226e-08
2009,3.9575998922458666e-08
2010,3.779034296602646e-08
2011,5.3918005143982484e-08
2012,4.7999964114531224e-08
2013,3.9884488378660876e-08
2014,4.9588696482416594e-08
2015,5.58576995768334e-08
2016,5.1783502208468946e-08
2017,5.5846571145323765e-08
2018,5.369450706282919e-08
2019,5.33156456761219e-08
