year,six_DET mines_NOUN
1882,2.2628309670480462e-08
1883,2.5277354875896663e-08
1884,2.2445769687351458e-08
1885,2.4493415740067803e-08
1886,3.872078280231506e-08
1887,2.4809913734546996e-08
1888,1.9655905347804037e-08
1889,1.754238299067623e-08
1890,2.2284914358294827e-08
1891,2.8046567734918426e-08
1892,1.191017373614045e-08
1893,1.1700991287000306e-08
1894,8.822155006527055e-09
1895,2.1667012406467734e-08
1896,8.845543852942228e-09
1897,4.3117681536308794e-08
1898,9.05336783318944e-09
1899,7.738609753005221e-09
1900,1.8168686111152965e-08
1901,2.347270311453542e-08
1902,9.820567470342212e-09
1903,1.4040572704487886e-08
1904,2.2573424907079698e-08
1905,9.805442346966231e-09
1906,2.3148831296282424e-08
1907,3.445704999105459e-08
1908,2.504808449543816e-08
1909,1.815324512932648e-08
1910,1.8704527482427125e-08
1911,2.074945903984826e-08
1912,2.3442396024364598e-08
1913,1.9090762359841307e-08
1914,4.68772043404897e-09
1915,2.709575319670421e-08
1916,2.3073669419559906e-08
1917,2.1932848870420685e-09
1918,9.189101035644853e-09
1919,3.9593746947730324e-08
1920,1.8930579770426448e-08
1921,2.0446417892117097e-08
1922,1.1804696498085576e-08
1923,3.0786250437842e-08
1924,9.02413699321869e-09
1925,5.499089184013428e-09
1926,1.3375366592072169e-08
1927,8.919379901328739e-09
1928,2.6279895593006586e-08
1929,5.570202965543558e-09
1930,1.995684684175103e-08
1931,5.7026783295555106e-09
1932,1.6439305472459864e-08
1933,1.6058926410877916e-08
1934,1.1981580172459871e-08
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,7.554670666820584e-09
1938,0.0
1939,1.5294050470515685e-08
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,9.102635090130207e-09
1943,0.0
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,1.1920870734982714e-08
1948,1.7395020313060172e-08
1949,8.835307596655184e-09
1950,8.5082894063504e-09
1951,1.0661401761424827e-09
1952,5.272401848444019e-09
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,5.631364707880948e-09
1956,6.104799332717903e-09
1957,7.068030161150318e-09
1958,1.1581140491045971e-08
1959,3.8753737996444215e-09
1960,4.844583290086746e-09
1961,2.08444772553662e-09
1962,3.8051738426858606e-09
1963,5.1728425987107585e-09
1964,6.6923653285755336e-09
1965,5.472043373977442e-09
1966,5.539074976468328e-09
1967,4.930335695263466e-09
1968,4.49141579483836e-09
1969,5.45010922503586e-09
1970,4.598724956395017e-09
1971,1.0276794970565106e-09
1972,3.5911026929902334e-09
1973,8.269805285010534e-09
1974,5.625571564138454e-09
1975,7.996072248772634e-09
1976,9.141642942633865e-09
1977,9.990528848646818e-09
1978,3.5643548113029055e-09
1979,3.511183899185255e-09
1980,5.116635615198817e-09
1981,6.958104314946922e-09
1982,4.345251713999687e-09
1983,4.420721011477724e-09
1984,7.538710988796993e-09
1985,8.421781161338515e-09
1986,4.7955883708539204e-09
1987,5.49973533381376e-09
1988,5.9965538645734284e-09
1989,4.939309961038418e-09
1990,1.580108821563897e-08
1991,7.033758464558559e-09
1992,7.713922056673539e-09
1993,7.754890063438324e-09
1994,5.802419433820205e-09
1995,4.880205572987961e-09
1996,4.270473530354479e-09
1997,8.630810177656656e-09
1998,3.3376904573501065e-09
1999,5.941261704833778e-09
2000,1.7672125984802278e-09
2001,4.381211837767296e-09
2002,4.38122149670761e-09
2003,7.91715315529018e-09
2004,3.9643119897903034e-09
2005,3.602999676388663e-09
2006,2.4707338397433887e-09
2007,3.5950315224742013e-09
2008,5.5346713878634546e-09
2009,2.860915504498962e-09
2010,3.3066551718974324e-09
2011,1.911985902935953e-09
2012,1.0212758416727752e-09
2013,1.952387529424726e-09
2014,5.197068553286499e-09
2015,2.659890530054554e-09
2016,5.385484169728727e-09
2017,4.528100561174142e-09
2018,1.0325866828253538e-09
2019,2.04079020349468e-09
