year,vingt - trois mois
1911,2.583596581118286e-08
1912,3.103769663503897e-08
1913,3.8032152094302774e-08
1914,2.7330396612512686e-08
1915,1.81833357260075e-08
1916,2.382392043642767e-07
1917,6.995393420083929e-08
1918,4.296816769056022e-08
1919,5.270172209748125e-08
1920,3.2539167804657154e-08
1921,3.259214054196491e-08
1922,3.8276265712511304e-08
1923,1.2904556534465428e-08
1924,2.7073206898542423e-08
1925,2.8025928244801435e-08
1926,4.320996060958038e-08
1927,3.826230909886874e-08
1928,2.2772971064455305e-08
1929,2.4685253841028043e-08
1930,2.790190478663135e-08
1931,2.6519947127212617e-08
1932,2.5470521691772774e-08
1933,3.2988742848516495e-08
1934,2.787577046969858e-08
1935,2.2548356071183662e-08
1936,3.0871273537513844e-08
1937,3.207945931116285e-08
1938,3.155704564328232e-08
1939,1.6942175440348706e-08
1940,2.2516919884196795e-08
1941,1.3123854003538327e-08
1942,6.728790857835065e-09
1943,1.284549089319853e-08
1944,3.1945056377935543e-08
1945,4.085035487655375e-08
1946,4.0033132364669655e-08
1947,2.6335655101128452e-08
1948,1.5641685280343154e-08
1949,2.487697137176781e-08
1950,2.117297581705202e-08
1951,2.477802496514414e-08
1952,3.0368733749952526e-08
1953,1.5480739357087714e-08
1954,2.7016808124002978e-08
1955,2.389199948993337e-08
1956,1.8329092354996135e-08
1957,3.5203596038257956e-08
1958,2.561697043379496e-08
1959,5.144649151134217e-09
1960,1.913341374226718e-08
1961,1.763669615906238e-08
1962,2.4479902549501276e-08
1963,1.8543676816307197e-08
1964,1.7449414968506716e-08
1965,2.292868106490431e-08
1966,1.7720667822018754e-08
1967,1.8468414575423253e-08
1968,1.8281457014879265e-08
1969,2.746007321530186e-08
1970,1.4162057082600654e-08
1971,1.4165831174750565e-08
1972,2.3742616761524005e-08
1973,2.0107828735405064e-08
1974,1.9901727599247465e-08
1975,2.3999154330489603e-08
1976,1.8934104506485028e-08
1977,1.5587186319443447e-08
1978,2.3556490091891646e-08
1979,1.6747757403123842e-08
1980,1.252333436951858e-08
1981,6.962825871426048e-09
1982,2.0456143445812813e-08
1983,1.8049021832666767e-08
1984,1.4009889248711715e-08
1985,1.255598625071741e-08
1986,2.1067339872615776e-08
1987,1.7455566880819617e-08
1988,2.502609208754336e-08
1989,1.2055613396455556e-08
1990,1.6715988149229588e-08
1991,1.7360796800147682e-08
1992,2.414014288465438e-08
1993,1.3951964861202981e-08
1994,1.674277316787709e-08
1995,2.0751002915986305e-08
1996,2.7417600634294104e-08
1997,2.7218048703758768e-08
1998,3.7978688638418134e-08
1999,1.694948570385435e-08
2000,1.3970322676470914e-08
2001,2.5798320590908475e-08
2002,2.1957392348781468e-08
2003,1.7697935117411134e-08
2004,1.9186613853250378e-08
2005,2.7467638719080867e-08
2006,2.3334576271238916e-08
2007,1.9633607628577465e-08
2008,2.8822796371841264e-08
2009,1.929807735834288e-08
2010,1.0871412159385585e-08
2011,1.9723204403021555e-08
2012,2.362226059204886e-08
2013,2.494957440646317e-08
2014,3.1616047557747606e-08
2015,2.623015804559259e-08
2016,2.4988118685342897e-08
2017,2.1475452083308255e-08
2018,2.1773952418868703e-08
2019,1.9544257545689447e-08
