year,vingt - trois mètres
1923,8.211990198958574e-09
1924,8.549434049598403e-09
1925,1.4622223432070314e-08
1926,2.0987695137364426e-08
1927,1.3576948454385729e-08
1928,1.0121320670464229e-08
1929,1.1108364006418014e-08
1930,8.138055562767477e-09
1931,2.399423770782505e-08
1932,2.4257640340863418e-09
1933,1.3956775291035228e-08
1934,9.291923674936697e-09
1935,1.5916487683398373e-08
1936,1.342229327683242e-08
1937,2.789518172008343e-09
1938,1.4344111676223292e-08
1939,1.355374013023436e-08
1940,2.8146149855245994e-09
1941,1.3123854003538327e-08
1942,6.728790857835065e-09
1943,1.9268236783887005e-08
1944,1.0648351533859568e-08
1945,2.4029620515619854e-09
1946,7.698679027612343e-09
1947,0.0
1948,1.2032065344058651e-09
1949,3.244822410763959e-09
1950,5.881382048045225e-09
1951,8.259341655048047e-09
1952,9.344225837537579e-09
1953,5.954130521956813e-09
1954,1.729075727041618e-08
1955,1.0387825710722609e-08
1956,4.8234455318763025e-09
1957,6.845143563083411e-09
1958,4.5744591448126926e-09
1959,1.543394778646956e-08
1960,1.4541394754985504e-08
1961,7.668129242688337e-09
1962,6.294832211040102e-09
1963,9.985056337313836e-09
1964,8.724707178942026e-09
1965,7.844022431591213e-09
1966,7.332690010741771e-09
1967,9.777395781895848e-09
1968,6.917308059684046e-09
1969,1.8473141238928292e-08
1970,5.057877672243194e-09
1971,4.533065922629476e-09
1972,7.914206179293615e-09
1973,8.530593564870514e-09
1974,9.95086413269064e-09
1975,3.157783368124001e-09
1976,5.049094364828477e-09
1977,1.0391457472280763e-08
1978,7.1978165649966286e-09
1979,7.729734186057158e-09
1980,4.383167162558266e-09
1981,6.962825871426048e-09
1982,1.636491475665025e-08
1983,6.2477383266923425e-09
1984,3.184065899830557e-09
1985,9.251779342633881e-09
1986,5.925189339173187e-09
1987,8.727783828987867e-09
1988,9.878720064193658e-09
1989,1.5069517189658654e-08
1990,1.3133989895663944e-08
1991,9.64488772181582e-09
1992,4.82802875456656e-09
1993,1.4558571237444085e-08
1994,1.4433425454818405e-08
1995,1.0079058476719638e-08
1996,1.1083710838022398e-08
1997,7.851360506183624e-09
1998,1.040512032091101e-08
1999,1.3958399935898314e-08
2000,1.0116440130047977e-08
2001,9.077187002048959e-09
2002,1.0978696174390734e-08
2003,1.1344830852522136e-08
2004,8.154311004204828e-09
2005,1.0790857984943614e-08
2006,1.6603447866581078e-08
2007,8.726048328355773e-09
2008,6.973257193898519e-09
2009,1.773336855137586e-08
2010,9.318353200171714e-09
2011,1.426785045666179e-08
2012,2.0247650667215567e-08
2013,1.7557107878651834e-08
2014,1.820317896417123e-08
2015,1.6424491877664593e-08
2016,2.4300372936103543e-08
2017,1.1434981350699758e-08
2018,1.2032974283648912e-08
2019,1.2746255495521552e-08
