year,vingt - six mois
1891,4.216324134276306e-08
1892,3.527766201383287e-08
1893,1.8340942986583286e-08
1894,2.992288017367173e-08
1895,5.8449227569035145e-08
1896,3.447307861392801e-08
1897,7.086025988201072e-08
1898,4.994074087605327e-08
1899,2.1351436174654737e-08
1900,5.047683931946878e-08
1901,6.290693055355234e-08
1902,4.3257221582493344e-08
1903,4.411134235660086e-08
1904,5.8165223748574135e-08
1905,5.413001291643127e-08
1906,4.937821707073908e-08
1907,2.1598020372159965e-08
1908,5.533361879805909e-08
1909,6.430029686477212e-08
1910,3.892916577985517e-08
1911,4.3451397369054234e-08
1912,4.023405247854939e-08
1913,4.0372591048054574e-08
1914,4.949017551325596e-08
1915,4.415952914449406e-08
1916,2.0195912053821985e-07
1917,1.2664074411361526e-07
1918,8.214502522640998e-08
1919,8.209306656681292e-08
1920,5.590062279736685e-08
1921,7.437693838596715e-08
1922,6.677986919001455e-08
1923,4.4579376412556826e-08
1924,4.132226294473185e-08
1925,4.630370575853249e-08
1926,4.938281250588261e-08
1927,5.183925666507605e-08
1928,7.464474194307513e-08
1929,3.8262144341771887e-08
1930,7.324250006490729e-08
1931,6.061701895987426e-08
1932,4.2450871262644796e-08
1933,3.552633742742728e-08
1934,6.63708792369988e-08
1935,3.050659813652601e-08
1936,6.576923516909972e-08
1937,2.3710904462070914e-08
1938,2.0081756146872465e-08
1939,3.388435076967511e-08
1940,4.7848455864141215e-08
1941,2.296674539437049e-08
1942,3.3643953845086116e-08
1943,4.4959218570284065e-08
1944,1.7747252556432613e-08
1945,3.1238506892350415e-08
1946,4.4652342268136636e-08
1947,3.291957073603413e-08
1948,4.3315435238611144e-08
1949,2.3795363901513156e-08
1950,3.1759462615355005e-08
1951,2.0058401162259543e-08
1952,3.0368735082220155e-08
1953,2.9770651721605645e-08
1954,2.2694118362309723e-08
1955,1.7659304463180092e-08
1956,2.7975984862038672e-08
1957,3.031420836574483e-08
1958,3.842545659438201e-08
1959,2.658068787297907e-08
1960,3.826682792862357e-08
1961,2.7605264352192904e-08
1962,3.497129075213934e-08
1963,2.710229596303293e-08
1964,2.5502989942083332e-08
1965,2.2325294057878864e-08
1966,1.9553839436525777e-08
1967,3.3677697075518154e-08
1968,3.359835276661727e-08
1969,3.494918465740682e-08
1970,4.75440464775545e-08
1971,3.11648284956334e-08
1972,2.6003818653919097e-08
1973,2.1935813609985644e-08
1974,2.6742946968028036e-08
1975,3.031472228798293e-08
1976,2.9663430822779446e-08
1977,2.467971232933408e-08
1978,3.140865434403395e-08
1979,1.9968480646781472e-08
1980,3.068216924972944e-08
1981,2.0888478058367355e-08
1982,3.204795806510674e-08
1983,2.221418071712833e-08
1984,3.375109880465743e-08
1985,3.105954471394057e-08
1986,3.4892781108908366e-08
1987,2.6183351042874392e-08
1988,2.3050347408570815e-08
1989,5.1839136538944786e-08
1990,2.5670981340653043e-08
1991,3.72935633485838e-08
1992,3.500320744365126e-08
1993,4.731535863111702e-08
1994,3.233087220166908e-08
1995,2.7272746061512976e-08
1996,3.3251131625888775e-08
1997,2.6694625288037344e-08
1998,4.214073728858736e-08
1999,1.645097102986881e-08
2000,2.7458910700772776e-08
2001,2.340958693558548e-08
2002,3.29360885231722e-08
2003,3.0857938870809676e-08
2004,3.453590680102536e-08
2005,2.452467562363836e-08
2006,2.8719478017968925e-08
2007,1.5270584352577998e-08
2008,3.0682330454112616e-08
2009,2.8686332864680253e-08
2010,2.6402000363745515e-08
2011,2.6017844767523002e-08
2012,2.962156520069925e-08
2013,3.66543133623054e-08
2014,3.64063597046993e-08
2015,3.162327333328108e-08
2016,2.5675865433782974e-08
2017,2.8448001843095483e-08
2018,2.349294891956788e-08
2019,2.9741261897697768e-08
