year,tes_DET mines_NOUN
1894,8.192000855444803e-09
1895,1.1435367319734269e-08
1896,3.538217441256819e-09
1897,7.574727511894253e-09
1898,1.0185038590293516e-08
1899,2.7637891975018647e-09
1900,5.19105292084987e-09
1901,8.38310842965484e-09
1902,1.1293653123800595e-08
1903,1.3500550677392198e-08
1904,1.7736262236667244e-08
1905,7.2250627702885595e-09
1906,5.144184633820714e-09
1907,6.1714118260169926e-09
1908,9.822778146428846e-09
1909,3.850688656825696e-09
1910,1.068830179917768e-08
1911,1.5429085231666306e-08
1912,8.335073964360618e-09
1913,8.484783542428431e-09
1914,5.357394972094198e-09
1915,5.890381071793627e-09
1916,3.2962386153911893e-09
1917,4.386569774084137e-09
1918,2.067547733020092e-08
1919,1.749491218561161e-08
1920,6.815008557481406e-09
1921,1.5902770267306465e-08
1922,8.115728866719962e-09
1923,1.2739137300599168e-08
1924,6.445812328337297e-09
1925,6.598906754362588e-09
1926,1.114613823460786e-08
1927,8.919380012351041e-09
1928,1.82816659588525e-08
1929,1.4482528065684619e-08
1930,6.302162347537887e-09
1931,9.124285327288817e-09
1932,1.4247397928102146e-08
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,2.393656828303392e-09
1936,1.2124714565686645e-08
1937,1.888667711114067e-08
1938,2.3337385357535823e-08
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,1.4757512545315876e-08
1942,9.102635312174812e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,5.960435700558264e-09
1948,1.7395020535104777e-08
1949,1.079870937115146e-08
1950,7.444753258312176e-09
1951,1.2793682557799002e-08
1952,1.8980646387944944e-08
1953,1.2928593307037772e-08
1954,1.172704333640695e-08
1955,4.6928039232341234e-09
1956,2.7035539362785244e-08
1957,9.718541527092839e-09
1958,5.790570245522986e-09
1959,3.8753737996444215e-09
1960,4.152500121534786e-09
1961,9.032606995695858e-09
1962,8.244543714397423e-09
1963,5.1728425987107585e-09
1964,1.8251904432275978e-09
1965,1.3132904541635071e-08
1966,2.769537488234164e-09
1967,1.3804939635875257e-08
1968,5.838840522187638e-09
1969,4.9959335557403506e-09
1970,5.518470042042978e-09
1971,5.652237344833111e-09
1972,6.669190755204113e-09
1973,3.859242703185828e-09
1974,4.500457340128605e-09
1975,1.1422960355389478e-09
1976,3.999468700666142e-09
1977,1.5279633558407113e-08
1978,3.5643548113029055e-09
1979,3.5111840102075575e-09
1980,2.8425752862659692e-09
1981,5.060439622894819e-09
1982,4.966001831974154e-09
1983,7.57837881337764e-09
1984,6.378909234161512e-09
1985,7.820225356169885e-09
1986,6.593933843390687e-09
1987,4.888653482026939e-09
1988,7.795519785247507e-09
1989,6.585746614717891e-09
1990,6.538381003284854e-09
1991,6.4476117778156095e-09
1992,3.856960861803316e-09
1993,6.647049133334804e-09
1994,3.6924485691258724e-09
1995,1.626735190995987e-09
1996,4.804283193493575e-09
1997,3.3564262480467733e-09
1998,5.72175506974304e-09
1999,7.769341614505265e-09
2000,3.5344251969604557e-09
2001,3.943090742808408e-09
2002,7.009954394732176e-09
2003,6.667076668520622e-09
2004,3.523833003171717e-09
2005,5.854874363109275e-09
2006,4.529678854225949e-09
2007,6.391167151065247e-09
2008,5.960415716543821e-09
2009,3.814554005998616e-09
2010,2.8342759250676863e-09
2011,6.500752380844688e-09
2012,5.446804340891731e-09
2013,4.741512571460049e-09
2014,1.0394136440439183e-08
2015,8.644644111654998e-09
2016,7.456824269169715e-09
2017,6.037467414898856e-09
2018,6.195520096952123e-09
2019,5.3570743396846865e-09
