year,quelques_DET auteurs_NOUN
1989,7.277250002601932e-07
1990,7.230359537757636e-07
1991,7.643350354857859e-07
1992,8.154717514585741e-07
1993,7.727194679674199e-07
1994,8.149761434594893e-07
1995,7.233549319529686e-07
1996,7.398596117980105e-07
1997,7.412906544157494e-07
1998,7.676688329461001e-07
1999,8.779356122090576e-07
2000,8.071743744508808e-07
2001,7.496253342509362e-07
2002,7.649612481230861e-07
2003,8.054661790879436e-07
2004,7.40885863770302e-07
2005,8.489568070757514e-07
2006,7.613978310061498e-07
2007,7.010311144917125e-07
2008,6.432991477289818e-07
2009,6.39414643899272e-07
2010,5.517390322395954e-07
2011,4.860268293938041e-07
2012,4.4868050075308474e-07
2013,4.0581768789849093e-07
2014,3.577315395020264e-07
2015,5.067091368715637e-07
2016,5.926103915365744e-07
2017,3.516824561566878e-07
2018,3.278462786804326e-07
2019,4.454024469247031e-07
