year,dix_DET auteurs_NOUN
1958,1.4890038202430844e-08
1959,1.5501495198577686e-08
1960,2.0762500829718533e-08
1961,9.72742286720063e-09
1962,1.5220695370743442e-08
1963,2.0044764958981887e-08
1964,1.5209921100378665e-08
1965,2.1888173939998978e-08
1966,1.5509409756475634e-08
1967,1.429797302776592e-08
1968,1.4372530665607286e-08
1969,1.362527324300089e-08
1970,1.1496812390987543e-08
1971,1.3873673210262893e-08
1972,1.641646973915556e-08
1973,1.1026407342740185e-08
1974,1.406392957647995e-08
1975,1.3707552426467373e-08
1976,1.1427053858703573e-08
1977,1.5279633558407113e-08
1978,1.841583330275398e-08
1979,1.9896709613220764e-08
1980,2.8425752862659692e-08
1981,1.897664847483327e-08
1982,2.2347008243883693e-08
1983,2.3366668600033336e-08
1984,2.4355835570588624e-08
1985,3.9702683807263384e-08
1986,2.99724272068147e-08
1987,2.3221103262471843e-08
1988,3.957725480674412e-08
1989,6.366221860787391e-08
1990,2.6153524679273232e-08
1991,2.1687421192240208e-08
1992,2.5896737865238606e-08
1993,4.5421502115061685e-08
1994,3.164956030587973e-08
1995,5.6393487213313165e-08
1996,3.950188176560232e-08
1997,3.164630291152548e-08
1998,2.9562400527538557e-08
1999,2.5136106529544122e-08
2000,2.4299173784214645e-08
2001,2.9792239786274877e-08
2002,3.1544794332205583e-08
2003,3.875238396844338e-08
2004,3.832168227191346e-08
2005,2.9274372703724794e-08
2006,3.623743172198601e-08
2007,2.037184576586526e-08
2008,2.554463840453991e-08
2009,2.098004658890318e-08
2010,1.6060896612657416e-08
2011,1.41486959925885e-08
2012,1.327658560867917e-08
2013,7.530637557984221e-09
2014,6.929424506418869e-09
2015,5.763096000421797e-09
2016,7.663958023762518e-09
2017,9.307761894561395e-09
2018,6.195520041440972e-09
2019,6.377469219387422e-09
